row_id,USER_KEY,promo_scope,is_repurchase,lr_repurchase_score_oof,lr_churn_risk_score_oof,gb_repurchase_score_oof,gb_churn_risk_score_oof,lr_risk_percentile,gb_risk_percentile,lr_high_risk_top10,gb_high_risk_top10,lr_high_risk_top20,gb_high_risk_top20,lr_high_risk_top30,gb_high_risk_top30
0,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,promo0,1,0.4484179833611753,0.5515820166388248,0.7203919707508409,0.27960802924915906,30.938979719467525,31.29634593049227,0,0,0,0,0,0
1,1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,promo0,0,0.46459078031549517,0.5354092196845048,0.7463330044514122,0.25366699554858785,32.654337532386315,36.92486375413205,0,0,0,0,0,0
2,60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390,promo0,1,0.2928687656951053,0.7071312343048948,0.8234409387305923,0.17655906126940768,20.646832841954794,44.911998570535154,0,0,0,0,1,0
3,2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,promo0,1,0.984508158618912,0.015491841381087945,0.9783597416641102,0.021640258335889784,97.12320200125079,93.17430536942733,0,0,0,0,0,0
4,0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,promo0,1,0.2056441904437228,0.7943558095562772,0.5011802160070288,0.4988197839929712,14.884302689180737,16.51031894934334,0,0,1,1,1,1
5,62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,promo0,1,0.707128139798856,0.292871860201144,0.8262177966285904,0.1737822033714096,53.13142142410435,45.21575984990619,0,0,0,0,0,0
6,55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4,promo0,1,0.8999756141819083,0.1000243858180917,0.9758210714008587,0.02417892859914128,76.64611810953275,91.42321093540605,0,0,0,0,0,0
7,b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,promo0,1,0.4276650688482937,0.5723349311517063,0.6067360186428989,0.39326398135710106,29.170016974895024,21.933351201643887,0,0,0,0,1,1
8,215870651ff3758eed08f033a15756df74a2360a0d080b6eeafbbe97646854adec9188e869d8f016d79cd0ad00d4b76ba42b14adc1364fb101e6c3ff29535ff4,promo0,1,0.8530779319320997,0.1469220680679003,0.9398783923576901,0.06012160764230989,68.57857589564907,69.52559635486465,0,0,0,0,0,0
9,f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,promo0,1,0.4507699239691606,0.5492300760308394,0.7253452409198679,0.27465475908013215,31.42142410435093,32.46672027159832,0,0,0,0,0,0
10,6ed11f433b70f3cb9f774c989bb71d93d7eaf56490c7f0135def999959606e243e1b64dde71d199618dafd4a5fcc14253248964ee4dde610decb58610d95405b,promo0,1,0.612878467261489,0.387121532738511,0.8122566238184252,0.18774337618157477,45.707138390065225,43.58974358974359,0,0,0,0,0,0
