row_id,USER_KEY,promo_scope,is_repurchase,lr_repurchase_score_oof,lr_churn_risk_score_oof,gb_repurchase_score_oof,gb_churn_risk_score_oof,lr_risk_percentile,gb_risk_percentile,lr_high_risk_top10,gb_high_risk_top10,lr_high_risk_top20,gb_high_risk_top20,lr_high_risk_top30,gb_high_risk_top30
0,7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc144b0f23979d3794e250b9dd3a5c9a663e2fba6bb142541282756d406d98ee9e5b233153,promo1,1,0.8465019222243262,0.1534980777756738,0.7491005401319181,0.25089945986808193,77.95698924731182,51.503696236559136,0,0,0,0,0,0
1,4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,promo1,0,0.028079090860463906,0.9719209091395361,0.12919407672561423,0.8708059232743858,1.8145161290322582,2.175739247311828,1,1,1,1,1,1
2,01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793d3f9d03a560771374901302484d7598e771f39abbd8766c54f38753186b3f17eee9fb48,promo1,0,0.288209627046905,0.711790372953095,0.5059334236266055,0.49406657637339446,21.597782258064516,26.51209677419355,0,0,0,0,1,1
3,70da9913e0b9dd104fe781fd724bf1423f4cb4416f640e5d6820aa4cf4797841e27860fc7c8b0310348100c53cc861448978dc74d15f6f527d1e68cc0469d6a6,promo1,1,0.7570494136785173,0.2429505863214827,0.7856074507643362,0.21439254923566375,66.8010752688172,55.258736559139784,0,0,0,0,0,0
4,ce55ecaa87931f40db2fc448a88af43b50cbed84642851d11882544b1d2f9bc8ce1a08ec30afa994637b3a8e69e7d0e9d3beee9d1b1301fe7ebe73076b75b4f4,promo1,0,0.02140152186602156,0.9785984781339785,0.11210872285610228,0.8878912771438977,1.2096774193548387,1.3860887096774193,1,1,1,1,1,1
5,985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6ebc66258516a3ffa5afdf9e45160d505b5a18acab7e9a7dd6eb8b3b6d551a88e1ca46643,promo1,1,0.9510047055704348,0.048995294429565184,0.956986986819887,0.04301301318011297,93.89280913978494,89.49092741935483,0,0,0,0,0,0
6,482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b19f44d58c8aeb01c318ea12601bb501a5b17a6d3c867d1f2a68deecbba5ffda494328a49,promo1,1,0.7080274239308468,0.29197257606915317,0.8991487643615359,0.1008512356384641,61.71875,72.84106182795699,0,0,0,0,0,0
7,457120a6023152e0aa7fce1d5ad546126bda5506b30ed81f89d02462db466df5e081a233b09fd5d051392312404b9b4ae3f4aa360a33ce3e683102a00e66334d,promo1,1,0.29325967498079775,0.7067403250192023,0.6450019025230302,0.35499809747696975,22.034610215053764,40.39818548387097,0,0,0,0,1,0
8,682d79dad73fef7acc8ef0424fc34344db76d46b9958609dfc99110d1ecf15fd3e0d05ec5a3b0ea9a3a8c70dbd3f6af0bbbd512b095e504f207fac6d707c4010,promo1,0,0.26089034076887596,0.739109659231124,0.4776798287353692,0.5223201712646308,19.816868279569892,24.285954301075268,0,0,1,0,1,1
9,ba6fee19b0ee3f777057486ec4fd8ae2bdec4d861a1ef617920e87e604e41961ab06b66708017602e96c5fe01619c28614bb60af65f3787b126bf232c89a2eaf,promo1,1,0.9816121921804086,0.018387807819591373,0.9596286538609252,0.04037134613907478,98.55510752688173,90.61659946236558,0,0,0,0,0,0
10,3eb81658b0cd17c628dbf7cbed98b09aa66e0383866feb05c194f05f0113581281a6e273245c27ec86fcb8e6e9b1127c6d018f3559c72438b1dcde09292da0c3,promo1,1,0.8333812153653126,0.16661878463468738,0.9344058509607102,0.06559414903928984,76.1760752688172,81.71202956989248,0,0,0,0,0,0
11,1ff9d693be9f6ff2efc65ebf39f40c568efe92e3e6d7e47412f5fb3fca14b490d2f83e8799c3c56d9c3ef2dd4e689614cfba205747baa01baf2310422acebcb8,promo1,0,0.08026846973427759,0.9197315302657224,0.193016608632374,0.806983391367626,6.123991935483871,5.241935483870968,1,1,1,1,1,1
12,2bff782c4dbe0aca845d2d9446f8ba48b59b10145e019f89abbf63462d1ab1b1740b97de6d842b2a91dd8006f7407733de3933cc1c23ed270b20333920f9edd0,promo1,0,0.04716384625929387,0.9528361537407062,0.19008086856725898,0.809919131432741,3.435819892473118,5.04872311827957,1,1,1,1,1,1
13,064b4d70d2129e99d78a97fa594485ab1d73b45a2eff9d3a4bd73cad1d888873faacf4f04dcff5319677ad2af01df416f3942c01725b3faea789e606abc0d41d,promo1,0,0.5422006936400215,0.45779930635997845,0.6814714673941781,0.3185285326058219,46.05174731182796,45.026881720430104,0,0,0,0,0,0
14,798a6947f2dca038aa7f74d4c477ddf7499485d9c252b40a1e27eb9b1c166fb032e1add3e7cd3b51f3cb8e42aafe7a62dbdeafd7d98dab2b4c45f9b97330792a,promo1,1,0.8497878321047488,0.15021216789525116,0.945872532820284,0.05412746717971595,78.44422043010752,85.47547043010752,0,0,0,0,0,0
15,54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,promo1,0,0.07577352777368478,0.9242264722263153,0.28231152644226976,0.7176884735577302,5.737567204301075,10.727486559139784,1,0,1,1,1,1
16,bd8b18a2d5aa38bc122346789936e757442ddc3d8be8dde63be93e0f096d549584047b0c09010d9d12c1942af21e5c0271cde52eeaf7da8ae34c354119faf502,promo1,1,0.43802953363285774,0.5619704663671423,0.5879237732702731,0.4120762267297269,35.58467741935484,34.09778225806452,0,0,0,0,0,0
