trial,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
113,0.8678831092898669,0.9615730376833754,0.09368992839350854,True,798,20,9,0.5,balanced
96,0.8678527079849323,0.9615880605827254,0.09373535259779309,True,782,20,9,0.5,balanced
157,0.867847180474944,0.96158160622699,0.09373442575204594,True,760,20,9,0.5,balanced
194,0.867847180474944,0.96158160622699,0.09373442575204594,True,760,20,9,0.5,balanced
121,0.8678444099930989,0.9615925067122465,0.09374809671914763,True,770,20,9,0.5,balanced
94,0.8678319688913433,0.9615871751306013,0.09375520623925804,True,763,20,9,0.5,balanced
98,0.8678316370858857,0.9615851891037155,0.09375355201782976,True,764,20,9,0.5,balanced
195,0.867811946102338,0.9615815413073306,0.09376959520499262,True,766,20,9,0.5,balanced
163,0.8677829426511721,0.9615846293512893,0.09380168670011724,True,712,20,9,0.5,balanced
128,0.8677808621270762,0.9615903917988412,0.09380952967176504,True,668,20,9,0.5,balanced
181,0.867774312853881,0.9615790597308932,0.09380474687701224,True,714,20,9,0.5,balanced
189,0.8677722418594911,0.9615685903125929,0.09379634845310181,True,749,20,9,0.5,balanced
107,0.8677697902899719,0.9615938461736633,0.09382405588369136,True,722,20,9,0.5,balanced
131,0.8677697902899719,0.9615938461736633,0.09382405588369136,True,722,20,9,0.5,balanced
124,0.8677680948255727,0.9615809160495795,0.0938128212240068,True,713,20,9,0.5,balanced
141,0.8677646013122928,0.9615969965673458,0.09383239525505294,True,686,20,9,0.5,balanced
182,0.8677608393380709,0.9615705120666739,0.09380967272860297,True,748,20,9,0.5,balanced
162,0.8677601381689029,0.9615850396787107,0.09382490150980782,True,717,20,9,0.5,balanced
158,0.8677601381689029,0.9615850396787107,0.09382490150980782,True,717,20,9,0.5,balanced
191,0.8677542710054638,0.9615826862283015,0.09382841522283769,True,742,20,9,0.5,balanced
132,0.8677518497067753,0.9615933925052802,0.09384154279850487,True,728,20,9,0.5,balanced
171,0.867751489872771,0.961592506948261,0.09384101707549009,True,720,20,9,0.5,balanced
122,0.867751489872771,0.961592506948261,0.09384101707549009,True,720,20,9,0.5,balanced
105,0.867751489872771,0.961592506948261,0.09384101707549009,True,720,20,9,0.5,balanced
104,0.867751489872771,0.961592506948261,0.09384101707549009,True,720,20,9,0.5,balanced
155,0.8677470205631007,0.9615851251455967,0.09383810458249597,True,736,20,9,0.5,balanced
192,0.8677442506418263,0.9615846727446989,0.09384042210287269,True,741,20,9,0.5,balanced
75,0.867736712118538,0.9571189862324724,0.0893822741139344,True,795,18,10,0.5,balanced
151,0.8677349151907997,0.9615957226112538,0.0938608074204541,True,689,20,9,0.5,balanced
103,0.8677304015960257,0.9615878231383812,0.09385742154235555,True,692,20,9,0.5,balanced
87,0.8676876539258235,0.9574277127714843,0.08974005884566083,True,776,20,10,0.5,balanced
88,0.8676751920829437,0.9574234614096826,0.08974826932673885,True,765,20,10,0.5,balanced
86,0.8676710523364474,0.957421131120142,0.08975007878369468,True,769,20,10,0.5,balanced
149,0.8676710523364474,0.957421131120142,0.08975007878369468,True,769,20,10,0.5,balanced
85,0.8676648258995749,0.9574245838690867,0.08975975796951174,True,763,20,10,0.5,balanced
193,0.8676638299226307,0.9574281661251816,0.08976433620255087,True,782,20,10,0.5,balanced
101,0.8676613710656896,0.9574170928792256,0.08975572181353597,True,758,20,10,0.5,balanced
102,0.8676613710656896,0.9574170928792256,0.08975572181353597,True,758,20,10,0.5,balanced
197,0.8676489736884673,0.9574320544952878,0.08978308080682051,True,798,20,10,0.5,balanced
93,0.8676475775164114,0.9536882462595081,0.08604066874309668,True,761,20,11,0.5,balanced
92,0.8676475618204252,0.9574131209565732,0.08976555913614792,True,755,20,10,0.5,balanced
64,0.8676466790788095,0.9500864029617464,0.08243972388293686,True,645,19,12,0.5,balanced
58,0.867646168451224,0.9537233646692588,0.08607719621803478,True,666,20,11,0.5,balanced
153,0.8676410697254653,0.9660510941144205,0.09841002438895519,True,662,20,8,0.5,balanced
119,0.867635441312709,0.9537162226186361,0.08608078130592711,True,686,20,11,0.5,balanced
112,0.8676342676347788,0.9614606740592399,0.09382640642446105,True,777,19,9,0.5,balanced
62,0.8676304900171058,0.950090331036443,0.08245984101933723,True,593,19,12,0.5,balanced
63,0.8676270592877705,0.9500857772232252,0.08245871793545467,True,590,19,12,0.5,balanced
91,0.8676234020877782,0.9574094530150603,0.08978605092728209,True,750,20,10,0.5,balanced
146,0.8676216331885864,0.9537135448933574,0.08609191170477093,True,684,20,11,0.5,balanced
83,0.8676211186895392,0.9567877940578093,0.08916667536827017,True,743,17,10,0.5,balanced
67,0.8676180999273054,0.9500696559256914,0.08245155599838594,True,732,19,12,0.5,balanced
186,0.8676167995603443,0.9537089278737703,0.08609212831342594,True,698,20,11,0.5,balanced
71,0.8676146400482816,0.9500758515555884,0.08246121150730679,True,739,19,12,0.5,balanced
178,0.8676073234060133,0.9614535084194256,0.09384618501341224,True,768,19,9,0.5,balanced
95,0.8676013621191924,0.9660317986591874,0.09843043653999506,True,762,20,8,0.5,balanced
52,0.8676011911975925,0.9500664536508188,0.08246526245322627,True,502,19,12,0.5,balanced
184,0.8675976617552383,0.9614477422568306,0.09385008050159227,True,758,19,9,0.5,balanced
180,0.8675878465605622,0.9574169636080899,0.08982911704752772,True,727,20,10,0.5,balanced
196,0.867586885339016,0.966028475198861,0.09844158985984508,True,767,20,8,0.5,balanced
152,0.8675829731317839,0.9574286191030037,0.0898456459712198,True,698,20,10,0.5,balanced
185,0.8675795418418778,0.9574099720401665,0.08983043019828874,True,734,20,10,0.5,balanced
138,0.8675782000452024,0.9660323843434673,0.09845418429826491,True,800,20,8,0.5,balanced
134,0.8675775868856709,0.9660289713865261,0.09845138450085522,True,736,20,8,0.5,balanced
115,0.8675748180855385,0.9660313029697756,0.09845648488423708,True,731,20,8,0.5,balanced
161,0.8675685826795311,0.9660289062221109,0.09846032354257983,True,729,20,8,0.5,balanced
183,0.8675651300879297,0.9660298777792342,0.09846474769130453,True,746,20,8,0.5,balanced
111,0.8675637574598529,0.9660314961902886,0.09846773873043568,True,724,20,8,0.5,balanced
173,0.8675619880000902,0.9660386840818788,0.09847669608178855,True,759,20,8,0.5,balanced
133,0.8675603552671006,0.9614531621987247,0.09389280693162405,True,716,19,9,0.5,balanced
147,0.8675555283657095,0.9614483269883113,0.0938927986226018,True,722,19,9,0.5,balanced
100,0.8675536877659731,0.9660222603941179,0.09846857262814479,True,789,20,8,0.5,balanced
165,0.8675532729960173,0.9574288573253215,0.0898755843293042,True,705,20,10,0.5,balanced
144,0.8675532729960173,0.9574288573253215,0.0898755843293042,True,705,20,10,0.5,balanced
