feature_set_name,rank,safe_model_feature_name,AARRR_stage,feature_family,timing_family,metric_type,effect_size_or_abs_smd,promotion_value,nonpromotion_value,difference,caveat_flag,caveat_reason,needs_user_review,recommended_next_step,not_a_feature_selection_decision
conservative_safe_22,1,avg_gap_w3_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.026469464503076266,0.694142025033602,0.6616584643400447,0.03248356069355729,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,2,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,binary,0.022759539812692037,0.07669690860215053,0.08286353467561522,-0.006166626073464687,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,3,is_only_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,binary,0.0199097451297839,0.10315860215053764,0.09718120805369128,0.005977394096846361,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,4,avg_gap_w2_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.01955207141332982,0.6610677082493279,0.638010439821029,0.023057268428298916,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,5,is_only_w1,Activation,early_week1_watch_behavior,week1,binary,0.015995484742904603,0.09652217741935484,0.10129753914988815,-0.004775361730533306,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,6,is_cold_start_7d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,binary,0.012994487609611652,0.6348286290322581,0.6410738255033557,-0.006245196471097558,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,7,watch_session_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.010976478237508722,2.221438172043011,2.188903803131991,0.03253436891102002,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,8,is_cold_start_3d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,binary,0.00802178104268119,0.38499663978494625,0.3889038031319911,-0.003907163347044829,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,9,is_w2_over_50pct,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,binary,0.006131626939123557,0.26226478494623656,0.26496644295302013,-0.0027016580067835694,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,10,avg_gap_w1_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.004271088547973553,0.6763356859038979,0.6710633851454139,0.005272300758484061,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,11,watch_time_min_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.0036552716176584434,99.10559475806451,98.52635346756152,0.579241290502992,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,12,watch_time_min_w1,Activation,early_week1_watch_behavior,week1,numeric,0.0032938113531343384,100.42330309139786,99.88348993288591,0.5398131585119472,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,13,watch_time_min_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.003126216850093657,98.10173051075269,97.61834451901566,0.48338599173702335,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,14,watch_session_w1,Activation,early_week1_watch_behavior,week1,numeric,0.002951120347742134,2.23807123655914,2.247248322147651,-0.009177085588511158,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,15,retention_w3_ratio,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.0026464443996136082,31.58756242237903,31.33263265172259,0.25492977065643885,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,16,is_w1_over_50pct,Activation,early_week1_watch_behavior,week1,binary,0.0024603568781070106,0.2914986559139785,0.29261744966442954,-0.0011187937504510415,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,17,is_w3_over_50pct,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,binary,0.0017639569095951049,0.28410618279569894,0.2833109619686801,0.0007952208270188277,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,18,retention_w2_ratio,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.001661288326660862,29.26623676033266,29.41738015991051,-0.15114339957785106,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,19,diff_between_w3_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.0005005122994051537,1.003864247311828,0.9080089485458613,0.09585529876596666,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
conservative_safe_22,20,diff_between_w2_w1,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.00030021661129932476,-2.3215725806451615,-2.265145413870246,-0.05642716677491544,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,1,is_user_verified,Needs_user_review,profile_context_needs_review,membership_context,binary,1.322578681085832,1.0,0.5334228187919463,0.4665771812080537,False,,True,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,2,payment_is_ios,Acquisition_context,membership_context,registration_or_payment_context,binary,1.0187395091217883,0.0,0.34165548098434007,-0.34165548098434007,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,3,age_group,Needs_user_review,profile_context_needs_review,membership_context,numeric,0.4366344211947471,29.533770161290324,34.11454138702461,-4.580771225734285,False,,True,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,4,payment_is_mobile,Acquisition_context,membership_context,registration_or_payment_context,binary,0.4135629341503863,0.22521841397849462,0.0796420581655481,0.14557635581294653,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,5,is_female,Needs_user_review,profile_context_needs_review,membership_context,binary,0.3514359902560801,0.6185315860215054,0.4458165548098434,0.17271503121166198,False,,True,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
