column_name,source_dtype,promo0_dtype,promo1_dtype,source_missing_count,promo0_missing_count,promo1_missing_count
USER_KEY,object,object,object,0,0,0
is_repurchase,int64,int64,int64,0,0,0
is_promotion,int64,int64,int64,0,0,0
is_churn_prevented,int64,int64,int64,0,0,0
is_user_verified,int64,int64,int64,0,0,0
is_standard,int64,int64,int64,0,0,0
is_premium,int64,int64,int64,0,0,0
age_group,int64,int64,int64,0,0,0
is_female,int64,int64,int64,0,0,0
is_male,int64,int64,int64,0,0,0
reg_is_weekend,int64,int64,int64,0,0,0
reg_hour_morning,int64,int64,int64,0,0,0
reg_hour_afternoon,int64,int64,int64,0,0,0
reg_hour_evening,int64,int64,int64,0,0,0
reg_hour_night,int64,int64,int64,0,0,0
payment_is_mobile,int64,int64,int64,0,0,0
payment_is_pc,int64,int64,int64,0,0,0
payment_is_android,int64,int64,int64,0,0,0
payment_is_ios,int64,int64,int64,0,0,0
total_watch_count,int64,int64,int64,0,0,0
unique_movie,int64,int64,int64,0,0,0
watch_days,int64,int64,int64,0,0,0
active_ratio,float64,float64,float64,0,0,0
total_watch_time_min,int64,int64,int64,0,0,0
watch_per_day,float64,float64,float64,0,0,0
avg_watch_time_min,float64,float64,float64,0,0,0
median_watch_time_min,float64,float64,float64,0,0,0
std_watch_time_min,float64,float64,float64,0,0,0
avg_daily_watch_time_min,float64,float64,float64,0,0,0
max_watch_time_min,int64,int64,int64,0,0,0
max_daily_watch_time_min,int64,int64,int64,0,0,0
max_daily_sessions,int64,int64,int64,0,0,0
recency,int64,int64,int64,0,0,0
avg_gap_between_watch_days,float64,float64,float64,0,0,0
avg_gap_w1_watch_days,float64,float64,float64,0,0,0
avg_gap_w2_watch_days,float64,float64,float64,0,0,0
avg_gap_w3_watch_days,float64,float64,float64,0,0,0
max_inactive_gap_days,int64,int64,int64,0,0,0
avg_rewatch_ratio,float64,float64,float64,0,0,0
weekend_watch_ratio,float64,float64,float64,0,0,0
watch_ratio_under_1m,float64,float64,float64,0,0,0
watch_ratio_under_5m,float64,float64,float64,0,0,0
movie_per_active_day,float64,float64,float64,0,0,0
max_day_share,float64,float64,float64,0,0,0
day_count_over_3times,int64,int64,int64,0,0,0
watch_time_min_w1,int64,int64,int64,0,0,0
watch_time_min_w2,int64,int64,int64,0,0,0
watch_time_min_w3,int64,int64,int64,0,0,0
watch_session_w1,int64,int64,int64,0,0,0
watch_session_w2,int64,int64,int64,0,0,0
watch_session_w3,int64,int64,int64,0,0,0
retention_w2_ratio,float64,float64,float64,0,0,0
retention_w3_ratio,float64,float64,float64,0,0,0
diff_between_w2_w1,int64,int64,int64,0,0,0
diff_between_w3_w1,int64,int64,int64,0,0,0
diff_between_w3_w2,int64,int64,int64,0,0,0
is_w1_over_50pct,int64,int64,int64,0,0,0
is_w2_over_50pct,int64,int64,int64,0,0,0
is_w3_over_50pct,int64,int64,int64,0,0,0
is_only_w1,int64,int64,int64,0,0,0
is_only_w2,int64,int64,int64,0,0,0
is_only_w3,int64,int64,int64,0,0,0
new_movie_in_90d_ratio,float64,float64,float64,0,0,0
new_movie_in_180d_ratio,float64,float64,float64,0,0,0
new_movie_in_365d_ratio,float64,float64,float64,0,0,0
old_movie_ratio_5y,float64,float64,float64,0,0,0
avg_ott_release_year,float64,float64,float64,0,0,0
genre_diversity_count,int64,int64,int64,0,0,0
action_adventure_ratio,float64,float64,float64,0,0,0
family_animation_ratio,float64,float64,float64,0,0,0
drama_ratio,float64,float64,float64,0,0,0
thriller_crime_ratio,float64,float64,float64,0,0,0
sf_fantasy_ratio,float64,float64,float64,0,0,0
comedy_ratio,float64,float64,float64,0,0,0
romance_ratio,float64,float64,float64,0,0,0
horror_ratio,float64,float64,float64,0,0,0
documentary_ratio,float64,float64,float64,0,0,0
historical_war_ratio,float64,float64,float64,0,0,0
other_ratio,float64,float64,float64,0,0,0
is_basic,int64,int64,int64,0,0,0
is_cold_start_3d_fixed,int64,int64,int64,0,0,0
is_cold_start_7d_fixed,int64,int64,int64,0,0,0
