feature_set_name,original_feature_name,safe_model_feature_name,role,use_as_feature,AARRR_stage,feature_family,timing_family,source_table_or_source,caveat_flag,caveat_reason,downstream_allowed_scope,notes,mapping_basis,mapping_confidence,needs_user_review
expanded_feature_set,action_adventure_ratio,action_adventure_ratio,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,active_ratio,active_ratio,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,age_group,age_group,feature,True,Needs_user_review,profile_context_needs_review,membership_context,age,False,,all_06x_scopes_subject_to_scope_policy,Name alone does not prove an AARRR stage; left for user review.,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,low,1
expanded_feature_set,avg_daily_watch_time(min),avg_daily_watch_time_min,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_gap_between_watch_days,avg_gap_between_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_gap_w1_watch_days,avg_gap_w1_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_gap_w2_watch_days,avg_gap_w2_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_gap_w3_watch_days,avg_gap_w3_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_ott_release_year,avg_ott_release_year,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_rewatch_ratio,avg_rewatch_ratio,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,avg_watch_time(min),avg_watch_time_min,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,comedy_ratio,comedy_ratio,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,day_count_over_3times,day_count_over_3times,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,diff_between_w2_w1,diff_between_w2_w1,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,diff_between_w3_w1,diff_between_w3_w1,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,diff_between_w3_w2,diff_between_w3_w2,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,documentary_ratio,documentary_ratio,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,drama_ratio,drama_ratio,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,family_animation_ratio,family_animation_ratio,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
expanded_feature_set,genre_diversity_count,genre_diversity_count,feature,True,Retention_context,content_preference_context,observation_window_aggregate,"View_History_v2, Movie_Master_v2, User_Mapping_v2",True,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
