dataset_scope,ladder_step,model_name,fold,train_auc,valid_auc,train_valid_gap,valid_average_precision,valid_brier_score,train_row_count,valid_row_count,feature_count,warning
nonpromotion_only,L0_dummy_prior,DummyPrior,1,0.5,0.5,0.0,0.7623097582811101,0.18119360837863302,8941,2234,0,
nonpromotion_only,L0_dummy_prior,DummyPrior,2,0.5,0.5,0.0,0.7625223613595706,0.18108202743062277,8939,2236,0,
nonpromotion_only,L0_dummy_prior,DummyPrior,3,0.5,0.5,0.0,0.7623097582811101,0.18119360837863302,8941,2234,0,
nonpromotion_only,L0_dummy_prior,DummyPrior,4,0.5,0.5,0.0,0.7625223613595706,0.18108202743062274,8939,2236,0,
nonpromotion_only,L0_dummy_prior,DummyPrior,5,0.5,0.5,0.0,0.7624161073825504,0.18113778658618981,8940,2235,0,
nonpromotion_only,L1_activation_safe,LogisticRegression,1,0.7202220230414325,0.7051121705022596,0.015109852539172852,0.8643527420147563,0.1569354603182184,8941,2234,6,
nonpromotion_only,L1_activation_safe,LogisticRegression,2,0.7163656661872213,0.7167558581992699,-0.00039019201204859577,0.8670826393635773,0.15339232929252855,8939,2236,6,
nonpromotion_only,L1_activation_safe,LogisticRegression,3,0.7183457938735747,0.7141192069384591,0.004226586935115573,0.8636443382467318,0.15425990736718043,8941,2234,6,
nonpromotion_only,L1_activation_safe,LogisticRegression,4,0.7180751927798572,0.7127944287047623,0.005280764075094924,0.8707901909096445,0.15618608685188956,8939,2236,6,
nonpromotion_only,L1_activation_safe,LogisticRegression,5,0.7123491695622575,0.7346102667480084,-0.022261097185750978,0.8796843307965979,0.1507387489469649,8940,2235,6,
nonpromotion_only,L1_activation_safe,HistGradientBoosting,1,0.7766531038638035,0.6820084861875522,0.09464461767625132,0.8508886147033757,0.16106331278148706,8941,2234,6,"Could not find the number of physical cores for the following reason:
[WinError 2] 지정된 파일을 찾을 수 없습니다
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use."
