dataset_scope,ladder_step,model_name,feature_count,n_folds_completed,mean_valid_auc,std_valid_auc,min_valid_auc,max_valid_auc,mean_train_auc,mean_train_valid_gap,mean_valid_average_precision,mean_valid_brier_score,oof_auc,oof_average_precision,oof_brier_score,performance_status,caution
nonpromotion_only,L0_dummy_prior,DummyPrior,0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.7624160693327824,0.18113781164094028,0.4998591549295775,0.7623594149418129,0.18113779167119567,weak,Weak baseline signal.
nonpromotion_only,L1_activation_safe,LogisticRegression,6,5,0.7166783862185518,0.010919823851405356,0.7051121705022596,0.7346102667480084,0.7170715690888686,0.00039318287031675503,0.8691108482662615,0.15430250655535635,0.7156597747186193,0.8722647939746793,0.15430236186170618,usable_baseline,Baseline only; not final model.
nonpromotion_only,L1_activation_safe,HistGradientBoosting,6,5,0.700402810573328,0.015068237386027744,0.6820084861875522,0.7220061581036755,0.7737633662627813,0.07336055568945321,0.8568613689135465,0.15850795327863212,0.6995811561143382,0.859470320196832,0.15850790864020425,usable_baseline,Baseline only; not final model.
nonpromotion_only,L1_activation_safe,RandomForest,6,5,0.7176884914997557,0.014329992629536601,0.701485027529794,0.7403986852691794,0.7327719282926957,0.015083436792939886,0.8692804374174399,0.15408825015089408,0.7160801437627649,0.8717262525340863,0.15408789825912353,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,LogisticRegression,13,5,0.7631740495603591,0.012436645422603749,0.7482788519420558,0.7814271062659701,0.7643833423354051,0.0012092927750460003,0.8993362492213921,0.14810904981921938,0.7626071147538085,0.9003349141588423,0.14810933625678133,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,HistGradientBoosting,13,5,0.7910850611037782,0.01268952828876279,0.7750823018645506,0.8042464611902426,0.8858163847625363,0.09473132365875805,0.9116867063529634,0.1424568312741284,0.7902915263078787,0.9130181378438822,0.14245678763462014,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,RandomForest,13,5,0.791308650253059,0.013089451839844632,0.7731852397397745,0.8030705418954405,0.8120560319977566,0.0207473817446977,0.9133596534271395,0.14248822416577994,0.7904742800809881,0.9139808755115606,0.14248816770046296,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,LogisticRegression,21,5,0.8123043176045865,0.009511664436154131,0.8037510147953013,0.8228180286995039,0.8143299449293707,0.002025627324784285,0.9271040047622883,0.1382129001564155,0.8118298144169475,0.9271301909239501,0.13821325957595934,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,HistGradientBoosting,21,5,0.8288073381632035,0.008997090940955233,0.8185980650076911,0.8394209620112065,0.9233364683959788,0.09452913023277518,0.9321093424953928,0.1317547716097388,0.8285551886333695,0.9320687298886914,0.13175512581432502,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,RandomForest,21,5,0.8306674496012214,0.009946143510202156,0.8172793552532199,0.842949685555456,0.8504108730874215,0.019743423486200083,0.9341093230197359,0.13173204488159113,0.8301380599984085,0.9338998520560713,0.1317320361577981,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,LogisticRegression,22,5,0.8121255286547011,0.00945400494951555,0.8037228490481636,0.8228268701979611,0.8143552765704731,0.002229747915771818,0.9270014691204903,0.13815030597767458,0.8118022068380149,0.9270644803304158,0.13815065788858108,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,HistGradientBoosting,22,5,0.8284879706682327,0.010718089755821678,0.8159191698284098,0.8395157511295014,0.9251737029420056,0.09668573227377304,0.9322192245644398,0.13160587215127345,0.8284083755514885,0.9323985557386992,0.13160634097291424,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,RandomForest,22,5,0.8307334681338873,0.009759556548262313,0.8174137143602793,0.8425117743917071,0.8505175631335165,0.019784094999629208,0.9341334863753925,0.13170116987229105,0.8303052527342334,0.9339875470675569,0.1317011510469139,usable_baseline,Baseline only; not final model.
overall_with_promotion,L0_dummy_prior,DummyPrior,0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.7174054567669057,0.20273487399970874,0.4998773437961437,0.7173482232935685,0.2027348841140088,weak,Weak baseline signal.
