check_name,status,detail
repo_root_checked,PASS,checked
repo_root_matches_expected,PASS,checked
source_file_exists,PASS,checked
source_file_inside_park_ingyeom,PASS,checked
required_06_files_exist,PASS,checked
required_05b_files_exist,PASS,checked
required_07_files_exist,PASS,checked
required_08_success_run_folder_exists,PASS,checked
all_required_08_success_files_exist,PASS,checked
notebook_inside_park_ingyeom,PASS,checked
output_folder_inside_park_ingyeom,PASS,checked
zip_inside_park_ingyeom,PASS,checked
no_files_written_outside_park_ingyeom,PASS,checked
no_py_script_created,PASS,checked
no_existing_notebook_modified,PASS,checked
no_source_csv_modified,PASS,checked
no_08_outputs_overwritten,PASS,checked
no_files_deleted,PASS,checked
no_modeling_performed,PASS,checked
no_predictions_created,PASS,checked
no_repurchase_score_created,PASS,checked
no_churn_risk_created,PASS,checked
no_shap_performed,PASS,checked
no_optuna_performed,PASS,checked
no_statistical_tests_performed,PASS,checked
no_p_values_created,PASS,checked
no_feature_engineering_performed,PASS,checked
no_additional_rows_excluded,PASS,checked
success_run_folder_locked,PASS,checked
base_folder_partial_outputs_inventoried_if_present,PASS,checked
key_metrics_recomputed,PASS,checked
key_metrics_match_08_or_mismatches_recorded,PASS,checked
conservative_feature_differences_audited,PASS,checked
negligible_promotion_feature_difference_documented,PASS,checked
AARRR_stage_average_interpretation_restricted,PASS,checked
review_columns_exclusion_validated,PASS,checked
interpretation_guardrail_created,PASS,checked
09_handoff_questions_created,PASS,checked
decision_summary_created,PASS,checked
safe_unsafe_wording_created,PASS,checked
open_risks_created,PASS,checked
readme_created,PASS,checked
note_md_updated,PASS,checked
review_zip_created,PASS,checked
notebook_saved_with_outputs,PASS,checked
