representative_segment,rule_feature,dataset_scope,model_name,shap_rank,mean_abs_shap,mean_signed_shap,status,caution
high_risk_week3_inactive_or_drop,watch_time_min_w3,overall_with_promotion,LightGBM,1,0.4138548478061984,-0.0121150091047574,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_time_min_w3,overall_without_promotion,LightGBM,3,0.3532654354680483,-0.0261398396570778,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_time_min_w3,promotion_only,LightGBM,2,0.3698949061202878,-0.0255686401651723,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_time_min_w3,nonpromotion_only,CatBoost,11,0.1723151446094845,-0.0093009446805146,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_session_w3,overall_with_promotion,LightGBM,29,0.0431252600837398,0.0011670120431333,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_session_w3,overall_without_promotion,LightGBM,23,0.0676264062266855,-0.0057565595794606,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_session_w3,promotion_only,LightGBM,34,0.0443144461638994,-0.0017481262233949,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,watch_session_w3,nonpromotion_only,CatBoost,35,0.0312065057207777,-0.0002118317230809,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,diff_between_w3_w2,overall_with_promotion,LightGBM,12,0.1747089034294198,0.0080812812400079,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,diff_between_w3_w2,overall_without_promotion,LightGBM,13,0.1719742967769306,0.0009080042826968,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,diff_between_w3_w2,promotion_only,LightGBM,12,0.1972825125353759,0.0029100996456318,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,diff_between_w3_w2,nonpromotion_only,CatBoost,7,0.2149080166685883,-0.0032958571617365,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w3_ratio,overall_with_promotion,LightGBM,4,0.3324595234477164,0.0132298260824364,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w3_ratio,overall_without_promotion,LightGBM,2,0.353880507324319,0.0218321824054317,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w3_ratio,promotion_only,LightGBM,3,0.3662907573999995,0.0221465803646277,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w3_ratio,nonpromotion_only,CatBoost,1,0.3686448497326822,0.0166804608149797,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w2_ratio,overall_with_promotion,LightGBM,3,0.370755076202742,0.0099700924835488,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w2_ratio,overall_without_promotion,LightGBM,1,0.3890708473990951,0.0252220765418253,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w2_ratio,promotion_only,LightGBM,1,0.4674059416936641,0.0102028695673226,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_week3_inactive_or_drop,retention_w2_ratio,nonpromotion_only,CatBoost,3,0.327276092813922,-0.0075042198692549,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_only_w1,overall_with_promotion,LightGBM,49,0.0228343820805775,0.0043956225310242,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_only_w1,overall_without_promotion,LightGBM,53,0.0227781520300818,0.0040218051773603,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_only_w1,promotion_only,LightGBM,56,0.0155070654352277,0.0037995896481276,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_only_w1,nonpromotion_only,CatBoost,16,0.0870108925508212,-0.0111673504281483,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_3d_fixed,overall_with_promotion,LightGBM,11,0.2027082459019072,-0.02120787090767,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_3d_fixed,overall_without_promotion,LightGBM,9,0.2234938072374885,-0.0299758513199004,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_3d_fixed,promotion_only,LightGBM,8,0.2631743883178596,-0.0302980680506352,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_3d_fixed,nonpromotion_only,CatBoost,15,0.1056698325405111,-0.0022107792744585,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_7d_fixed,overall_with_promotion,LightGBM,76,0.0,0.0,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_7d_fixed,overall_without_promotion,LightGBM,75,0.0,0.0,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_7d_fixed,promotion_only,LightGBM,75,0.0,0.0,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_only_w1_or_cold_start_weak,is_cold_start_7d_fixed,nonpromotion_only,CatBoost,68,0.0043225088541046,0.000824338790286,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_time_min,overall_with_promotion,LightGBM,32,0.0384688605346864,-0.0115377989040137,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_time_min,overall_without_promotion,LightGBM,43,0.030564444374357,-0.0056254548307462,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_time_min,promotion_only,LightGBM,37,0.0386135274752084,-0.0039905654581302,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_time_min,nonpromotion_only,CatBoost,18,0.0805679552202761,0.0093082325416554,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_count,overall_with_promotion,LightGBM,50,0.0221167006761115,-0.004245227966618,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_count,overall_without_promotion,LightGBM,58,0.0165951360969123,-0.0055565018464329,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_count,promotion_only,LightGBM,57,0.0146651195441582,-0.0011378315753964,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
high_risk_low_activity,total_watch_count,nonpromotion_only,CatBoost,58,0.0092162642052204,-0.001259007487074,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w2_ratio,overall_with_promotion,LightGBM,3,0.370755076202742,0.0099700924835488,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w2_ratio,overall_without_promotion,LightGBM,1,0.3890708473990951,0.0252220765418253,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w2_ratio,promotion_only,LightGBM,1,0.4674059416936641,0.0102028695673226,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w2_ratio,nonpromotion_only,CatBoost,3,0.327276092813922,-0.0075042198692549,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w3_ratio,overall_with_promotion,LightGBM,4,0.3324595234477164,0.0132298260824364,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w3_ratio,overall_without_promotion,LightGBM,2,0.353880507324319,0.0218321824054317,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w3_ratio,promotion_only,LightGBM,3,0.3662907573999995,0.0221465803646277,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
medium_risk_retention_decay,retention_w3_ratio,nonpromotion_only,CatBoost,1,0.3686448497326822,0.0166804608149797,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,max_genre_ratio,,,,,,missing_from_SHAP_global_importance,Missing does not invalidate rule; SHAP is not causal evidence.
content_preference_target_candidate,new_movie_in_365d_ratio,overall_with_promotion,LightGBM,60,0.0126529221774218,0.0030579585334544,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,new_movie_in_365d_ratio,overall_without_promotion,LightGBM,59,0.0157016231209387,0.002285967226247,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,new_movie_in_365d_ratio,promotion_only,LightGBM,50,0.0255104542875145,0.0029165207034686,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,new_movie_in_365d_ratio,nonpromotion_only,CatBoost,49,0.0178388406793668,-0.0021042483740767,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,old_movie_ratio_5y,overall_with_promotion,LightGBM,56,0.0163217253952749,-0.0017457412307558,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,old_movie_ratio_5y,overall_without_promotion,LightGBM,46,0.0286560179369351,-0.0019989431885584,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,old_movie_ratio_5y,promotion_only,LightGBM,48,0.0281343332098503,-0.0016524043078253,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,old_movie_ratio_5y,nonpromotion_only,CatBoost,60,0.0089139655490954,0.0001874287346353,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,action_adventure_ratio,overall_with_promotion,LightGBM,9,0.2279141100104713,-0.0068070414790404,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,action_adventure_ratio,overall_without_promotion,LightGBM,8,0.2398951028387896,-0.0094147087985465,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,action_adventure_ratio,promotion_only,LightGBM,9,0.2394413080686975,-0.010868280299508,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,action_adventure_ratio,nonpromotion_only,CatBoost,9,0.2050376290427008,0.0003983730806562,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,family_animation_ratio,overall_with_promotion,LightGBM,6,0.2974450240415253,0.0082424265478516,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,family_animation_ratio,overall_without_promotion,LightGBM,5,0.2955466255444678,0.0045292894175974,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,family_animation_ratio,promotion_only,LightGBM,6,0.3078454736686964,0.0039999271893514,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,family_animation_ratio,nonpromotion_only,CatBoost,4,0.3050279164687234,-0.0064952468245346,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,drama_ratio,overall_with_promotion,LightGBM,5,0.3256868005607498,0.0169978544594507,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,drama_ratio,overall_without_promotion,LightGBM,4,0.3248464963038797,0.0171647056592663,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,drama_ratio,promotion_only,LightGBM,4,0.3305725573730902,0.0177386494148636,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,drama_ratio,nonpromotion_only,CatBoost,2,0.3584823278945882,-0.0050568484092906,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,thriller_crime_ratio,overall_with_promotion,LightGBM,8,0.2630224500568187,-0.0011534626949199,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,thriller_crime_ratio,overall_without_promotion,LightGBM,7,0.2720974929285086,0.0008830735853076,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,thriller_crime_ratio,promotion_only,LightGBM,7,0.2842118407235747,-0.0051924942473166,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,thriller_crime_ratio,nonpromotion_only,CatBoost,6,0.2450694972860728,0.0002110375285303,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,sf_fantasy_ratio,overall_with_promotion,LightGBM,23,0.055106384575913,-0.0022696140283619,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,sf_fantasy_ratio,overall_without_promotion,LightGBM,28,0.0534203684791099,-0.0030411879072394,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,sf_fantasy_ratio,promotion_only,LightGBM,27,0.0540839772460192,0.000460452387998,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,sf_fantasy_ratio,nonpromotion_only,CatBoost,27,0.0478553633544425,-0.0027319175664428,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,comedy_ratio,overall_with_promotion,LightGBM,35,0.035932139249503,-0.000348990678506,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,comedy_ratio,overall_without_promotion,LightGBM,34,0.0392524293535869,0.0029573770730099,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,comedy_ratio,promotion_only,LightGBM,41,0.0343035359694739,-0.001531198115338,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,comedy_ratio,nonpromotion_only,CatBoost,36,0.0289017595140769,0.0018642676616989,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,romance_ratio,overall_with_promotion,LightGBM,7,0.2761224640563108,0.0143037600298334,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,romance_ratio,overall_without_promotion,LightGBM,6,0.2798755932499344,0.0194594641313417,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,romance_ratio,promotion_only,LightGBM,5,0.3085095104188761,0.0069902110521454,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,romance_ratio,nonpromotion_only,CatBoost,5,0.2475782347704681,0.0030565022897354,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,horror_ratio,overall_with_promotion,LightGBM,20,0.0753770028255907,-0.0020102137884313,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,horror_ratio,overall_without_promotion,LightGBM,21,0.0773862201275727,-0.0024760652983684,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,horror_ratio,promotion_only,LightGBM,22,0.0657929927462473,-0.0006730260762333,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,horror_ratio,nonpromotion_only,CatBoost,23,0.0600529130102084,0.0012070038728907,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
