"path","arcname","Length"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\17x_segmentation_design_260516\17x_segmentation_design_260516.ipynb","notebook\17x_segmentation_design_260516\17x_segmentation_design_260516.ipynb","56630"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_age40_unverified_ios_audit.csv","reports\segments\17x_segmentation_design_260516\17x_age40_unverified_ios_audit.csv","743"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv","reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv","1019"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv","reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv","11788930"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_execution_log.txt","reports\segments\17x_segmentation_design_260516\17x_execution_log.txt","3101"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_final_checks.csv","reports\segments\17x_segmentation_design_260516\17x_final_checks.csv","1898"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_assignment.csv","reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_assignment.csv","3866514"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv","reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv","2788"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_open_risks.csv","reports\segments\17x_segmentation_design_260516\17x_open_risks.csv","573"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_preflight_input_validation.csv","reports\segments\17x_segmentation_design_260516\17x_preflight_input_validation.csv","8084"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv","reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv","4687"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv","reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv","6879330"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv","reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv","1474"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_review_zip_inventory.csv","reports\segments\17x_segmentation_design_260516\17x_review_zip_inventory.csv","6363"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_safe_unsafe_wording.csv","reports\segments\17x_segmentation_design_260516\17x_safe_unsafe_wording.csv","811"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv","reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv","1909"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_feature_profile.csv","reports\segments\17x_segmentation_design_260516\17x_segment_feature_profile.csv","13221"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_SHAP_evidence_link.csv","reports\segments\17x_segmentation_design_260516\17x_segment_SHAP_evidence_link.csv","23563"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv","reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv","2467"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv","reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv","8805920"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_source_fingerprint_before_after.csv","reports\segments\17x_segmentation_design_260516\17x_source_fingerprint_before_after.csv","14327"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_threshold_audit.csv","reports\segments\17x_segmentation_design_260516\17x_threshold_audit.csv","1190"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_visualization_inventory.csv","reports\segments\17x_segmentation_design_260516\17x_visualization_inventory.csv","701"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_visualization_warnings.csv","reports\segments\17x_segmentation_design_260516\17x_visualization_warnings.csv","51"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\note_tail_copy.md","reports\segments\17x_segmentation_design_260516\note_tail_copy.md","19873"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\segments\17x_segmentation_design_260516\README.md","reports\segments\17x_segmentation_design_260516\README.md","1391"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\17x_segmentation_design_260516\17x_fig_proxy_contamination.png","reports\figures\17x_segmentation_design_260516\17x_fig_proxy_contamination.png","76235"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\17x_segmentation_design_260516\17x_fig_segment_churn_risk.png","reports\figures\17x_segmentation_design_260516\17x_fig_segment_churn_risk.png","74292"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\17x_segmentation_design_260516\17x_fig_segment_repurchase_rate.png","reports\figures\17x_segmentation_design_260516\17x_fig_segment_repurchase_rate.png","76385"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\17x_segmentation_design_260516\17x_fig_segment_row_count.png","reports\figures\17x_segmentation_design_260516\17x_fig_segment_row_count.png","75846"
