window,feature,missing_count,missing_rate
w1_3,membership_row_id,0,0.0
w1_3,w1_3_has_watch_obs,0,0.0
w1_3,w1_3_no_watch_obs_flag,0,0.0
w1_3,w1_3_total_watch_time,0,0.0
w1_3,w1_3_total_sessions,0,0.0
w1_3,w1_3_unique_contents,0,0.0
w1_3,w1_3_unique_watch_days,0,0.0
w1_3,w1_3_avg_watch_time_per_session,0,0.0
w1_3,w1_3_sessions_per_active_day,0,0.0
w1_3,w1_3_active_span_days,0,0.0
w1_3,w1_3_first_watch_rel_day,1498,0.062591
w1_3,w1_3_last_watch_rel_day,1498,0.062591
w1_3,w1_3_week1_watch_time,0,0.0
w1_3,w1_3_week2_watch_time,0,0.0
w1_3,w1_3_week3_watch_time,0,0.0
w1_3,w1_3_week1_sessions,0,0.0
w1_3,w1_3_week2_sessions,0,0.0
w1_3,w1_3_week3_sessions,0,0.0
w1_3,w1_3_week1_ratio,0,0.0
w1_3,w1_3_week2_ratio,0,0.0
w1_3,w1_3_week3_ratio,0,0.0
w1_3,w1_3_w2_minus_w1_watch_time,0,0.0
w1_3,w1_3_w3_minus_w1_watch_time,0,0.0
w1_3,w1_3_max_daily_watch_time,0,0.0
w1_3,w1_3_max_day_share,0,0.0
w1_3,w1_3_one_minute_watch_count,0,0.0
w1_3,w1_3_short_watch_count_le5,0,0.0
w1_3,w1_3_short_watch_time_le5,0,0.0
w1_4,membership_row_id,0,0.0
w1_4,w1_4_has_watch_obs,0,0.0
w1_4,w1_4_no_watch_obs_flag,0,0.0
w1_4,w1_4_total_watch_time,0,0.0
w1_4,w1_4_total_sessions,0,0.0
w1_4,w1_4_unique_contents,0,0.0
w1_4,w1_4_unique_watch_days,0,0.0
w1_4,w1_4_avg_watch_time_per_session,0,0.0
w1_4,w1_4_sessions_per_active_day,0,0.0
w1_4,w1_4_active_span_days,0,0.0
w1_4,w1_4_first_watch_rel_day,184,0.007688
w1_4,w1_4_last_watch_rel_day,184,0.007688
w1_4,w1_4_week1_watch_time,0,0.0
w1_4,w1_4_week2_watch_time,0,0.0
w1_4,w1_4_week3_watch_time,0,0.0
w1_4,w1_4_week1_sessions,0,0.0
w1_4,w1_4_week2_sessions,0,0.0
w1_4,w1_4_week3_sessions,0,0.0
w1_4,w1_4_week1_ratio,0,0.0
w1_4,w1_4_week2_ratio,0,0.0
w1_4,w1_4_week3_ratio,0,0.0
w1_4,w1_4_w2_minus_w1_watch_time,0,0.0
w1_4,w1_4_w3_minus_w1_watch_time,0,0.0
w1_4,w1_4_max_daily_watch_time,0,0.0
w1_4,w1_4_max_day_share,0,0.0
w1_4,w1_4_one_minute_watch_count,0,0.0
w1_4,w1_4_short_watch_count_le5,0,0.0
w1_4,w1_4_short_watch_time_le5,0,0.0
w1_4,w1_4_week4_watch_time,0,0.0
w1_4,w1_4_week4_sessions,0,0.0
w1_4,w1_4_week4_ratio,0,0.0
w1_4,w1_4_w4_minus_w1_watch_time,0,0.0
w1_4,w1_4_w4_minus_w3_watch_time,0,0.0
