USER_KEY,is_repurchase,is_promotion,is_churn_prevented,is_user_verified,is_standard,is_premium,age_group,is_female,is_male,reg_is_weekend,reg_hour_morning,reg_hour_afternoon,reg_hour_evening,reg_hour_night,payment_is_mobile,payment_is_pc,payment_is_android,payment_is_ios,total_watch_count,unique_movie,watch_days,active_ratio,total_watch_time_min,watch_per_day,avg_watch_time_min,median_watch_time_min,std_watch_time_min,avg_daily_watch_time_min,max_watch_time_min,max_daily_watch_time_min,max_daily_sessions,recency,avg_gap_between_watch_days,avg_gap_w1_watch_days,avg_gap_w2_watch_days,avg_gap_w3_watch_days,max_inactive_gap_days,avg_rewatch_ratio,weekend_watch_ratio,watch_ratio_under_1m,watch_ratio_under_5m,movie_per_active_day,max_day_share,day_count_over_3times,watch_time_min_w1,watch_time_min_w2,watch_time_min_w3,watch_session_w1,watch_session_w2,watch_session_w3,retention_w2_ratio,retention_w3_ratio,diff_between_w2_w1,diff_between_w3_w1,diff_between_w3_w2,is_w1_over_50pct,is_w2_over_50pct,is_w3_over_50pct,is_only_w1,is_only_w2,is_only_w3,new_movie_in_90d_ratio,new_movie_in_180d_ratio,new_movie_in_365d_ratio,old_movie_ratio_5y,avg_ott_release_year,genre_diversity_count,action_adventure_ratio,family_animation_ratio,drama_ratio,thriller_crime_ratio,sf_fantasy_ratio,comedy_ratio,romance_ratio,horror_ratio,documentary_ratio,historical_war_ratio,other_ratio,is_basic,is_cold_start_3d_fixed,is_cold_start_7d_fixed,log_retention_w2_ratio,log_retention_w3_ratio
534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,1,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390,1,0,0,1,0,0,30,1,0,0,0,0,1,0,0,0,0,1,4,1,2,0.0952380952380952,170,2.0,42.5,42.5,8.660254037844387,85.0,50,100,2,7,1.0,0.0,1.0,0.0,1,0.25,0.0,0.0,0.0,0.5,0.5882352941176471,0,0,170,0,0,4,0,171.0,0.0058479532163742,170,0,-170,0,1,0,0,1,0,0.0,0.0,0.0,1.0,2014.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5.14166355650266,-5.141663556502672
2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,1,0,0,1,0,0,60,0,1,0,0,0,0,1,0,0,1,0,18,14,5,0.238095238095238,954,3.6,53.0,26.5,54.6389217015296,190.8,146,795,11,6,1.75,0.0,1.0,0.0,4,0.0555555555555555,0.2222222222222222,0.1111111111111111,0.2777777777777778,2.8,0.8333333333333334,2,0,902,52,0,16,2,903.0,0.0586932447397563,902,52,-850,0,1,0,0,0,0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.3333333333333333,2016.6037735849056,6,0.0031446540880503,0.0,0.3784067085953878,0.0,0.0,0.0,0.1540880503144654,0.0115303983228511,0.0220125786163522,0.4308176100628931,0.0,1,0,0,6.805722553416985,-2.8354306398648648
0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,1,0,0,1,0,0,30,1,0,0,0,0,1,0,0,0,1,0,5,4,3,0.1428571428571428,502,1.6666666666666667,100.4,110.0,81.36522598751877,167.33333333333334,200,355,3,7,4.0,1.0,0.0,0.0,7,0.2,1.0,0.0,0.2,1.3333333333333333,0.7071713147410359,1,392,110,0,4,1,0,0.2824427480916031,0.009009009009009,-282,-392,-110,1,0,0,0,0,0,0.8,0.8,0.8,0.0,2020.7051792828688,2,0.0,0.0,0.0,0.2191235059760956,0.7808764940239044,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,-1.264279410556927,-4.709530201312335
62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,1,0,0,0,1,0,30,0,0,1,1,0,0,0,0,0,1,0,3,3,2,0.0952380952380952,19,1.5,6.333333333333333,2.0,8.386497083606084,9.5,16,18,2,7,8.0,0.0,0.0,0.0,8,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.5,0.9473684210526316,0,1,18,0,1,2,0,9.5,0.0526315789473684,17,-1,-18,0,1,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,2014.368421052632,3,0.0,0.1052631578947368,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0,0,1,2.2512917986064953,-2.9444389791664407
55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4,1,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,1,5,4,4,0.1904761904761904,326,1.25,65.2,51.0,27.0129598526337,81.5,102,136,2,1,4.666666666666667,0.0,0.0,3.0,9,0.2,0.4,0.0,0.0,1.0,0.4171779141104294,0,50,38,238,1,1,3,0.7647058823529411,6.128205128205129,-12,188,200,0,0,1,0,0,0,0.0,0.0,0.2,0.4,2017.696319018405,4,0.0,0.0,0.3128834355828221,0.0,0.2607361963190184,0.3098159509202454,0.1165644171779141,0.0,0.0,0.0,0.0,1,0,1,-0.2682639865946794,1.8129019058018643
b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,1,0,0,1,0,0,20,0,1,0,0,0,1,0,0,1,0,0,8,5,8,0.3809523809523809,333,1.0,41.625,48.5,29.60664741960108,41.625,81,81,1,1,2.7142857142857144,2.0,1.0,5.0,6,0.25,0.125,0.0,0.125,0.625,0.2432432432432432,0,119,145,69,3,3,2,1.2166666666666666,0.4794520547945205,26,-50,-76,0,0,0,0,0,0,0.0,0.0,0.0,0.125,2017.6666666666667,3,0.054054054054054,0.0,0.0,0.3033033033033033,0.0,0.0,0.0,0.0,0.0,0.6426426426426426,0.0,1,1,1,0.19611487892629037,-0.7351113796589775
215870651ff3758eed08f033a15756df74a2360a0d080b6eeafbbe97646854adec9188e869d8f016d79cd0ad00d4b76ba42b14adc1364fb101e6c3ff29535ff4,1,0,0,1,1,0,30,1,0,1,0,0,1,0,0,1,0,0,9,8,3,0.1428571428571428,100,3.0,11.11111111111111,11.0,4.567396535348241,33.333333333333336,17,71,6,2,9.0,5.0,0.0,0.0,13,0.1111111111111111,0.6666666666666666,0.0,0.0,2.6666666666666665,0.71,1,94,0,6,8,0,1,0.0105263157894736,7.0,-94,-88,6,1,0,0,0,0,0,0.0,0.2222222222222222,0.2222222222222222,0.0,2018.84,5,0.0,0.0,0.13,0.0,0.0,0.11,0.38,0.0,0.15,0.0,0.23,0,1,1,-4.553876891600549,1.9459101490553132
f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,1,0,0,1,0,0,20,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
