original_feature_name,safe_model_feature_name,user_decision,decision_reason,model_use_plan,final_status
USER_KEY,USER_KEY,audit_only,group key / identifier only,not_model_feature,audit_only
product_code,product_code,excluded,user approved exclusion of parent plan code,not_model_feature,excluded
price,price,excluded,user approved exclusion,not_model_feature,excluded
billing_method,billing_method,excluded,user approved exclusion of raw billing method,not_model_feature,excluded
max_screen,max_screen,excluded,user approved exclusion,not_model_feature,excluded
is_promotion,is_promotion,approved_scope_limited,split axis; allowed as feature only in overall_with_promotion model,split_key_and_overall_with_promotion_feature_only,approved_scope_limited
is_churn_prevented,is_churn_prevented,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
payment_device,payment_device,excluded,use derived payment device flags instead,not_model_feature,excluded
is_user_verified,is_user_verified,pending_user_review,not directly resolved in user approval list,exclude_until_review,pending_user_review
gender,gender,excluded,use is_male and is_female instead,not_model_feature,excluded
age,age,excluded,use age_group instead,not_model_feature,excluded
reg_date,reg_date,audit_only,feature excluded; allowed only as calculation/audit reference date,not_model_feature,audit_only
reg_hour,reg_hour,excluded,use registration time band flags instead,not_model_feature,excluded
end_date,end_date,audit_only,feature excluded; allowed only for audit/policy confirmation,not_model_feature,audit_only
is_repurchase,is_repurchase,target,"target variable, never a feature",not_model_feature,target
is_standard,is_standard,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_premium,is_premium,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
age_group,age_group,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_female,is_female,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_male,is_male,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
reg_is_weekend,reg_is_weekend,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
reg_hour_morning,reg_hour_morning,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
reg_hour_afternoon,reg_hour_afternoon,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
reg_hour_evening,reg_hour_evening,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
reg_hour_night,reg_hour_night,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
payment_is_mobile,payment_is_mobile,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
payment_is_pc,payment_is_pc,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
payment_is_android,payment_is_android,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
payment_is_ios,payment_is_ios,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
total_watch_count,total_watch_count,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
unique_movie,unique_movie,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
