original_feature_name,safe_model_feature_name,rename_rule_applied,collision_check,status
USER_KEY,USER_KEY,unchanged,unique,ok
product_code,product_code,unchanged,unique,ok
price,price,unchanged,unique,ok
billing_method,billing_method,unchanged,unique,ok
max_screen,max_screen,unchanged,unique,ok
is_promotion,is_promotion,unchanged,unique,ok
is_churn_prevented,is_churn_prevented,unchanged,unique,ok
payment_device,payment_device,unchanged,unique,ok
is_user_verified,is_user_verified,unchanged,unique,ok
gender,gender,unchanged,unique,ok
age,age,unchanged,unique,ok
reg_date,reg_date,unchanged,unique,ok
reg_hour,reg_hour,unchanged,unique,ok
end_date,end_date,unchanged,unique,ok
is_repurchase,is_repurchase,unchanged,unique,ok
is_standard,is_standard,unchanged,unique,ok
is_premium,is_premium,unchanged,unique,ok
age_group,age_group,unchanged,unique,ok
is_female,is_female,unchanged,unique,ok
is_male,is_male,unchanged,unique,ok
reg_is_weekend,reg_is_weekend,unchanged,unique,ok
reg_hour_morning,reg_hour_morning,unchanged,unique,ok
reg_hour_afternoon,reg_hour_afternoon,unchanged,unique,ok
reg_hour_evening,reg_hour_evening,unchanged,unique,ok
reg_hour_night,reg_hour_night,unchanged,unique,ok
payment_is_mobile,payment_is_mobile,unchanged,unique,ok
payment_is_pc,payment_is_pc,unchanged,unique,ok
payment_is_android,payment_is_android,unchanged,unique,ok
payment_is_ios,payment_is_ios,unchanged,unique,ok
total_watch_count,total_watch_count,unchanged,unique,ok
unique_movie,unique_movie,unchanged,unique,ok
watch_days,watch_days,unchanged,unique,ok
active_ratio,active_ratio,unchanged,unique,ok
total_watch_time(min),total_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
watch_per_day,watch_per_day,unchanged,unique,ok
avg_watch_time(min),avg_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
median_watch_time(min),median_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
std_watch_time(min),std_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
avg_daily_watch_time(min),avg_daily_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
max_watch_time(min),max_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
max_daily_watch_time(min),max_daily_watch_time_min,safe_name_rule_or_policy_replacement,unique,ok
max_daily_sessions,max_daily_sessions,unchanged,unique,ok
recency,recency,unchanged,unique,ok
avg_gap_between_watch_days,avg_gap_between_watch_days,unchanged,unique,ok
avg_gap_w1_watch_days,avg_gap_w1_watch_days,unchanged,unique,ok
avg_gap_w2_watch_days,avg_gap_w2_watch_days,unchanged,unique,ok
avg_gap_w3_watch_days,avg_gap_w3_watch_days,unchanged,unique,ok
max_inactive_gap_days,max_inactive_gap_days,unchanged,unique,ok
avg_rewatch_ratio,avg_rewatch_ratio,unchanged,unique,ok
weekend_watch_ratio,weekend_watch_ratio,unchanged,unique,ok
watch_ratio_under_1m,watch_ratio_under_1m,unchanged,unique,ok
watch_ratio_under_5m,watch_ratio_under_5m,unchanged,unique,ok
is_cold_start_3d,is_cold_start_3d_original,safe_name_rule_or_policy_replacement,unique,ok
is_cold_start_7d,is_cold_start_7d_original,safe_name_rule_or_policy_replacement,unique,ok
movie_per_active_day,movie_per_active_day,unchanged,unique,ok
