column_name,why_human_review_needed,what_question_to_ask_user_or_team,possible_safe_interpretation,possible_leakage_interpretation,temporary_status_for_modeling
USER_KEY,"identifier; not a unique-user analysis unit. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
product_code,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
price,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
billing_method,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
max_screen,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_promotion,"top-level split variable; use promotion rows/events wording. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
is_churn_prevented,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
payment_device,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_user_verified,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
gender,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
age,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_date,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
