column_order,column_name,dtype,missing_count,missing_rate,nunique,sample_values,min,max,mean,zero_count,zero_rate,constant_flag,binary_flag,high_cardinality_flag,contains_korean_or_special_chars,raw_name_risk
1,USER_KEY,str,0,0.0,23134,7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc144b0f23979d3794e250b9dd3a5c9a663e2fba6bb142541282756d406d98ee9e5b233153 | 4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f | 01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793d3f9d03a560771374901302484d7598e771f39abbd8766c54f38753186b3f17eee9fb48 | 534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3 | 70da9913e0b9dd104fe781fd724bf1423f4cb4416f640e5d6820aa4cf4797841e27860fc7c8b0310348100c53cc861448978dc74d15f6f527d1e68cc0469d6a6,,,,,,no,no,yes,no,no
2,product_code,str,0,0.0,46,pk_1489 | pk_1487 | pk_1488 | pk_2025 | pk_1508,,,,,,no,no,no,no,no
3,price,float64,0,0.0,32,100.0 | 7900.0 | 9.99 | 10900.0 | 6700.0,9.89,13900.0,3024.27823373174,0.0,0.0,no,no,no,no,no
4,billing_method,int64,0,0.0,9,134 | 190 | 180 | 151 | 131,121.0,190.0,146.95921689585742,0.0,0.0,no,no,no,no,no
5,max_screen,float64,0,0.0,3,4.0 | 1.0 | 2.0,1.0,4.0,1.6945551128818062,0.0,0.0,no,no,no,no,no
6,is_promotion,int64,0,0.0,2,1 | 0,0.0,1.0,0.5121449685130446,11388.0,0.4878550314869554,no,yes,no,no,no
7,is_churn_prevented,int64,0,0.0,2,0 | 1,0.0,1.0,0.17996829884762028,19142.0,0.8200317011523798,no,yes,no,no,no
8,payment_device,str,0,0.0,6,pc | android | smarttv | ios | mobile,,,,,,no,no,no,no,no
9,is_user_verified,int64,0,0.0,2,1 | 0,0.0,1.0,0.7719658998414942,5323.0,0.22803410015850575,no,yes,no,no,no
10,gender,str,0,0.0,3,F | N | M,,,,,,no,no,no,no,no
11,age,float64,0,0.0,12,20.0 | 25.0 | 40.0 | 35.0 | 30.0,15.0,70.0,33.69254166131174,0.0,0.0,no,no,no,no,no
12,reg_date,str,0,0.0,15,2021-03-14 | 2021-03-09 | 2021-03-03 | 2021-03-12 | 2021-03-05,,,,,,no,no,no,no,no
13,reg_hour,int64,0,0.0,24,20 | 14 | 2 | 19 | 23,0.0,23.0,13.559653857687529,1956.0,0.08379385683074154,no,no,no,no,no
14,end_date,str,0,0.0,38,2021-04-14 | 2021-04-09 | 2021-04-03 | 2021-04-12 | 2021-04-13,,,,,,no,no,no,no,no
15,is_repurchase,int64,0,0.0,2,1 | 0,0.0,1.0,0.7155035770894915,6641.0,0.28449642291050853,no,yes,no,no,no
16,is_standard,int64,0,0.0,2,0 | 1,0.0,1.0,0.20759970869211328,18497.0,0.7924002913078867,no,yes,no,no,no
