feature_set_name,model,transformed_feature,original_feature,feature_family,coefficient_for_repurchase_score,direction,coefficient_interpretation_caveat
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_week3_watch_time,w1_3_week3_watch_time,other,0.6273664462862709,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_week3_sessions,w1_3_week3_sessions,other,0.6236610888306228,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_avg_watch_time_per_session,w1_3_avg_watch_time_per_session,other,0.4441759109846691,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__is_promotion_O,is_promotion,other,0.441317605476399,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_unique_contents,w1_3_unique_contents,other,0.42285886827596514,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__payment_device_ios,payment_device,other,0.354180749600142,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__billing_method_140,billing_method,other,0.354180749600142,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__is_user_verified_N,is_user_verified,other,0.26031086545292687,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__price,price,membership_context,0.2514033977253965,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_week2_watch_time,w1_3_week2_watch_time,other,0.21993973127532335,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__payment_device_pc,payment_device,other,0.1868411086426051,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__is_user_verified_Y,is_user_verified,other,0.18100674002347167,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__gender_F,gender,membership_context,0.17751072251064562,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__gender_N,gender,membership_context,0.16653507517767355,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__payment_device_ott,payment_device,other,0.1580559026284037,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_genre_entropy,w1_3_genre_entropy,other,0.12799187027729172,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__gender_M,gender,membership_context,0.0972718077880769,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__max_screen,max_screen,other,0.0948512469256539,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__billing_method_151,billing_method,other,0.08269900853320945,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,num__w1_3_week2_sessions,w1_3_week2_sessions,other,0.08043374680667084,positive_to_repurchase_score,unstable_family_level_only
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,LogisticRegression,cat__payment_device_mobile,payment_device,other,0.07324781257185002,positive_to_repurchase_score,unstable_family_level_only
