roc_auc,average_precision,brier_score,accuracy,balanced_accuracy,precision_repurchase,recall_repurchase,f1_repurchase,precision_churn,recall_churn,f1_churn,cm_tn_churn_correct,cm_fp_churn_as_repurchase,cm_fn_repurchase_as_churn,cm_tp_repurchase_correct,dataset,feature_set,model_name,n_train,n_test,n_features_original,target_rate_train,target_rate_test,top10_actual_churn_rate,top10_churn_capture_rate,top20_actual_churn_rate,selection_score
0.643978535408126,0.7756118923944133,0.2314282961554363,0.6277137496649692,0.6114911163605443,0.7586996336996337,0.6578007145692735,0.7046566021688284,0.442792501616031,0.5651815181518152,0.49655672345052554,685,527,862,1657,overall,tree_candidate,extra_trees,11191,3731,56,0.6752747743722635,0.6751541141785045,0.553475935828877,0.1707920792079208,0.4979919678714859,0.6514919321293638
0.6428028173996438,0.7758913258319053,0.23392615731087346,0.6108281961940498,0.6017688013342819,0.754653937947494,0.6276300119094879,0.6853055916775033,0.42665036674816625,0.5759075907590759,0.4901685393258427,698,514,938,1581,overall,promotion_plan_focused,extra_trees,11191,3731,21,0.6752747743722635,0.6751541141785045,0.5401069518716578,0.16666666666666666,0.5100401606425703,0.6506362806824262
0.6456902786348504,0.7736840081199524,0.2299101476055631,0.6242294291074779,0.6054859306891388,0.7535179300953245,0.6589916633584756,0.7030919102075391,0.43782722513089006,0.551980198019802,0.48832116788321167,669,543,859,1660,overall,promotion_plan_focused,random_forest,11191,3731,21,0.6752747743722635,0.6751541141785045,0.553475935828877,0.1707920792079208,0.5167336010709505,0.6498000474929726
0.6442865902310756,0.7751546754633131,0.23125418334219722,0.631466094880729,0.6112732998190649,0.75696316262354,0.6689162366018261,0.7102212855637513,0.44584717607973423,0.5536303630363036,0.4939271255060729,671,541,834,1685,overall,content_added,extra_trees,11191,3731,97,0.6752747743722635,0.6751541141785045,0.553475935828877,0.1707920792079208,0.49531459170013387,0.6497835792995894
0.643300356236497,0.7740717159018888,0.23301194958248383,0.6215491825247923,0.6077820118256367,0.7570831398049234,0.647082175466455,0.6977739726027398,0.43662864385297845,0.5684818481848185,0.4939068100358423,689,523,889,1630,overall,core_reduced,extra_trees,11191,3731,25,0.6752747743722635,0.6751541141785045,0.5401069518716578,0.16666666666666666,0.49531459170013387,0.6492914092903673
0.6451932311135044,0.7756110537280358,0.2275020132074232,0.6360225140712945,0.6099385593581192,0.7538259728902492,0.684398570861453,0.7174365376612568,0.44944598337950137,0.5354785478547854,0.48870481927710846,649,563,795,1724,overall,core_reduced,random_forest,11191,3731,25,0.6752747743722635,0.6751541141785045,0.553475935828877,0.1707920792079208,0.5073627844712182,0.6475828899856353
0.6384658116466668,0.7698990455040935,0.2360624327125764,0.6027874564459931,0.5983826548593725,0.7540421362077413,0.610956728860659,0.675,0.42011834319526625,0.5858085808580858,0.48931771192281187,710,502,980,1539,overall,tree_candidate,logistic,11191,3731,56,0.6752747743722635,0.6751541141785045,0.5267379679144385,0.16254125412541254,0.499330655957162,0.646666358932902
0.6399872520003093,0.771330000967918,0.232991582243339,0.6215491825247923,0.6020026675156598,0.7507929315813321,0.6578007145692735,0.7012272534913246,0.4343832020997375,0.5462046204620462,0.48391812865497075,662,550,862,1657,overall,promotion_reduced_interpretable,extra_trees,11191,3731,34,0.6752747743722635,0.6751541141785045,0.5561497326203209,0.1716171617161716,0.4966532797858099,0.6461799166044737
0.6360719587242567,0.7649487877720651,0.2365497492298046,0.6046636290538729,0.600628294270475,0.7558823529411764,0.6121476776498611,0.676464136872121,0.4222353636901242,0.5891089108910891,0.4919049259386841,714,498,977,1542,overall,content_added,logistic,11191,3731,97,0.6752747743722635,0.6751541141785045,0.5320855614973262,0.16419141914191418,0.49129852744310576,0.6456487492271941
0.6383980101066875,0.7713600065574165,0.23267818979300178,0.6191369606003753,0.6053534392740585,0.7553488372093023,0.6447002778880508,0.6956521739130435,0.43390259329538267,0.566006600660066,0.49122807017543857,686,526,895,1624,overall,without_churn_prevention,extra_trees,11191,3731,55,0.6752747743722635,0.6751541141785045,0.5347593582887701,0.16501650165016502,0.4886211512717537,0.6452340000296889
