dataset,feature_set,model_name,risk_decile,n,avg_risk_score,avg_proba_repurchase,actual_repurchase_rate,actual_churn_rate,churn_count,churn_capture_rate
overall,content_added,catboost,1,374,0.5714664514705904,0.42853354852940956,0.48128342245989303,0.5187165775401069,194,0.16006600660066006
overall,content_added,catboost,2,373,0.45297226315899003,0.5470277368410099,0.5201072386058981,0.47989276139410186,179,0.1476897689768977
overall,content_added,catboost,3,373,0.398371126080966,0.601628873919034,0.5951742627345844,0.40482573726541554,151,0.12458745874587458
overall,content_added,catboost,4,373,0.3548195923350526,0.6451804076649473,0.6407506702412868,0.35924932975871315,134,0.11056105610561057
overall,content_added,catboost,5,373,0.32273199121137336,0.6772680087886266,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,content_added,catboost,6,373,0.295971947821124,0.7040280521788759,0.7131367292225201,0.2868632707774799,107,0.08828382838283828
overall,content_added,catboost,7,373,0.2669018799519049,0.7330981200480952,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,content_added,catboost,8,373,0.2353900169248625,0.7646099830751375,0.774798927613941,0.225201072386059,84,0.06930693069306931
overall,content_added,catboost,9,373,0.20642954507766292,0.7935704549223371,0.7828418230563002,0.21715817694369974,81,0.06683168316831684
overall,content_added,catboost,10,373,0.15903820925988757,0.8409617907401125,0.8337801608579088,0.16621983914209115,62,0.05115511551155116
overall,content_added,dummy,1,374,1.0,0.0,0.6684491978609626,0.3315508021390374,124,0.10231023102310231
overall,content_added,dummy,2,373,1.0,0.0,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,content_added,dummy,3,373,1.0,0.0,0.646112600536193,0.353887399463807,132,0.10891089108910891
overall,content_added,dummy,4,373,0.22788203753351208,0.7721179624664879,0.6916890080428955,0.30831099195710454,115,0.09488448844884488
overall,content_added,dummy,5,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,content_added,dummy,6,373,0.0,1.0,0.6514745308310992,0.3485254691689008,130,0.10726072607260725
overall,content_added,dummy,7,373,0.0,1.0,0.6970509383378016,0.30294906166219837,113,0.09323432343234324
overall,content_added,dummy,8,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,content_added,dummy,9,373,0.0,1.0,0.6300268096514745,0.3699731903485255,138,0.11386138613861387
overall,content_added,dummy,10,373,0.0,1.0,0.6890080428954424,0.3109919571045576,116,0.09570957095709572
overall,content_added,extra_trees,1,374,0.7062970141404009,0.29370298585959903,0.446524064171123,0.553475935828877,207,0.1707920792079208
overall,content_added,extra_trees,2,373,0.617766256379584,0.38223374362041596,0.5630026809651475,0.43699731903485256,163,0.13448844884488448
overall,content_added,extra_trees,3,373,0.56415064777416,0.43584935222584,0.5898123324396782,0.4101876675603217,153,0.12623762376237624
overall,content_added,extra_trees,4,373,0.5200416400253253,0.47995835997467473,0.613941018766756,0.38605898123324395,144,0.1188118811881188
overall,content_added,extra_trees,5,373,0.48389859835102994,0.5161014016489701,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,content_added,extra_trees,6,373,0.45175819465354244,0.5482418053464575,0.7131367292225201,0.2868632707774799,107,0.08828382838283828
overall,content_added,extra_trees,7,373,0.42189679977377886,0.5781032002262211,0.7479892761394102,0.2520107238605898,94,0.07755775577557755
overall,content_added,extra_trees,8,373,0.393655089503093,0.606344910496907,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,content_added,extra_trees,9,373,0.36183531319465306,0.6381646868053469,0.806970509383378,0.19302949061662197,72,0.0594059405940594
overall,content_added,extra_trees,10,373,0.3000010866797747,0.6999989133202252,0.8230563002680965,0.1769436997319035,66,0.054455445544554455
overall,content_added,gradient_boosting,1,374,0.5719178724681463,0.4280821275318537,0.45454545454545453,0.5454545454545454,204,0.16831683168316833
overall,content_added,gradient_boosting,2,373,0.4612614541693744,0.5387385458306256,0.5442359249329759,0.45576407506702415,170,0.14026402640264027
overall,content_added,gradient_boosting,3,373,0.4009565441143092,0.5990434558856907,0.5924932975871313,0.4075067024128686,152,0.1254125412541254
overall,content_added,gradient_boosting,4,373,0.35401108975852746,0.6459889102414725,0.6514745308310992,0.3485254691689008,130,0.10726072607260725
overall,content_added,gradient_boosting,5,373,0.32109744920701067,0.6789025507929893,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,content_added,gradient_boosting,6,373,0.29086180177094983,0.7091381982290501,0.7184986595174263,0.28150134048257375,105,0.08663366336633663
overall,content_added,gradient_boosting,7,373,0.26180215917093985,0.7381978408290601,0.7479892761394102,0.2520107238605898,94,0.07755775577557755
overall,content_added,gradient_boosting,8,373,0.23726352508147416,0.7627364749185259,0.7855227882037533,0.21447721179624665,80,0.066006600660066
overall,content_added,gradient_boosting,9,373,0.21044680840151067,0.7895531915984894,0.774798927613941,0.225201072386059,84,0.06930693069306931
