window,feature,family,action,reason,selected_feature_sets,product_code_policy,watch_presence_policy,timing_label
w1_3,membership_row_id,metadata,keep_metadata,"ID metadata only, not a model feature.",,,,
w1_3,USER_KEY,group_metadata,keep_group_metadata,"Group split metadata only, not a model feature.",,,,
w1_3,is_repurchase,target,keep_target,Target only.,,,,
w1_3,price,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,product_code,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag,sensitivity_only,,
w1_3,max_screen,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,is_promotion,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,is_user_verified,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,gender,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,age,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,payment_device,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,billing_method,membership,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag|pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag|pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag|pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag|pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,,,
w1_3,is_churn_prevented,membership,drop_feature,excluded_from_default_policy,,,,
w1_3,w1_3_has_watch_obs,usage,keep_feature,Selected by final pruned policy variants.,pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag,,sensitivity_only,
w1_3,w1_3_no_watch_obs_flag,usage,drop_feature,complementary_watch_presence_proxy,,,sensitivity_only,
w1_3,w1_3_total_watch_time,usage,drop_feature,structural_duplicate_of_weekly_watch_time,,,,
