safe_model_feature_name,present_in_feature_set,feature_set_name,AARRR_stage,feature_family,cohort_2x2_values,near_constant_in_any_cohort,group_proxy_risk,redundancy_or_leakage_review_needed,user_approval_required,recommended_next_step,notes
is_user_verified,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_user_verified,True,expanded_feature_set,Needs_user_review,profile_context_needs_review,nonpromotion_nonrepurchase=0.5532956685499059; nonpromotion_repurchase=0.5272300469483568; promotion_nonrepurchase=1.0; promotion_repurchase=1.0,True,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_ios,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_ios,True,expanded_feature_set,Acquisition_context,membership_context,nonpromotion_nonrepurchase=0.3216572504708098; nonpromotion_repurchase=0.34788732394366195; promotion_nonrepurchase=0.0; promotion_repurchase=0.0,True,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
age_group,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
age_group,True,expanded_feature_set,Needs_user_review,profile_context_needs_review,nonpromotion_nonrepurchase=33.822975517890775; nonpromotion_repurchase=34.205399061032864; promotion_nonrepurchase=29.314714248771658; promotion_repurchase=29.639168844096055,False,False,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_mobile,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_mobile,True,expanded_feature_set,Acquisition_context,membership_context,nonpromotion_nonrepurchase=0.07909604519774012; nonpromotion_repurchase=0.07981220657276995; promotion_nonrepurchase=0.2265321955003879; promotion_repurchase=0.22458628841607564,False,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_female,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_female,True,expanded_feature_set,Needs_user_review,profile_context_needs_review,nonpromotion_nonrepurchase=0.4387947269303202; nonpromotion_repurchase=0.44800469483568073; promotion_nonrepurchase=0.6087406258081199; promotion_repurchase=0.6232425034216748,False,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_premium,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_premium,True,expanded_feature_set,Acquisition_context,membership_context,nonpromotion_nonrepurchase=0.09416195856873823; nonpromotion_repurchase=0.09929577464788733; promotion_nonrepurchase=0.2022239462115335; promotion_repurchase=0.23628219484882418,False,False,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_male,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
is_male,True,expanded_feature_set,Needs_user_review,profile_context_needs_review,nonpromotion_nonrepurchase=0.2580037664783427; nonpromotion_repurchase=0.23615023474178404; promotion_nonrepurchase=0.39125937419188; promotion_repurchase=0.37638422296876944,False,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_pc,False,conservative_safe_22,,,,False,False,False,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
payment_is_pc,True,expanded_feature_set,Acquisition_context,membership_context,nonpromotion_nonrepurchase=0.13069679849340865; nonpromotion_repurchase=0.1346244131455399; promotion_nonrepurchase=0.23584173778122575; promotion_repurchase=0.25706109244743064,False,True,True,True,"Pass to 10x or 11x redundancy, near-constant, group proxy, and leakage suspect audit. Do not remove here.","Observed 08x difference is not cause, importance, or final feature usage approval."
