downstream_step,handoff_topic,feature_set_name,related_features,reason,required_action,risk_if_ignored,user_approval_required,notes
10x_feature_distribution_EDA,feature families to review,conservative_safe_22,"early_week1_watch_behavior, onboarding_cold_start_fixed, usage_retention_behavior",09x summarized observed 2x2 differences by feature family.,Review distributions and missingness without feature removal.,Descriptive distribution issues may be missed.,False,Family summary is not an importance ranking.
10x_feature_distribution_EDA,09x top difference feature distribution recheck,conservative_safe_22,"watch_session_w3, watch_time_min_w3, avg_gap_w3_watch_days, watch_time_min_w2, diff_between_w3_w1, watch_session_w2, retention_w3_ratio, retention_w2_ratio, diff_between_w2_w1, is_w1_over_50pct, avg_gap_w2_watch_days, is_only_w1, diff_between_w3_w2, is_w3_over_50pct, watch_time_min_w1, is_cold_start_7d_fixed, avg_gap_w1_watch_days, is_w2_over_50pct, is_cold_start_3d_fixed, is_only_w2",Largest observed 2x2 differences need distribution-level sanity check.,"Reconfirm shape, missingness, outliers, and cohort-level stability.",Top differences may be artifacts of skew or near constants.,False,Not a feature selection decision.
10x_or_11x,multicollinearity and feature redundancy audit required,conservative_safe_22,all use_as_feature fields,09x intentionally does not run redundancy audit.,"Run VIF, pairwise correlation, redundancy cluster, near-constant, duplicate-like, and leakage-suspect audits.",Expanded feature usage may be unstable or redundant.,True,No feature removal allowed without user approval.
11x_modeling_preflight,conservative vs expanded feature usage confirmation,conservative_safe_22,feature-set contract,09x kept conservative and expanded analyses separate.,Confirm actual feature list and scope before any model fit.,Feature-set mixing or accidental is_promotion usage may occur.,True,11x and 12x must re-check actual expanded feature usage.
10x_feature_distribution_EDA,feature families to review,expanded_feature_set,"membership_context, early_week1_watch_behavior, onboarding_cold_start_fixed, profile_context_needs_review, usage_retention_behavior, content_preference_context, historical_churn_prevention_context",09x summarized observed 2x2 differences by feature family.,Review distributions and missingness without feature removal.,Descriptive distribution issues may be missed.,False,Family summary is not an importance ranking.
10x_feature_distribution_EDA,09x top difference feature distribution recheck,expanded_feature_set,"watch_session_w3, watch_time_min_w3, recency, total_watch_time_min, max_watch_time_min, watch_days, active_ratio, genre_diversity_count, max_daily_watch_time_min, total_watch_count, avg_gap_w3_watch_days, unique_movie, max_inactive_gap_days, watch_time_min_w2, max_day_share, is_user_verified, std_watch_time_min, avg_daily_watch_time_min, diff_between_w3_w1, avg_watch_time_min",Largest observed 2x2 differences need distribution-level sanity check.,"Reconfirm shape, missingness, outliers, and cohort-level stability.",Top differences may be artifacts of skew or near constants.,False,Not a feature selection decision.
10x_or_11x,multicollinearity and feature redundancy audit required,expanded_feature_set,all use_as_feature fields,09x intentionally does not run redundancy audit.,"Run VIF, pairwise correlation, redundancy cluster, near-constant, duplicate-like, and leakage-suspect audits.",Expanded feature usage may be unstable or redundant.,True,No feature removal allowed without user approval.
11x_modeling_preflight,conservative vs expanded feature usage confirmation,expanded_feature_set,feature-set contract,09x kept conservative and expanded analyses separate.,Confirm actual feature list and scope before any model fit.,Feature-set mixing or accidental is_promotion usage may occur.,True,11x and 12x must re-check actual expanded feature usage.
10x_or_11x,VIF required,both,numeric features,Multicollinearity not tested in 09x.,Compute VIF where method assumptions are acceptable.,Redundant predictors may distort interpretation.,True,Removal is not allowed here.
10x_or_11x,pairwise correlation required,both,numeric and binary features,Pairwise redundancy not tested in 09x.,Create correlation pair table.,Duplicate-like signals may be missed.,True,Use as audit evidence only.
10x_or_11x,feature family redundancy cluster required,both,all feature families,Families contain related variables.,Cluster or group redundant features by family.,Interpretation may double-count signals.,True,No automatic removal.
10x_or_11x,near-constant feature audit required,expanded_feature_set,"is_user_verified, payment_is_ios and all low-variation fields",09x context review found proxy or near-constant risk candidates.,Audit dominant value share overall and by cohort.,Group proxy or near-constant features may be overinterpreted.,True,Do not remove without approval.
10x_or_11x,duplicate-like feature audit required,both,all fields,Duplicate-like features were not tested in 09x.,Run exact and near-exact equality checks.,Redundant feature families may inflate interpretation.,True,Audit only.
11x_modeling_preflight,target leakage suspect audit required,expanded_feature_set,"is_churn_prevented, context/profile/payment and policy-caveat fields",Potential leakage or proxy variables require pre-model gate.,"Review timing, source, and target relation before any model fit.",Modeling may use invalid predictors.,True,09x does not approve feature use.
10x_or_11x,is_user_verified group proxy risk check,expanded_feature_set,is_user_verified,08x and 09x indicate proxy-risk review candidate.,"Check cohort distribution, redundancy, and leakage suspect status.",Proxy-like interpretation may be overstated.,True,No removal decision in 09x.
10x_or_11x,payment_is_ios near-constant and group proxy risk check,expanded_feature_set,payment_is_ios,User flagged near-constant/group-proxy risk.,Audit dominant share by cohort and redundancy with payment fields.,Device/payment proxy may be overinterpreted.,True,No removal decision in 09x.
11x/12x,actual expanded 80 feature usage recheck,expanded_feature_set,expanded use_as_feature fields,Feature count and use need pre-model verification.,Recount and validate expanded feature list before modeling.,Expanded feature-set assumption may drift from actual contract.,True,09x is not modeling approval.
SHAP_step,context/profile/payment interpretation overclaim guardrail,expanded_feature_set,"is_user_verified, payment_is_ios, age_group, payment_is_mobile, is_female, is_premium, is_male, payment_is_pc",Proxy-risk candidates require careful XAI wording.,Avoid causal or social-profile overinterpretation in SHAP.,XAI narrative may become unsupported.,True,SHAP not performed in 09x.
