feature_set_name,comparison_scope,AARRR_stage,feature_count,compared_feature_count,avg_abs_difference_or_smd,max_abs_difference_or_smd,top_diff_features,interpretation_guardrail,notes
conservative_safe_22,within_promotion_repurchase,Activation,6,6,0.09335779333258153,0.23240862446406474,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, is_cold_start_3d_fixed, is_cold_start_7d_fixed","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,within_promotion_repurchase,Retention,16,16,0.2928985249635574,0.6913420634313308,"watch_time_min_w3, watch_session_w3, avg_gap_w3_watch_days, diff_between_w3_w1, watch_time_min_w2","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,within_promotion_repurchase,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
conservative_safe_22,within_nonpromotion_repurchase,Activation,6,6,0.11806283168129704,0.29991910028911706,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, is_cold_start_7d_fixed, watch_session_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,within_nonpromotion_repurchase,Retention,16,16,0.3306090416653249,0.7500986291124193,"watch_session_w3, watch_time_min_w3, avg_gap_w3_watch_days, watch_time_min_w2, diff_between_w3_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,within_nonpromotion_repurchase,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
conservative_safe_22,between_promotion_status_within_repurchase_1,Activation,6,6,0.005282502160993304,0.010146996198918012,"is_cold_start_3d_fixed, is_only_w1, is_w1_over_50pct, watch_session_w1, watch_time_min_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,between_promotion_status_within_repurchase_1,Retention,16,16,0.019984168701499563,0.05519503174629276,"avg_gap_w3_watch_days, watch_session_w3, watch_time_min_w3, avg_gap_w2_watch_days, diff_between_w3_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,between_promotion_status_within_repurchase_1,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
conservative_safe_22,between_promotion_status_within_repurchase_0,Activation,6,6,0.039581708621917,0.07287098277617798,"is_w1_over_50pct, is_only_w1, is_cold_start_7d_fixed, is_cold_start_3d_fixed, watch_time_min_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
