query_title,title,releasedate,originalreleaseyear,country,targetage,playtime,genre
걸어서하늘까지(1992),걸어서 하늘까지,19920523.0,1992.0,한국,연소자관람불가,116.0,드라마|멜로/로맨스
너와극장에서,너와 극장에서,20180628.0,2017.0,한국,12세이상관람가,79.0,드라마
가려진시간[가치봄],가려진 시간,20161116.0,2016.0,한국,12세이상관람가,129.0,드라마|판타지
그링고,그링고,20200305.0,2018.0,미국,15세이상관람가,110.0,액션|코미디|드라마
스위치(2010),스위치,20230104.0,2021.0,한국,12세이상관람가,112.0,기타
국도극장,국도극장,20200529.0,2020.0,한국,12세이상관람가,92.0,드라마
맨인블랙2,맨 인 블랙 2,20020710.0,2002.0,미국,12세관람가,88.0,SF
곤조는못말려,곤조는 못말려,,2010.0,미국,,99.0,코미디|드라마|멜로/로맨스
손오공:색즉시공,손오공: 색즉시공,,2017.0,중국,,99.0,판타지|액션
13이어리,13 이어리,20150121.0,2013.0,캐나다,청소년관람불가,85.0,공포(호러)|액션
앵그리버드더무비,앵그리버드 더 무비,20160519.0,2016.0,미국|핀란드,전체관람가,97.0,애니메이션
백조공주:왕실결혼식,백조공주: 왕실 결혼식,,2020.0,미국,,,애니메이션
"좀비들의도시,베가스",좀비들의 도시 베가스,,2011.0,미국,,88.0,액션|드라마|공포(호러)
크레이지리치아시안,크레이지 리치 아시안,20181025.0,2018.0,미국,12세이상관람가,120.0,멜로/로맨스|코미디
신정무문2-뇌전영웅,신정무문 2 : 뇌전영웅,,1992.0,,,93.0,
프리댄스,프리댄스,,2018.0,루마니아|미국,,103.0,멜로/로맨스
미키의크리스마스선물,미키의 크리스마스 선물,,2004.0,미국,전체관람가,67.0,애니메이션|코미디|가족
보글보글스폰지밥,보글보글 스폰지밥(애니),20050930.0,2004.0,미국,전체관람가,87.0,애니메이션|코미디
오버로드(2018),오버로드,,1975.0,영국,,,드라마
연애의목적,연애의 목적,20050610.0,2005.0,한국,18세관람가,121.0,드라마|코미디|멜로/로맨스
블랙클랜스맨,블랙클랜스맨,,2018.0,미국,,,코미디
나이트메어비긴즈,나이트메어 비긴즈,20180901.0,2017.0,영국,15세이상관람가,93.0,공포(호러)
올드마린보이,올드마린보이,20171102.0,2017.0,한국,전체관람가,84.0,다큐멘터리
마법에걸린사랑,마법에 걸린 사랑,20080110.0,2007.0,미국,전체관람가,106.0,멜로/로맨스|드라마|코미디
바이더씨,바이 더 씨,20160428.0,2015.0,미국,청소년관람불가,122.0,드라마|멜로/로맨스
윙오브스틸,윙 오브 스틸,,2018.0,체코,,100.0,드라마
전설의파이터,전설의 파이터,20200616.0,2020.0,한국,청소년관람불가,89.0,액션
포레스트로빈후드,포레스트 로빈후드,,2009.0,캐나다,,93.0,액션|어드벤처|판타지
영화로운나날,영화로운 나날,20191212.0,2019.0,한국,12세이상관람가,86.0,멜로/로맨스|드라마|판타지
소시민,소시민,20170112.0,2015.0,한국,15세이상관람가,117.0,코미디
촉산(1983),촉산,19830423.0,1983.0,홍콩,연소자관람가,96.0,액션|공포(호러)
슈퍼에이트,슈퍼 에이트,20110616.0,2011.0,미국,12세이상관람가,112.0,SF
지워야산다,지워야 산다,20171123.0,2017.0,한국,청소년관람불가,72.0,범죄|스릴러
그대이름은장미,그대 이름은 장미,20190116.0,2016.0,한국,12세이상관람가,125.0,코미디
약지의표본,약지의 표본,20070823.0,2005.0,프랑스|독일|영국,청소년관람불가,104.0,드라마
천장지구(1990),천장지구,19901013.0,1990.0,홍콩,고등학생이상관람가,90.0,액션
"로만J이스라엘,에스콰이어","로만 J 이스라엘, 에스콰이어",,2017.0,미국,,,범죄
하우스오브다크,하우스 오브 다크,20150625.0,2014.0,스페인|멕시코,15세이상관람가,109.0,공포(호러)
분노의전차군단,분노의 전차군단,20170508.0,2014.0,미국,15세이상관람가,87.0,액션|전쟁
패션왕[가치봄],패션왕,20141106.0,2014.0,한국,15세이상관람가,114.0,코미디|드라마
퍼펙트크라임(2015),퍼펙트 크라임,20170314.0,2015.0,미국,15세이상관람가,90.0,액션|범죄|스릴러
배드키즈아카데미,배드 키즈 아카데미,,2017.0,미국,,101.0,액션|코미디|스릴러
익스트랙션데이,익스트랙션 데이,20150225.0,2014.0,미국,15세이상관람가,105.0,액션
살인의뢰[요약판],살인의뢰,20150312.0,2014.0,한국,청소년관람불가,102.0,범죄|스릴러
완벽한망상,완벽한 망상,20180202.0,2016.0,미국,청소년관람불가,74.0,공포(호러)|스릴러
더발트:최후의전사,더 발트 : 최후의 전사,,2020.0,헝가리,15세이상관람가,97.0,다큐멘터리
