feature_set,feature,manual_policy
core_reduced,is_promotion,KEEP
core_reduced,max_screen,AUTO
core_reduced,is_churn_prevented,KEEP
core_reduced,age,AUTO
core_reduced,gender,AUTO
core_reduced,billing_method,AUTO
core_reduced,payment_device,AUTO
core_reduced,is_user_verified,AUTO
core_reduced,reg_hour,AUTO
core_reduced,subscription_days,AUTO
core_reduced,has_watch_obs,AUTO
core_reduced,days_since_last_watch_to_obs_end,AUTO
core_reduced,front_loaded_ratio,AUTO
core_reduced,late_ratio,AUTO
core_reduced,w3_minus_w1_watch_time,AUTO
core_reduced,unique_days,AUTO
core_reduced,watch_days_ratio,AUTO
core_reduced,max_day_share,AUTO
core_reduced,stable_2screen_active,AUTO
core_reduced,discount_sensitive_risk,AUTO
core_reduced,family_2screen_lifestyle,AUTO
core_reduced,premium_action_trial_risk,AUTO
core_reduced,metadata_covered_watch_ratio,AUTO
core_reduced,genre_tag_entropy_norm,AUTO
core_reduced,country_entropy_norm,AUTO
tree_candidate,is_promotion,KEEP
tree_candidate,is_churn_prevented,KEEP
tree_candidate,daily_watch_slope,AUTO
tree_candidate,alloc_dur_코미디,AUTO
tree_candidate,max_screen,AUTO
tree_candidate,promo_x_4screen,AUTO
tree_candidate,days_since_last_watch_to_obs_end,AUTO
tree_candidate,only_week1_flag,AUTO
tree_candidate,promo_x_2screen,AUTO
tree_candidate,family_2screen_lifestyle,AUTO
tree_candidate,promo2_family_lifestyle_candidate,AUTO
tree_candidate,stable_2screen_active,AUTO
tree_candidate,screen_2_flag,AUTO
tree_candidate,premium_action_trial_risk,AUTO
tree_candidate,discount_sensitive_risk,AUTO
tree_candidate,is_user_verified,AUTO
tree_candidate,country_entropy_norm,AUTO
tree_candidate,alloc_ratio_액션,AUTO
tree_candidate,promo_x_1screen,AUTO
tree_candidate,rating_ratio_12세,AUTO
tree_candidate,gender,AUTO
tree_candidate,billing_method,AUTO
tree_candidate,rating_dur_국민학생관람불가,AUTO
tree_candidate,total_sessions,AUTO
tree_candidate,unique_days,AUTO
tree_candidate,week1_ratio,AUTO
tree_candidate,week3_ratio,AUTO
tree_candidate,unique_contents,AUTO
tree_candidate,total_watch_time,AUTO
tree_candidate,w3_minus_w1_watch_time,AUTO
tree_candidate,tag_dur_코미디,AUTO
tree_candidate,screen_1_flag,AUTO
tree_candidate,screen_4_flag,AUTO
tree_candidate,price,AUTO
tree_candidate,age_band,AUTO
tree_candidate,age,AUTO
tree_candidate,payment_device,AUTO
tree_candidate,reg_hour,AUTO
tree_candidate,subscription_days,AUTO
tree_candidate,has_watch_obs,AUTO
tree_candidate,watch_days_ratio,AUTO
tree_candidate,front_loaded_ratio,AUTO
tree_candidate,late_ratio,AUTO
tree_candidate,max_day_share,AUTO
tree_candidate,metadata_covered_watch_ratio,AUTO
tree_candidate,genre_tag_entropy_norm,AUTO
tree_candidate,rating_ratio_전체,AUTO
tree_candidate,rating_ratio_15세,AUTO
tree_candidate,rating_ratio_청불,AUTO
tree_candidate,tag_ratio_액션,AUTO
tree_candidate,tag_ratio_드라마,AUTO
tree_candidate,tag_ratio_애니메이션_키즈,AUTO
tree_candidate,tag_ratio_가족,AUTO
tree_candidate,avg_runtime_weighted,AUTO
tree_candidate,is_long_movie_ratio,AUTO
tree_candidate,is_recent_content_ratio,AUTO
content_added,is_promotion,KEEP
content_added,is_churn_prevented,KEEP
content_added,daily_watch_slope,AUTO
content_added,alloc_dur_코미디,AUTO
content_added,max_screen,AUTO
content_added,promo_x_4screen,AUTO
content_added,days_since_last_watch_to_obs_end,AUTO
content_added,only_week1_flag,AUTO
content_added,promo_x_2screen,AUTO
content_added,family_2screen_lifestyle,AUTO
content_added,promo2_family_lifestyle_candidate,AUTO
content_added,stable_2screen_active,AUTO
content_added,screen_2_flag,AUTO
content_added,premium_action_trial_risk,AUTO
content_added,discount_sensitive_risk,AUTO
content_added,is_user_verified,AUTO
content_added,country_entropy_norm,AUTO
content_added,alloc_ratio_액션,AUTO
content_added,promo_x_1screen,AUTO
content_added,rating_ratio_12세,AUTO
content_added,gender,AUTO
content_added,billing_method,AUTO
content_added,rating_dur_국민학생관람불가,AUTO
content_added,total_sessions,AUTO
content_added,unique_days,AUTO
content_added,week1_ratio,AUTO
content_added,week3_ratio,AUTO
content_added,unique_contents,AUTO
content_added,total_watch_time,AUTO
content_added,w3_minus_w1_watch_time,AUTO
content_added,tag_dur_코미디,AUTO
content_added,screen_1_flag,AUTO
content_added,screen_4_flag,AUTO
content_added,price,AUTO
content_added,age_band,AUTO
content_added,age,AUTO
content_added,payment_device,AUTO
content_added,reg_hour,AUTO
content_added,subscription_days,AUTO
content_added,has_watch_obs,AUTO
content_added,watch_days_ratio,AUTO
