transformed_feature,original_feature,feature_family,mean_abs_shap,mean_shap,positive_mean_shap,negative_mean_shap,shap_direction,rank
num__w1_3_week3_watch_time,w1_3_week3_watch_time,weekly_usage_pattern,0.8313802874843348,-0.04079736546909117,,,pushes_toward_churn_risk,1
num__w1_3_genre_ratio_drama,w1_3_genre_ratio_drama,genre_ratio_proxy,0.3197542297875529,-0.002884143759475161,,,pushes_toward_churn_risk,2
num__w1_3_week1_watch_time,w1_3_week1_watch_time,weekly_usage_pattern,0.3002140414236161,0.007778997655078162,,,pushes_toward_repurchase_score,3
num__w1_3_week2_watch_time,w1_3_week2_watch_time,weekly_usage_pattern,0.28744723741443456,0.027043579070120945,,,pushes_toward_repurchase_score,4
num__is_promotion_bin,is_promotion_bin,membership_context,0.26995491640526476,-0.0008421096004924777,,,pushes_toward_churn_risk,5
num__w1_3_genre_ratio_animation_family,w1_3_genre_ratio_animation_family,genre_ratio_proxy,0.2603052366140701,0.006039083535326293,,,pushes_toward_repurchase_score,6
num__w1_3_genre_ratio_thriller_crime,w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,0.21643027303903356,-0.004242903667652274,,,pushes_toward_churn_risk,7
num__w1_3_genre_ratio_romance,w1_3_genre_ratio_romance,genre_ratio_proxy,0.21547350219229816,-0.007749593251348755,,,pushes_toward_churn_risk,8
num__w1_3_genre_ratio_action_adventure,w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.17089408911968373,-0.005752542073194473,,,pushes_toward_churn_risk,9
num__w1_3_avg_watch_time_per_session,w1_3_avg_watch_time_per_session,simple_usage_volume,0.15787972924166227,-0.02193289813584564,,,pushes_toward_churn_risk,10
num__w1_3_unique_contents,w1_3_unique_contents,simple_usage_volume,0.1285853770544349,-0.01882912223763757,,,pushes_toward_churn_risk,11
num__max_screen_num,max_screen_num,membership_context,0.12279001372777125,-0.0008728501013173043,,,pushes_toward_churn_risk,12
num__age_num,age_num,membership_context,0.06928682062077628,-0.002454516995770336,,,pushes_toward_churn_risk,13
num__w1_3_genre_ratio_horror,w1_3_genre_ratio_horror,genre_ratio_proxy,0.06218368578111766,-0.0026475557004968756,,,pushes_toward_churn_risk,14
num__w1_3_week3_sessions,w1_3_week3_sessions,weekly_usage_pattern,0.05816461446976408,0.00711125256500818,,,pushes_toward_repurchase_score,15
num__w1_3_genre_ratio_other,w1_3_genre_ratio_other,genre_ratio_proxy,0.046331560453243624,-2.014483363301931e-06,,,pushes_toward_churn_risk,16
num__w1_3_recent_content_watch_ratio,w1_3_recent_content_watch_ratio,release_month_proxy,0.038996161817576515,-0.001193185543160599,,,pushes_toward_churn_risk,17
num__w1_3_genre_ratio_sf_fantasy,w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.037703910143639996,1.9691612134929142e-06,,,pushes_toward_repurchase_score,18
num__w1_3_unique_watch_days,w1_3_unique_watch_days,simple_usage_volume,0.03652808024417158,-0.0022280737455303854,,,pushes_toward_churn_risk,19
num__w1_3_genre_entropy,w1_3_genre_entropy,genre_ratio_proxy,0.034122728895467275,-0.0030068238067976587,,,pushes_toward_churn_risk,20
num__w1_3_genre_ratio_comedy,w1_3_genre_ratio_comedy,genre_ratio_proxy,0.03097341908087501,-0.00020294237329664068,,,pushes_toward_churn_risk,21
num__w1_3_genre_ratio_historical_war,w1_3_genre_ratio_historical_war,genre_ratio_proxy,0.027226168715975992,-0.002614113842418779,,,pushes_toward_churn_risk,22
num__w1_3_week1_sessions,w1_3_week1_sessions,weekly_usage_pattern,0.021204632122238363,0.0001010833566013108,,,pushes_toward_repurchase_score,23
num__price_num,price_num,membership_context,0.020627249503114013,-0.00019182708226471023,,,pushes_toward_churn_risk,24
num__billing_method_clean,billing_method_clean,membership_context,0.01388886925882172,-0.00012188888300578836,,,pushes_toward_churn_risk,25
num__is_user_verified_bin,is_user_verified_bin,membership_context,0.013293014504452302,-0.0004277599137508002,,,pushes_toward_churn_risk,26
num__w1_3_genre_ratio_documentary,w1_3_genre_ratio_documentary,genre_ratio_proxy,0.011198982203863303,-0.0007256463881654302,,,pushes_toward_churn_risk,27
num__w1_3_week2_sessions,w1_3_week2_sessions,weekly_usage_pattern,0.008261209904457239,0.0022113021583104013,,,pushes_toward_repurchase_score,28
