dataset_scope,model_name,precision@top10%_churn_risk,recall@top10%_churn_risk,lift@top10%,top10_row_count,top10_nonrepurchase_count,observed_nonrepurchase_rate_in_top10,precision@top20%_churn_risk,recall@top20%_churn_risk,lift@top20%,top20_row_count,top20_nonrepurchase_count,observed_nonrepurchase_rate_in_top20,baseline_nonrepurchase_rate
overall_without_promotion,LogisticRegression,0.6936741767764298,0.24547684759276295,2.454662116808222,2308,1601,0.6936741767764298,0.6338821490467937,0.4486353879178166,2.243079748213884,4616,2926,0.6338821490467937,0.282594566489016
overall_without_promotion,HistGradientBoosting,0.7482668977469671,0.26479607482367373,2.6478460185682695,2308,1727,0.7482668977469671,0.6711438474870017,0.4750076663600123,2.3749354271929644,4616,3098,0.6711438474870017,0.282594566489016
overall_without_promotion,RandomForest,0.7144714038128249,0.25283655320453846,2.5282559841453827,2308,1649,0.7144714038128249,0.6613951473136915,0.4681079423489727,2.3404383018786703,4616,3053,0.6613951473136915,0.282594566489016
overall_without_promotion,GradientBoosting,0.7508665511265165,0.26571603802514565,2.6570452519854144,2308,1733,0.7508665511265165,0.6631282495667244,0.4693345599509353,2.346571124156767,4616,3061,0.6631282495667244,0.282594566489016
overall_without_promotion,ExtraTrees,0.6910745233968805,0.244556884391291,2.445462883391077,2308,1595,0.6910745233968805,0.6282495667244368,0.4446488807114382,2.22314807581007,4616,2900,0.6282495667244368,0.282594566489016
overall_without_promotion,LightGBM,0.7448006932409013,0.26356945722171116,2.635580374012076,2308,1719,0.7448006932409013,0.6724436741767764,0.4759276295614842,2.379535043901537,4616,3104,0.6724436741767764,0.282594566489016
overall_without_promotion,XGBoost,0.7525996533795494,0.26632934682612697,2.663178074263511,2308,1737,0.7525996533795494,0.6687608318890814,0.4733210671573137,2.366502796560581,4616,3087,0.6687608318890814,0.282594566489016
overall_with_promotion,LogisticRegression,0.7136048526863085,0.25252989880404786,2.5251895730063345,2308,1647,0.7136048526863085,0.6364818024263431,0.4504753143207605,2.2522789816310294,4616,2938,0.6364818024263431,0.282594566489016
overall_with_promotion,HistGradientBoosting,0.7508665511265165,0.26571603802514565,2.6570452519854144,2308,1733,0.7508665511265165,0.6769930675909879,0.479147500766636,2.3956337023815406,4616,3125,0.6769930675909879,0.282594566489016
overall_with_promotion,RandomForest,0.7166377816291161,0.2536031892057651,2.5359220119930037,2308,1654,0.7166377816291161,0.662478336221837,0.4688745783501993,2.3442713158024806,4616,3058,0.662478336221837,0.282594566489016
overall_with_promotion,GradientBoosting,0.7538994800693241,0.2667893284268629,2.6677776909720836,2308,1740,0.7538994800693241,0.6694107452339688,0.47378104875804966,2.3688026049148676,4616,3090,0.6694107452339688,0.282594566489016
overall_with_promotion,ExtraTrees,0.6915077989601387,0.24471021159153633,2.446996088960601,2308,1596,0.6915077989601387,0.6358318890814558,0.45001533272002453,2.2499791732767433,4616,2935,0.6358318890814558,0.282594566489016
overall_with_promotion,LightGBM,0.7504332755632582,0.26556271082490035,2.6555120464158906,2308,1732,0.7504332755632582,0.6778596187175043,0.4797608095676173,2.398700113520589,4616,3129,0.6778596187175043,0.282594566489016
overall_with_promotion,XGBoost,0.7543327556325823,0.2669426556271082,2.669310896541608,2308,1741,0.7543327556325823,0.6687608318890814,0.4733210671573137,2.366502796560581,4616,3087,0.6687608318890814,0.282594566489016
promotion_only,LogisticRegression,0.7246011754827876,0.22317041634341866,2.23057987922087,1191,863,0.7246011754827876,0.6606467870642587,0.40677527799327645,2.033705547766469,2381,1573,0.6606467870642587,0.3248487903225806
promotion_only,HistGradientBoosting,0.7581863979848866,0.2335143522110163,2.333967127388697,1191,903,0.7581863979848866,0.6963460730785385,0.4287561417119214,2.143600634581568,2381,1658,0.6963460730785385,0.3248487903225806
promotion_only,RandomForest,0.7329974811083123,0.22575640031031807,2.2564266912628264,1191,873,0.7329974811083123,0.6908861822763545,0.42539436255495217,2.126793150715729,2381,1645,0.6908861822763545,0.3248487903225806
promotion_only,GradientBoosting,0.7514693534844669,0.23144556503749678,2.3132896777551317,1191,895,0.7514693534844669,0.6988660226795465,0.430307732092061,2.1513579348273395,2381,1664,0.6988660226795465,0.3248487903225806
promotion_only,ExtraTrees,0.72544080604534,0.22342901474010862,2.2331645604250654,1191,864,0.72544080604534,0.6707265854682907,0.41298163951383504,2.0647347487495558,2381,1597,0.6707265854682907,0.3248487903225806
promotion_only,LightGBM,0.762384550797649,0.234807344194466,2.3468905334096752,1191,908,0.762384550797649,0.6992860142797144,0.430566330488751,2.1526508182016344,2381,1665,0.6992860142797144,0.3248487903225806
promotion_only,XGBoost,0.7691015952980689,0.23687613136798552,2.367567983043241,1191,916,0.7691015952980689,0.6988660226795465,0.430307732092061,2.1513579348273395,2381,1664,0.6988660226795465,0.3248487903225806
nonpromotion_only,LogisticRegression,0.6699463327370304,0.28210922787193976,2.8198306095428682,1118,749,0.6699463327370304,0.6031319910514541,0.5077212806026365,2.5386064030131825,2235,1348,0.6031319910514541,0.23758389261744967
nonpromotion_only,HistGradientBoosting,0.7289803220035778,0.3069679849340866,3.0683070050433074,1118,815,0.7289803220035778,0.6313199105145414,0.5314500941619585,2.657250470809793,2235,1411,0.6313199105145414,0.23758389261744967
nonpromotion_only,RandomForest,0.7003577817531306,0.29491525423728815,2.9478336011643065,1118,783,0.7003577817531306,0.6304250559284116,0.5306967984934087,2.6534839924670433,2235,1409,0.6304250559284116,0.23758389261744967
nonpromotion_only,GradientBoosting,0.7280858676207513,0.3065913370998117,3.064542211172089,1118,814,0.7280858676207513,0.629082774049217,0.5295668549905838,2.6478342749529187,2235,1406,0.629082774049217,0.23758389261744967
nonpromotion_only,ExtraTrees,0.6565295169946332,0.27645951035781546,2.763358701474586,1118,734,0.6565295169946332,0.5914988814317673,0.49792843691148775,2.4896421845574386,2235,1322,0.5914988814317673,0.23758389261744967
nonpromotion_only,LightGBM,0.7128801431127012,0.30018832391713746,3.0005407153613692,1118,797,0.7128801431127012,0.6268456375838927,0.5276836158192091,2.6384180790960454,2235,1401,0.6268456375838927,0.23758389261744967
nonpromotion_only,XGBoost,0.7343470483005367,0.30922787193973633,3.09089576827062,1118,821,0.7343470483005367,0.6353467561521253,0.5348399246704332,2.674199623352166,2235,1420,0.6353467561521253,0.23758389261744967
