dataset_scope,model_name,score_type,decile,row_count,mean_score,observed_repurchase_rate,observed_nonrepurchase_rate,mean_churn_risk
overall_without_promotion,LogisticRegression,repurchase_score,1,2308,0.9818904107628492,0.9601386481802426,0.03986135181975736,
overall_without_promotion,LogisticRegression,repurchase_score,2,2308,0.9335137098096815,0.9311091854419411,0.0688908145580589,
overall_without_promotion,LogisticRegression,repurchase_score,3,2308,0.8860987781584557,0.9042461005199307,0.0957538994800693,
overall_without_promotion,LogisticRegression,repurchase_score,4,2308,0.8344149760862655,0.8379549393414212,0.16204506065857882,
overall_without_promotion,LogisticRegression,repurchase_score,5,2308,0.7799095216299338,0.7816291161178509,0.2183708838821491,
overall_without_promotion,LogisticRegression,repurchase_score,6,2307,0.7184592296623896,0.7485912440398786,0.25140875596012136,
overall_without_promotion,LogisticRegression,repurchase_score,7,2308,0.6411475915518522,0.6746100519930676,0.32538994800693244,
overall_without_promotion,LogisticRegression,repurchase_score,8,2308,0.5979556143565521,0.6035528596187175,0.3964471403812825,
overall_without_promotion,LogisticRegression,repurchase_score,9,2308,0.49142196726624526,0.4259098786828423,0.5740901213171576,
overall_without_promotion,LogisticRegression,repurchase_score,10,2308,0.30854802153134636,0.3063258232235702,0.6936741767764298,
overall_without_promotion,LogisticRegression,churn_risk,1,2308,0.6914519784686537,0.3063258232235702,0.6936741767764298,0.6914519784686537
overall_without_promotion,LogisticRegression,churn_risk,2,2308,0.5085780327337547,0.4259098786828423,0.5740901213171576,0.5085780327337547
overall_without_promotion,LogisticRegression,churn_risk,3,2308,0.40204438564344785,0.6031195840554593,0.3968804159445407,0.40204438564344785
overall_without_promotion,LogisticRegression,churn_risk,4,2308,0.35885240844814786,0.6750433275563258,0.3249566724436742,0.35885240844814786
overall_without_promotion,LogisticRegression,churn_risk,5,2308,0.2815263004990985,0.7487001733102253,0.2512998266897747,0.2815263004990985
overall_without_promotion,LogisticRegression,churn_risk,6,2307,0.22007831802993538,0.7815344603381015,0.21846553966189852,0.22007831802993538
overall_without_promotion,LogisticRegression,churn_risk,7,2308,0.16558502391373453,0.8379549393414212,0.16204506065857882,0.16558502391373453
overall_without_promotion,LogisticRegression,churn_risk,8,2308,0.11390122184154433,0.9042461005199307,0.0957538994800693,0.11390122184154433
overall_without_promotion,LogisticRegression,churn_risk,9,2308,0.06648629019031845,0.9311091854419411,0.0688908145580589,0.06648629019031845
overall_without_promotion,LogisticRegression,churn_risk,10,2308,0.01810958923715064,0.9601386481802426,0.03986135181975736,0.01810958923715064
overall_without_promotion,HistGradientBoosting,repurchase_score,1,2308,0.9775681755206291,0.9744367417677643,0.025563258232235708,
overall_without_promotion,HistGradientBoosting,repurchase_score,2,2308,0.9509228336382036,0.9506065857885615,0.0493934142114385,
overall_without_promotion,HistGradientBoosting,repurchase_score,3,2308,0.9149900862888788,0.9168110918544194,0.08318890814558055,
overall_without_promotion,HistGradientBoosting,repurchase_score,4,2308,0.8702454069753864,0.8626516464471404,0.13734835355285957,
overall_without_promotion,HistGradientBoosting,repurchase_score,5,2308,0.8144076846959346,0.8141247833622184,0.18587521663778162,
overall_without_promotion,HistGradientBoosting,repurchase_score,6,2307,0.7342706632857304,0.7321196358907672,0.26788036410923277,
