audit_group,feature_set_variant,dataset_scope,model_name,row_count,share_of_total,promotion_rate,repurchase_rate,mean_churn_risk,top5pct_share,top10pct_share,top20pct_share,caution
flag_age40_unverified_ios|all_rows|overall_without_promotion|LightGBM,expanded_no_payment_device,overall_without_promotion,LightGBM,2723,0.11798604792235365,0.0,0.7803892765332354,0.23003667386387017,0.04592720970537262,0.05675909878682842,0.08535528596187175,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|LightGBM,expanded_no_payment_device,overall_without_promotion,LightGBM,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|LightGBM,expanded_no_payment_device,overall_without_promotion,LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.23003667386387017,0.1073345259391771,0.15295169946332737,0.18926174496644296,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|overall_without_promotion|CatBoost,expanded_no_payment_device,overall_without_promotion,CatBoost,2723,0.11798604792235365,0.0,0.7803892765332354,0.23768381998933555,0.058925476603119586,0.07279029462738301,0.09228769497400346,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|CatBoost,expanded_no_payment_device,overall_without_promotion,CatBoost,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|CatBoost,expanded_no_payment_device,overall_without_promotion,CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.23768381998933555,0.1413237924865832,0.16815742397137745,0.203579418344519,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|overall_without_promotion|HistGradientBoosting,expanded_no_payment_device,overall_without_promotion,HistGradientBoosting,2723,0.11798604792235365,0.0,0.7803892765332354,0.23164221550268907,0.04679376083188908,0.05849220103986135,0.08578856152512998,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_without_promotion|HistGradientBoosting,expanded_no_payment_device,overall_without_promotion,HistGradientBoosting,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_without_promotion|HistGradientBoosting,expanded_no_payment_device,overall_without_promotion,HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.23164221550268907,0.12164579606440072,0.14579606440071557,0.18881431767337808,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|overall_with_promotion|LightGBM,expanded_no_payment_device,overall_with_promotion,LightGBM,2723,0.11798604792235365,0.0,0.7803892765332354,0.22942063101298818,0.05545927209705372,0.06932409012131716,0.08882149046793761,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|LightGBM,expanded_no_payment_device,overall_with_promotion,LightGBM,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|LightGBM,expanded_no_payment_device,overall_with_promotion,LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.22942063101298818,0.18425760286225404,0.2039355992844365,0.22774049217002237,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|overall_with_promotion|CatBoost,expanded_no_payment_device,overall_with_promotion,CatBoost,2723,0.11798604792235365,0.0,0.7803892765332354,0.23411562009771503,0.060658578856152515,0.07495667244367418,0.09207105719237435,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|CatBoost,expanded_no_payment_device,overall_with_promotion,CatBoost,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|CatBoost,expanded_no_payment_device,overall_with_promotion,CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.23411562009771503,0.18962432915921287,0.2075134168157424,0.22774049217002237,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|overall_with_promotion|HistGradientBoosting,expanded_no_payment_device,overall_with_promotion,HistGradientBoosting,2723,0.11798604792235365,0.0,0.7803892765332354,0.22804476281788838,0.05719237435008666,0.07019064124783363,0.0860051993067591,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|overall_with_promotion|HistGradientBoosting,expanded_no_payment_device,overall_with_promotion,HistGradientBoosting,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|overall_with_promotion|HistGradientBoosting,expanded_no_payment_device,overall_with_promotion,HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.22804476281788838,0.17531305903398928,0.20304114490161002,0.2214765100671141,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|promotion_only|LightGBM,expanded_no_payment_device,promotion_only,LightGBM,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|promotion_only|LightGBM,expanded_no_payment_device,promotion_only,LightGBM,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|promotion_only|CatBoost,expanded_no_payment_device,promotion_only,CatBoost,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|promotion_only|CatBoost,expanded_no_payment_device,promotion_only,CatBoost,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|promotion_only|HistGradientBoosting,expanded_no_payment_device,promotion_only,HistGradientBoosting,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|promotion_rows|promotion_only|HistGradientBoosting,expanded_no_payment_device,promotion_only,HistGradientBoosting,0,0.0,,,,0.0,0.0,0.0,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|nonpromotion_only|LightGBM,expanded_no_payment_device,nonpromotion_only,LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.2194080822462063,0.19856887298747763,0.21556350626118068,0.22550335570469798,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|nonpromotion_only|LightGBM,expanded_no_payment_device,nonpromotion_only,LightGBM,2723,0.243668903803132,0.0,0.7803892765332354,0.2194080822462063,0.19856887298747763,0.21556350626118068,0.22550335570469798,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|nonpromotion_only|CatBoost,expanded_no_payment_device,nonpromotion_only,CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.2271153914649389,0.20572450805008943,0.21377459749552774,0.22774049217002237,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|nonpromotion_only|CatBoost,expanded_no_payment_device,nonpromotion_only,CatBoost,2723,0.243668903803132,0.0,0.7803892765332354,0.2271153914649389,0.20572450805008943,0.21377459749552774,0.22774049217002237,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|all_rows|nonpromotion_only|HistGradientBoosting,expanded_no_payment_device,nonpromotion_only,HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.2185592025255758,0.2003577817531306,0.20840787119856888,0.22997762863534676,Calculation-only flag. It is not a model feature and not a segment rule.
flag_age40_unverified_ios|nonpromotion_rows|nonpromotion_only|HistGradientBoosting,expanded_no_payment_device,nonpromotion_only,HistGradientBoosting,2723,0.243668903803132,0.0,0.7803892765332354,0.2185592025255758,0.2003577817531306,0.20840787119856888,0.22997762863534676,Calculation-only flag. It is not a model feature and not a segment rule.
