trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_n_estimators,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_subsample,param_max_features
0,0.8417183478410143,0.8515895363847337,0.8713319134721724,0.019742377087438756,False,125,0.04802857225639665,3,200,178,0.6467983561008608,
1,0.8087686372647112,0.8120219928425577,0.8185287039982508,0.006506711155693123,False,170,0.03832290311184182,1,293,517,0.6637017332034828,
2,0.8161256751717926,0.8218151365625657,0.8331940593441118,0.011378922781546175,False,111,0.030990257265289513,2,123,406,0.6418481581956126,
3,0.7957690132261286,0.798811904993221,0.8048976885274058,0.006085783534184874,False,141,0.041407038455720545,1,179,396,0.6139351238159994,sqrt
4,0.8210223648174468,0.8266496851394727,0.8379043257835243,0.011254640644051572,False,63,0.047955421490133335,3,252,252,0.6293016342019151,sqrt
5,0.7694112601194658,0.7725470047176289,0.7788184939139553,0.006271489196326363,False,74,0.029807076404450808,1,278,229,0.7987566853061946,
6,0.8277725628009263,0.8350653344482705,0.8496508777429588,0.014585543294688308,False,159,0.017394178221021083,3,244,570,0.8684482051282947,
7,0.7512020273637678,0.7530534240864947,0.7567562175319483,0.003702793445453656,False,67,0.017839314496765808,1,131,294,0.6814047095321688,sqrt
8,0.7758330075072102,0.7782282725381368,0.7830188025999899,0.004790530061853149,False,106,0.03170784332632994,1,251,137,0.8960660809801553,sqrt
9,0.8109642712251561,0.816619998815194,0.8279314539952696,0.011311455180075591,False,51,0.04261845713819337,3,232,486,0.6222133955202271,sqrt
10,0.8066131108529431,0.8116567203842393,0.8217439394468318,0.010087219062592467,False,230,0.010239887318232686,2,54,107,0.7314242782385489,
11,0.8341437224268262,0.8425775162258085,0.859445103823773,0.016867587597964584,False,182,0.02058834880064951,3,184,573,0.8394815118118929,
12,0.8252878475655085,0.8317022819993065,0.8445311508669026,0.012828868867596044,False,204,0.023125994111743823,2,186,179,0.8036844194695725,
13,0.8452291173666344,0.8579721561929794,0.8834582338456695,0.025486077652690065,False,188,0.04866669788276491,3,207,337,0.7262405848529564,
14,0.8434518991626253,0.8536221803708148,0.8739627427871939,0.02034056241637905,False,129,0.04968053059265035,3,208,324,0.7205472881088925,
15,0.845231977950861,0.854117545895539,0.8718886817848951,0.017771135889356082,False,244,0.04948042556366502,2,145,344,0.717894607199139,
16,0.8418806120875734,0.8493396350916905,0.8642576810999248,0.01491804600823432,False,246,0.03695712297481257,2,146,390,0.6981372068494902,
17,0.8417078401324405,0.8494763534438924,0.8650133800667963,0.015537026622903904,False,206,0.043898179386099453,2,91,448,0.7678122501724536,
18,0.8380983034941266,0.8454253915298067,0.8600795676011668,0.014654176071360103,False,214,0.03590914507693966,2,157,346,0.7600960190806253,
19,0.8441841480204759,0.8530067008447638,0.8706518064933395,0.017645105648575687,False,248,0.04513839419960049,2,100,295,0.7031081492405256,
20,0.8451285456495774,0.8581195869242115,0.8841016694734798,0.02598208254926826,False,186,0.04989563966875482,3,217,244,0.7877795802312618,
21,0.8439248213447943,0.8570037908605161,0.88316172989196,0.02615793903144381,False,180,0.049794793921767916,3,221,255,0.7919761862642768,
22,0.8450680198447699,0.8581783351840917,0.8843989658627354,0.026220630678643664,False,192,0.045782662878134775,3,161,303,0.7470192565538828,
23,0.841472929899966,0.8523243335626187,0.8740271408879241,0.021702807325305384,False,154,0.040005970353098025,3,213,363,0.8257728615656684,
24,0.8416867531894312,0.849605306334562,0.8654424126248236,0.015837106290261582,False,221,0.0451037219350489,2,270,219,0.7710400369174666,
25,0.8453963486208769,0.8569962547078076,0.8801960668816691,0.023199812173861467,False,231,0.034383011186342516,3,169,452,0.7306474970051926,
26,0.8268754678218915,0.8330662470570678,0.8454478055274205,0.012381558470352716,False,233,0.026897104961821086,2,110,482,0.7391402279912018,sqrt
27,0.8453749518688829,0.8575898929793431,0.8820197752002634,0.02442988222092035,False,233,0.036041161471475125,3,141,463,0.7175076045119015,
28,0.8388549974207641,0.8464932369377068,0.8617697159715924,0.015276479033885515,False,234,0.034329118340318716,2,82,454,0.6811621820852903,
29,0.8437083352959301,0.8542753605318186,0.8754094110035956,0.021134050471776966,False,249,0.0268599462875344,3,140,527,0.7075945352319286,
30,0.8448180935743974,0.8558834991403194,0.8780143102721631,0.022130811131843786,False,217,0.03466278245892107,3,164,440,0.6584009841714009,
31,0.8449046889065335,0.8564114781812624,0.8794250567307202,0.023013578549457847,False,197,0.03923999425709396,3,196,367,0.7162710152090286,
32,0.8452820344368837,0.8599466336655913,0.8892758321230065,0.029329198457415218,False,234,0.046991319825044425,3,119,420,0.6893489592809934,
33,0.844376559089646,0.8561328152655412,0.8796453276173315,0.023512512351790305,False,230,0.03283143744572581,3,115,419,0.6787346402513781,
34,0.8469379265761374,0.8588532697683036,0.8826839561526357,0.023830686384332167,False,239,0.03781835632112778,3,135,519,0.6562944710411642,
35,0.8449497455239772,0.8571953938152553,0.8816866903978118,0.024491296582556443,False,224,0.037844515335877446,3,76,532,0.6427135761034176,
36,0.8369468571139009,0.8455733975449469,0.8628264784070389,0.017253080862091985,False,207,0.029088641623983003,3,132,490,0.6567542520046684,sqrt
37,0.8457657218475572,0.8590586504181627,0.8856445075593736,0.026585857141210978,False,239,0.0410439545562925,3,170,417,0.6956883787080695,
38,0.8448656931589273,0.8553365283358566,0.8762781986897152,0.020941670353858632,False,174,0.04141131267793516,3,171,536,0.6693577895477549,
39,0.8263975652054072,0.8333534346247007,0.8472651734632877,0.013911738838586984,False,94,0.04020185794011651,3,153,589,0.6014073573648693,sqrt
40,0.840746446190338,0.8503247077995295,0.8694812310179124,0.019156523218382904,False,164,0.033261231757132366,3,174,504,0.6513830431340701,
41,0.8457661655144493,0.8580174467455054,0.8825200092076176,0.024502562462112243,False,240,0.03621366451061558,3,130,467,0.6936410314692726,
42,0.8455540212145913,0.8578534840612084,0.8824524097544426,0.024598925693234186,False,240,0.03574959108929446,3,125,455,0.694728176152751,
43,0.8442192687212766,0.8558606128333356,0.8791433010574536,0.023282688224118053,False,240,0.031090317850708267,3,127,394,0.6351054218033627,
44,0.8456814445304692,0.8568465399764698,0.8791767308684708,0.022330190892001056,False,215,0.03830096536928697,3,193,561,0.6694990946882104,
45,0.8119911712395425,0.815869885446568,0.8236273138606192,0.007757428414051137,False,217,0.041956906981012385,1,190,566,0.6738204844056626,sqrt
46,0.8418341613040174,0.8513378497142632,0.8703452265347545,0.019007376820491362,False,141,0.03855679708288287,3,98,554,0.6933116939610473,
47,0.8461462787260207,0.8591764293309222,0.8852367305407253,0.026060301209803072,False,240,0.04288683244422545,3,128,512,0.6267432140912679,
48,0.8456287127292417,0.8581374600396445,0.8831549546604502,0.025017494620805714,False,223,0.0430742689100094,3,109,595,0.6192533829091598,
49,0.8457287735409384,0.8576136885877993,0.8813835186815211,0.0237698300937218,False,250,0.037711771029999536,3,231,509,0.635987324552394,
50,0.8435088378822302,0.8534138939639663,0.8732240061274383,0.01981011216347206,False,250,0.040176383275434234,3,240,498,0.6320796397754497,sqrt
51,0.8446290825210523,0.8560259474797507,0.8788196773971475,0.02279372991739681,False,242,0.037635173925103266,3,289,551,0.6084196799701662,
52,0.845376514298997,0.8564270070428048,0.8785279925304206,0.022100985487615743,False,209,0.041366132475204126,3,267,512,0.6475948407308514,
53,0.8442827467717842,0.8557026115849166,0.8785423412111815,0.022839729626264904,False,199,0.04307825193800476,3,229,481,0.62005799682935,
54,0.8267424802594474,0.8335803699780728,0.8472561494153237,0.013675779437250846,False,226,0.011474379762345756,3,200,515,0.6624028704028129,
55,0.8454469632199075,0.8576430885702019,0.8820353392707906,0.024392250700588702,False,240,0.03741768058440876,3,183,475,0.6368038009156827,
56,0.8467489522116101,0.8591121565245775,0.8838385651505124,0.024726408625934893,False,213,0.044007150501973416,3,152,429,0.6666216978987896,
57,0.8445963922348861,0.8587626034052939,0.8870950257461093,0.028332422340815455,False,241,0.04415629189470381,3,153,412,0.6254007242503208,
58,0.8240880920552666,0.8284913536932201,0.8372978769691273,0.008806523275907141,False,250,0.04674364132162197,1,135,426,0.6472745585716534,
59,0.8456126218300446,0.8585535714275212,0.8844354706224745,0.025881899194953317,False,225,0.04100088792709444,3,159,378,0.68228219255337,
60,0.8462419447837217,0.8600931111689043,0.8877954439392693,0.027702332770365046,False,237,0.04451983726872405,3,147,433,0.7067654864424406,
61,0.845631016815704,0.8594014334142684,0.8869422666113973,0.027540833197128856,False,237,0.04407501753842375,3,147,468,0.704071815068836,
62,0.8453172013671133,0.8603260018563231,0.8903436028347427,0.030017600978419545,True,245,0.04828591494605892,3,134,432,0.6862588302379995,
63,0.8461113149964359,0.8597011798888549,0.8868809096736928,0.027179729784837958,False,228,0.0467980894034958,3,152,497,0.6577087118250083,
64,0.846331268499715,0.8593701713442963,0.8854479770334589,0.026077805689162625,False,211,0.046722578909206516,3,148,403,0.66377356883449,
