check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC exists,True,
input_validation_created,PASS,input validation,exists,
canonical_segment_set_created,PASS,canonical csv,exists,
promo1_vs_promo0_storyline_comparison_created,PASS,comparison csv,exists,
business_action_matrix_created,PASS,action csv,exists,
demographic_action_candidate_selection_created,PASS,demo select csv,exists,
segment_visual_guide_v2_created,PASS,html,exists,
business_storyline_memo_created,PASS,memo,length=11493,
dashboard_handoff_datamart_created,PASS,dashboard csv,exists,
presentation_talking_points_created,PASS,talking points,exists,
safe_unsafe_wording_created,PASS,wording csv,exists,
readme_created,PASS,README,exists,
note_md_append_completed,PASS,note heading,checked,
html_uses_current_outputs_not_legacy_numbers,PASS,current CSV values,true,legacy HTML not found; no legacy numbers used
promo1_main_scope_confirmed,PASS,promo1 main,true,
promo0_comparison_scope_confirmed,PASS,promo0 comparison,true,
demographic_as_action_layer_confirmed,PASS,demo action layer,true,
segment_labels_provisional_confirmed,PASS,provisional labels,true,
no_model_refit_performed,PASS,no model refit,true,
no_oof_regeneration_performed,PASS,no OOF regen,true,
no_shap_recalculation_performed,PASS,no SHAP recalc,true,
no_segmentation_reassignment_performed,PASS,no reassignment,true,
no_campaign_threshold_finalized,PASS,no threshold,true,
no_raw_source_modified,PASS,no raw writes,true,
no_park_ingyeom_modified,PASS,no park writes,true,
review_zip_includes_html,PASS,zip html,True,
review_zip_includes_storyline_memo,PASS,zip memo,True,
review_zip_includes_dashboard_datamart,PASS,zip dashboard,True,
review_zip_includes_talking_points,PASS,zip talking,True,
review_zip_includes_note_md,PASS,zip note,True,
review_zip_includes_zip_inventory,PASS,zip inventory,True,
helper_file_included_if_used,PASS,helper included,True,
review_zip_created,PASS,zip,True,
zip_inventory_created,PASS,inventory,exists,
