file_path,file_role,sha256_before,sha256_after,size_before,size_after,status
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,input_reference,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,6077,6077,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,input_reference,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,6056881,6056881,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_summary_simulation.csv,input_reference,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,4778,4778,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_promo1_vs_promo0_segment_differential_analysis.csv,input_reference,afe0a643263825baf72770bb40fafa021d7cbd8a88833adfc2ed1e2c172a2561,afe0a643263825baf72770bb40fafa021d7cbd8a88833adfc2ed1e2c172a2561,3506,3506,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_other_needs_review_decomposition_quality_hotfix.csv,input_reference,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,4463,4463,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_demographic_action_bridge.csv,input_reference,427fc21636d4f34563e942cd2ed0d60ae544d2294fe3673363d7fe7c7ff79db6,427fc21636d4f34563e942cd2ed0d60ae544d2294fe3673363d7fe7c7ff79db6,3800,3800,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_segment_quality_hotfix_rationale_memo_for_executives.md,input_reference,bbfbed3ac3c35cfae6763c1f6441cbda6906a330d521609592d88b124199d902,bbfbed3ac3c35cfae6763c1f6441cbda6906a330d521609592d88b124199d902,21283,21283,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_readiness_for_18_quality_hotfix.csv,input_reference,b9165986c86b68dcd9b5f8dfafcefb5f982e1fe26a2d83272b5e15e3de51974e,b9165986c86b68dcd9b5f8dfafcefb5f982e1fe26a2d83272b5e15e3de51974e,1931,1931,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_source_column_audit.csv,input_reference,153ce3e0caec0b12afdf757916a045b691b8c425983edcb1a4f07ccc21d3d0f1,153ce3e0caec0b12afdf757916a045b691b8c425983edcb1a4f07ccc21d3d0f1,7240,7240,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_gender_derivation_audit.csv,input_reference,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,421,421,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_age_group_audit.csv,input_reference,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,2571,2571,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_demographic_profile_demographic_hotfix.csv,input_reference,daa1d6e0913cdf5d4c4d1bbef1c73c3cc949b7d2d04824a06e089bf431fec5df,daa1d6e0913cdf5d4c4d1bbef1c73c3cc949b7d2d04824a06e089bf431fec5df,42801,42801,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_age_behavior_profile_demographic_hotfix.csv,input_reference,ff82774e9af5aa629aa503c4ebe7cba644f866a082c1387f309a3b9df007c92a,ff82774e9af5aa629aa503c4ebe7cba644f866a082c1387f309a3b9df007c92a,777495,777495,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_gender_behavior_profile_demographic_hotfix.csv,input_reference,6fa7ad19023a17febab50013b5906238a5f68ac7c42be38338d927a0ce34daff,6fa7ad19023a17febab50013b5906238a5f68ac7c42be38338d927a0ce34daff,310625,310625,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_action_personalization_matrix_demographic_hotfix.csv,input_reference,c09b1702674735706afbdc0b3e16b0a5b0d887ad80e862d376dd61e5908f7a3b,c09b1702674735706afbdc0b3e16b0a5b0d887ad80e862d376dd61e5908f7a3b,32674,32674,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_hotfix_summary.csv,input_reference,5162a517df757e9ea34628b205289c0eb2cf35fe596870e815a573ced39900c1,5162a517df757e9ea34628b205289c0eb2cf35fe596870e815a573ced39900c1,1301,1301,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_rationale_demographic_action_supplement.md,input_reference,9a4919d557decb354e3dc8d40c3d0c2069fc86d72f48ad4ab3b7c75711a21895,9a4919d557decb354e3dc8d40c3d0c2069fc86d72f48ad4ab3b7c75711a21895,15084,15084,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_readiness_for_18_business_storyline_demographic_hotfix.csv,input_reference,c41b636d712089e04ae8a2a7b40062c6e154b8b8244afa3bbb901a36556d44c1,c41b636d712089e04ae8a2a7b40062c6e154b8b8244afa3bbb901a36556d44c1,1421,1421,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_feature_family_mapping_hotfix.csv,input_reference,0c7927ef264afa462e54f153ce30057c8dc6b8c0f48ce70e5122f36358c024ae,0c7927ef264afa462e54f153ce30057c8dc6b8c0f48ce70e5122f36358c024ae,19822,19822,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_family_importance_hotfix.csv,input_reference,1fb89776e04beea9ad45ff6d407f91bea1ca0b83bcf475b9171ebfd1a013ba32,1fb89776e04beea9ad45ff6d407f91bea1ca0b83bcf475b9171ebfd1a013ba32,9239,9239,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_promo1_vs_promo0_shap_comparison_hotfix.csv,input_reference,4ba75788c760671d67f53e19de98952b2507df47bffdaa6ad12a074933ecd42b,4ba75788c760671d67f53e19de98952b2507df47bffdaa6ad12a074933ecd42b,49574,49574,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_interpretation_handoff_for_17.csv,input_reference,36df3af350f1718c5c77d1e9e385eb2b490f1ed7330902b25b2f36b230c5a944,36df3af350f1718c5c77d1e9e385eb2b490f1ed7330902b25b2f36b230c5a944,3689,3689,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_metric_summary.csv,input_reference,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,1235,1235,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,input_reference,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,1456,1456,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,input_reference,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,6227550,6227550,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_canonical_segment_set_for_storyline.csv,new_output_created,e3ee95dfb1b159c15a45436b690defa7bdcc9b1bd347c391295d551dd54736d5,e3ee95dfb1b159c15a45436b690defa7bdcc9b1bd347c391295d551dd54736d5,2869,2869,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_promo1_vs_promo0_storyline_comparison.csv,new_output_created,ea998a40abb275c96481b40e955f4f4dd1380b0b9e3d3db25e7c609df2761fdc,ea998a40abb275c96481b40e955f4f4dd1380b0b9e3d3db25e7c609df2761fdc,2693,2693,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_business_action_matrix.csv,new_output_created,f933150aa0204b8f9ede384eecd46b0b92e3040b3454c7c88b298b2d5b2a6341,f933150aa0204b8f9ede384eecd46b0b92e3040b3454c7c88b298b2d5b2a6341,6685,6685,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_demographic_action_candidate_selection.csv,new_output_created,ce8b06b251bc405fc67372105573c2525485ba4ab57f5e9b21142d70a245dda5,ce8b06b251bc405fc67372105573c2525485ba4ab57f5e9b21142d70a245dda5,22508,22508,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_visual_guide_v2.html,new_output_created,3fc72908712105c37d43334dfa5d6b27ae54a3c7fab28d0b81f93b5166a7223b,3fc72908712105c37d43334dfa5d6b27ae54a3c7fab28d0b81f93b5166a7223b,13571,13571,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_business_storyline_memo.md,new_output_created,89666a984bebea908c5e9b769ca492cc4b2a298c4ac13f6ea926dc873ae4ba2f,89666a984bebea908c5e9b769ca492cc4b2a298c4ac13f6ea926dc873ae4ba2f,22831,22831,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_dashboard_handoff_datamart.csv,new_output_created,908182a2bd43b58451921c7c7d616975e51d071a5914374160401e0f548a3b56,908182a2bd43b58451921c7c7d616975e51d071a5914374160401e0f548a3b56,3291,3291,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_presentation_talking_points.md,new_output_created,867dcb233a7b0e4d8e2bff6df7147fa90c069f552980623b522a02dd6f37d0dd,867dcb233a7b0e4d8e2bff6df7147fa90c069f552980623b522a02dd6f37d0dd,3799,3799,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_safe_unsafe_wording.csv,new_output_created,3ee5c20361f183e0310dce1a423c492aaa955c6e17abbc68c5bcf4399db716e8,3ee5c20361f183e0310dce1a423c492aaa955c6e17abbc68c5bcf4399db716e8,1753,1753,new_output_created
PUBLIC\reports\business\18_business_recommendation_storyline_260520\README.md,new_output_created,b0633180b3a2f5fc45276be4abe50a9295ef93dfddbd70f4243dbfb818e8195c,b0633180b3a2f5fc45276be4abe50a9295ef93dfddbd70f4243dbfb818e8195c,1352,1352,new_output_created
PUBLIC\note.md,intentionally_updated_note,089b19c52fb4eb121a4be65eae339e12d87ca44f3f63b8d2b2500c410da74dbd,089b19c52fb4eb121a4be65eae339e12d87ca44f3f63b8d2b2500c410da74dbd,132688,132688,intentionally_updated_note
PUBLIC\notebooks\18_business_recommendation_storyline_260520\18_business_storyline_and_visual_guide_260520.ipynb,new_output_created,42573f78f8f1abb4d9e81d120ed14a406c593fd3e353c54e13ca290a484647fc,42573f78f8f1abb4d9e81d120ed14a406c593fd3e353c54e13ca290a484647fc,1250,1250,new_output_created
PUBLIC\notebooks\18_business_recommendation_storyline_260520\18_business_storyline_and_visual_guide_260520_executed.ipynb,new_output_created,d5968ad73a56709ede41d299fb80c3bfbecbec16fc6c65bb2282d3db38d9a297,d5968ad73a56709ede41d299fb80c3bfbecbec16fc6c65bb2282d3db38d9a297,2206,2206,new_output_created
PUBLIC\handoff\PUBLIC_18_business_storyline_260520\18_business_storyline_helper.py,new_output_created,9dff59206d85d1ce920c0c068c10d33cf494b3224d3568488e878cc092b3a111,9dff59206d85d1ce920c0c068c10d33cf494b3224d3568488e878cc092b3a111,54000,54000,new_output_created
