comparison_key,model_name,w1_3_feature_set,w1_4_feature_set,w1_3_roc_auc_repurchase,w1_4_roc_auc_repurchase,w1_4_minus_w1_3_roc_auc,interpretation
content_wX_only,DummyClassifier,content_w1_3_only,content_w1_4_only,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
content_wX_only,ExtraTreesClassifier,content_w1_3_only,content_w1_4_only,0.7737487970128657,0.8023637224908378,0.028614925477972064,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
content_wX_only,HistGradientBoostingClassifier,content_w1_3_only,content_w1_4_only,0.7704987508635596,0.7959458637586823,0.025447112895122692,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
content_wX_only,LGBMClassifier,content_w1_3_only,content_w1_4_only,0.768790048710539,0.7955730287607616,0.026782980050222616,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
content_wX_only,LogisticRegression,content_w1_3_only,content_w1_4_only,0.7508763014425567,0.7777713889720503,0.026895087529493655,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
content_wX_only,XGBClassifier,content_w1_3_only,content_w1_4_only,0.765554564755293,0.7905920088675196,0.025037444112226526,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,DummyClassifier,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,ExtraTreesClassifier,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5661404146713249,0.5661404146713249,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,HistGradientBoostingClassifier,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5718420490206282,0.5718420490206282,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,LGBMClassifier,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5672264759533204,0.5672264759533204,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,LogisticRegression,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5735914396570517,0.5735914396570517,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_with_churn_prevented,XGBClassifier,membership_only_with_churn_prevented,membership_only_with_churn_prevented,0.5712700546039448,0.5712700546039448,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,DummyClassifier,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,ExtraTreesClassifier,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5672366480741713,0.5672366480741713,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,HistGradientBoostingClassifier,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5718420490206282,0.5718420490206282,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,LGBMClassifier,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5672264759533204,0.5672264759533204,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,LogisticRegression,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5736623232781384,0.5736623232781384,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_only_without_churn_prevented,XGBClassifier,membership_only_without_churn_prevented,membership_only_without_churn_prevented,0.5708770895142352,0.5708770895142352,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,DummyClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,ExtraTreesClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8535472648130706,0.8883415930954643,0.034794328282393705,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8704640371627193,0.9030621510159486,0.032598113853229305,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,LGBMClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8709384862941915,0.9037410062390436,0.03280251994485217,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,LogisticRegression,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8417317575326161,0.8765597073512954,0.034827949818679316,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_with_churn_prevented,XGBClassifier,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8595539557129415,0.8931508647587624,0.03359690904582091,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,DummyClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,ExtraTreesClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.8520987548039181,0.8889831862337583,0.036884431429840214,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.8704640371627193,0.9030621510159486,0.032598113853229305,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,LGBMClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.8709384862941915,0.9037410062390436,0.03280251994485217,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,LogisticRegression,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.841532812263766,0.8767387366782693,0.03520592441450332,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_content_wX_without_churn_prevented,XGBClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_4_without_churn_prevented,0.8618984689566145,0.8935651377647804,0.03166666880816593,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,DummyClassifier,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,ExtraTreesClassifier,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8106900852445142,0.8482392380032148,0.03754915275870052,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,HistGradientBoostingClassifier,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8240664241633056,0.8585621203925111,0.034495696229205564,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,LGBMClassifier,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8232202107834761,0.8600526037845431,0.036832393001067,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,LogisticRegression,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.7921145076714924,0.8268122543432813,0.03469774667178893,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_with_churn_prevented,XGBClassifier,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8206669013749709,0.8531970226309344,0.03253012125596355,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,DummyClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,ExtraTreesClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.8106851597965233,0.8476042835122126,0.036919123715689284,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,HistGradientBoostingClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.8240664241633056,0.8585621203925111,0.034495696229205564,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,LGBMClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.8232202107834761,0.8600526037845431,0.036832393001067,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,LogisticRegression,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.7921791809451122,0.8268128967930194,0.0346337158479072,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
membership_plus_usage_wX_without_churn_prevented,XGBClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_4_without_churn_prevented,0.8201173926991155,0.8536196474835458,0.03350225478443025,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,DummyClassifier,usage_w1_3_only,usage_w1_4_only,0.5,0.5,0.0,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,ExtraTreesClassifier,usage_w1_3_only,usage_w1_4_only,0.8134347375999705,0.8487112244106916,0.03527648681072104,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,HistGradientBoostingClassifier,usage_w1_3_only,usage_w1_4_only,0.8124480418774438,0.8498337982527937,0.03738575637534991,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,LGBMClassifier,usage_w1_3_only,usage_w1_4_only,0.813669445904233,0.8508420160415416,0.03717257013730868,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,LogisticRegression,usage_w1_3_only,usage_w1_4_only,0.7819741880827287,0.8179496602083336,0.035975472125604924,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
usage_wX_only,XGBClassifier,usage_w1_3_only,usage_w1_4_only,0.812180247411677,0.8467367622160747,0.0345565148043977,"w1_4 uses later behavior and should be interpreted as late-period, not early-warning."
