window,model_name,feature_set_without,feature_set_with,roc_auc_without,roc_auc_with,delta_with_minus_without
w1_3,DummyClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5,0.5,0.0
w1_3,LogisticRegression,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5736623232781384,0.5735914396570517,-7.088362108664814e-05
w1_3,ExtraTreesClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5672366480741713,0.5661404146713249,-0.0010962334028463694
w1_3,HistGradientBoostingClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5718420490206282,0.5718420490206282,0.0
w1_4,DummyClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5,0.5,0.0
w1_4,LogisticRegression,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5736623232781384,0.5735914396570517,-7.088362108664814e-05
w1_4,ExtraTreesClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5672366480741713,0.5661404146713249,-0.0010962334028463694
w1_4,HistGradientBoostingClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5718420490206282,0.5718420490206282,0.0
w1_3,DummyClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.5,0.5,0.0
w1_3,LogisticRegression,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.7921791809451122,0.7921145076714924,-6.467327361980857e-05
w1_3,ExtraTreesClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.8106851597965233,0.8106900852445142,4.925447990911103e-06
w1_3,HistGradientBoostingClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.8240664241633056,0.8240664241633056,0.0
w1_4,DummyClassifier,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.5,0.5,0.0
w1_4,LogisticRegression,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8268128967930194,0.8268122543432813,-6.42449738075257e-07
w1_4,ExtraTreesClassifier,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8476042835122126,0.8482392380032148,0.0006349544910021487
w1_4,HistGradientBoostingClassifier,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8585621203925111,0.8585621203925111,0.0
w1_3,DummyClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.5,0.5,0.0
w1_3,LogisticRegression,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.841532812263766,0.8417317575326161,0.00019894526885011476
w1_3,ExtraTreesClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.8520987548039181,0.8535472648130706,0.0014485100091525815
w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.8704640371627193,0.8704640371627193,0.0
w1_4,DummyClassifier,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.5,0.5,0.0
w1_4,LogisticRegression,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8767387366782693,0.8765597073512954,-0.00017902932697388962
w1_4,ExtraTreesClassifier,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8889831862337583,0.8883415930954643,-0.0006415931382939277
w1_4,HistGradientBoostingClassifier,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.9030621510159486,0.9030621510159486,0.0
w1_3,XGBClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5708770895142352,0.5712700546039448,0.00039296508970954047
w1_3,LGBMClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5672264759533204,0.5672264759533204,0.0
w1_4,XGBClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5708770895142352,0.5712700546039448,0.00039296508970954047
w1_4,LGBMClassifier,membership_only_without_churn_prevented,membership_only_with_churn_prevented,0.5672264759533204,0.5672264759533204,0.0
w1_3,XGBClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.8201173926991155,0.8206669013749709,0.000549508675855348
w1_3,LGBMClassifier,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage_w1_3_with_churn_prevented,0.8232202107834761,0.8232202107834761,0.0
w1_4,XGBClassifier,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8536196474835458,0.8531970226309344,-0.00042262485261135296
w1_4,LGBMClassifier,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage_w1_4_with_churn_prevented,0.8600526037845431,0.8600526037845431,0.0
w1_3,XGBClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.8618984689566145,0.8595539557129415,-0.0023445132436730187
w1_3,LGBMClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content_w1_3_with_churn_prevented,0.8709384862941915,0.8709384862941915,0.0
w1_4,XGBClassifier,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.8935651377647804,0.8931508647587624,-0.00041427300601803996
w1_4,LGBMClassifier,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content_w1_4_with_churn_prevented,0.9037410062390436,0.9037410062390436,0.0
