dataset_scope,ladder_step,model_name,feature_count,n_folds_completed,mean_valid_auc,std_valid_auc,min_valid_auc,max_valid_auc,mean_train_auc,mean_train_valid_gap,mean_valid_average_precision,mean_valid_brier_score,oof_auc,oof_average_precision,oof_brier_score,performance_status,caution
nonpromotion_only,L0_dummy_prior,DummyPrior,0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.7624160693327824,0.18113781164094028,0.4998591549295775,0.7623594149418129,0.18113779167119567,weak,Weak baseline signal.
nonpromotion_only,L1_activation_safe,LogisticRegression,6,5,0.7166783862185518,0.010919823851405356,0.7051121705022596,0.7346102667480084,0.7170715690888686,0.00039318287031675503,0.8691108482662615,0.15430250655535638,0.7156597747186193,0.8722647939746793,0.15430236186170618,usable_baseline,Baseline only; not final model.
nonpromotion_only,L1_activation_safe,HistGradientBoosting,6,5,0.700402810573328,0.015068237386027744,0.6820084861875522,0.7220061581036755,0.7737633662627813,0.07336055568945321,0.8568613689135465,0.15850795327863212,0.6995811561143382,0.859470320196832,0.15850790864020425,usable_baseline,Baseline only; not final model.
nonpromotion_only,L1_activation_safe,RandomForest,6,5,0.7174589804288878,0.014672933285357646,0.7017659099429057,0.7409584626402482,0.7325655105028772,0.015106530073989455,0.8693059515782082,0.15408644928420392,0.7156389750934988,0.8715319799203729,0.1540861057933539,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,LogisticRegression,14,5,0.7972901674658196,0.0130093676573092,0.7849186230815537,0.8137389149713095,0.7993031106651385,0.002012943199318795,0.9206164421013693,0.14254308839657556,0.7975973448980134,0.9207811807714339,0.1425434007648675,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,HistGradientBoosting,14,5,0.8252093208035849,0.010172639025047947,0.8127100397769307,0.8361598508448036,0.9143782255068114,0.08916890470322661,0.9305116015363678,0.13281671206335507,0.8251008372899038,0.9307077377475435,0.13281710729702645,usable_baseline,Baseline only; not final model.
nonpromotion_only,L2_add_week2_retention,RandomForest,14,5,0.826809770286941,0.011541266056159103,0.810269459124421,0.8386059606786738,0.8455243648848445,0.018714594597903634,0.9323194075359271,0.13410797221497706,0.826048756443242,0.9319901824082002,0.13410791729180277,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,LogisticRegression,21,5,0.8123043176045865,0.009511664436154131,0.8037510147953013,0.8228180286995039,0.8143298482112915,0.0020255306067050506,0.9271040047622883,0.13821290015641557,0.8118298144169475,0.9271301909239501,0.13821325957595942,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,HistGradientBoosting,21,5,0.8285208179332171,0.008536644840605689,0.8186876377457305,0.8379242126169284,0.9232399375396699,0.09471911960645281,0.9318041046030789,0.13192896050217762,0.8283435010565591,0.9318290055507158,0.1319292375491646,usable_baseline,Baseline only; not final model.
nonpromotion_only,L3_add_week3_retention,RandomForest,21,5,0.8306655530327134,0.010033284008098933,0.8170714580340664,0.8427644579798803,0.8506504173089912,0.01998486427627799,0.9340790948449491,0.13189767328286944,0.8299860525361838,0.9337089625389667,0.1318976443614377,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,LogisticRegression,22,5,0.8121255286547011,0.00945400494951555,0.8037228490481636,0.8228268701979611,0.8143552765704731,0.002229747915771818,0.9270014691204903,0.13815030597767458,0.8118022068380149,0.9270644803304158,0.13815065788858108,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,HistGradientBoosting,22,5,0.8284879706682327,0.010718089755821678,0.8159191698284098,0.8395157511295014,0.9251737029420056,0.09668573227377304,0.9322192245644398,0.13160587215127345,0.8284083755514885,0.9323985557386992,0.13160634097291424,usable_baseline,Baseline only; not final model.
nonpromotion_only,L4_all_conservative_behavior,RandomForest,22,5,0.8307334681338873,0.009759556548262313,0.8174137143602793,0.8425117743917071,0.8505175631335165,0.019784094999629208,0.9341334863753925,0.13170116987229105,0.8303052527342334,0.9339875470675569,0.1317011510469139,usable_baseline,Baseline only; not final model.
overall_with_promotion,L0_dummy_prior,DummyPrior,0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.7174054567669057,0.20273487399970874,0.4998773437961437,0.7173482232935685,0.2027348841140088,weak,Weak baseline signal.
overall_with_promotion,L1_activation_safe,LogisticRegression,6,5,0.6942251723007986,0.0035016726413871595,0.6897930860693023,0.6995186883651079,0.6945469695524674,0.00032179725166885386,0.8276715628474614,0.17682759327572178,0.6934947964969203,0.8317236951172342,0.17682749678177587,usable_baseline,Baseline only; not final model.
overall_with_promotion,L1_activation_safe,HistGradientBoosting,6,5,0.6975556757946217,0.00476453773812985,0.6895828971285527,0.7019083071301648,0.7176318192441119,0.020076143449490026,0.8299278583531823,0.17668832825915576,0.6965318317065388,0.8341426372443903,0.17668824449949566,usable_baseline,Baseline only; not final model.
overall_with_promotion,L1_activation_safe,RandomForest,6,5,0.6987042754392494,0.0038336562027697393,0.6923693192240774,0.7024099335286416,0.7066994870264525,0.007995211587203177,0.8322046364046782,0.17605526742212335,0.6974455393953113,0.8357249022356246,0.17605511894079234,usable_baseline,Baseline only; not final model.
overall_with_promotion,L2_add_week2_retention,LogisticRegression,14,5,0.7720009192955916,0.005380066989273251,0.7673287447011563,0.7784206715669835,0.7723414803760285,0.0003405610804370074,0.8890239813780634,0.16375140902914848,0.7720720834350375,0.8891820171832916,0.1637515268903897,usable_baseline,Baseline only; not final model.
overall_with_promotion,L2_add_week2_retention,HistGradientBoosting,14,5,0.8108423759376407,0.007243748824096988,0.8033730519017293,0.8187256458764519,0.8423097957250502,0.03146741978740934,0.9084175862496151,0.15079931619982162,0.8104638132527486,0.9082846334039455,0.15079938163001066,usable_baseline,Baseline only; not final model.
overall_with_promotion,L2_add_week2_retention,RandomForest,14,5,0.8035800168436547,0.006422984234541313,0.7967239180448119,0.8124019118276501,0.8145669946959071,0.0109869778522526,0.9050452212547826,0.15503477152318473,0.8030597032244016,0.9049315780633563,0.15503476891022064,usable_baseline,Baseline only; not final model.
overall_with_promotion,L3_add_week3_retention,LogisticRegression,21,5,0.7862637629935394,0.0029174953234895914,0.7833014556423745,0.7899690194240059,0.7872307310722466,0.0009669680787071089,0.8953506482277662,0.15988855109463812,0.7860623963638422,0.8955553625985817,0.15988854656876736,usable_baseline,Baseline only; not final model.
overall_with_promotion,L3_add_week3_retention,HistGradientBoosting,21,5,0.8135581129360752,0.0048538908101491566,0.8072738807062533,0.818028374464742,0.8558756150738367,0.04231750213776153,0.9102020228124392,0.1500192601561969,0.8132497389399989,0.910344113419054,0.1500191535324793,usable_baseline,Baseline only; not final model.
overall_with_promotion,L3_add_week3_retention,RandomForest,21,5,0.8078191634275524,0.00626981555044164,0.8006547240746129,0.8141854489496807,0.8198103549065845,0.01199119147903196,0.9080327555239813,0.15263327054843961,0.8075279960354403,0.9081278294342778,0.1526331997009606,usable_baseline,Baseline only; not final model.
