decision_item,previous_status,updated_status,evidence,user_approval_required,notes
four_model_results_available,yes,yes,All four final_result.csv and trials_all.csv confirmed present in emergency_four_model_reference.,no,Confirmed in prior 12 review.
roc_auc_primary_metric_available,not_explicitly_separated,yes,ROC-AUC values confirmed for all 4 models. LR promo0: 0.860 / LR promo1: 0.844 / GB promo0: 0.883 / GB promo1: 0.862.,no,User confirmed ROC-AUC is primary metric.
pr_auc_secondary_metric_available,not_explicitly_separated,yes,PR-AUC values confirmed for all 4 models. LR promo0: 0.949 / LR promo1: 0.918 / GB promo0: 0.957 / GB promo1: 0.928.,no,User confirmed PR-AUC is secondary metric. High PR-AUC alone is not leakage evidence.
log_retention_condition_passed,yes,yes,log_retention_condition_check.csv all PASS. raw retention absent. log retention present.,no,Confirmed in prior 12 review. No change.
is_churn_prevented_policy_corrected,leakage_FAIL,approved_context_feature_with_interpretation_caveat,User domain confirmation: historical flag not current-cycle post-treatment.,no,See 12_is_churn_prevented_policy_correction.csv.
split_policy_usernum_corrected,WARN_auto_FAIL_language_present,WARN_needs_verification,User confirmed USER_NUM dedup handled. USER_NUM column not found in input CSV so verification is needs_verification not FAIL.,no,See 12_split_policy_usernum_correction.csv.
seven_to_ten_pending_validation_recorded,pending_validation,pending_validation,07~10 remain pending validation. Temporarily deferred due to schedule; not skipped. Not blocking current 12 review.,no,07~10 are pending validation not skipped. Temporarily deferred for timeline reasons. Status preserved.
oof_generation_allowed_without_user_approval,no,no,OOF generation requires explicit user approval.,yes,Do not generate OOF without approval.
oof_generation_allowed_after_user_approval,blocked_by_leakage_fail,conditional_yes_after_user_approval,"After user approves: metric interpretation corrected, is_churn_prevented policy corrected, split policy downgraded to WARN_needs_verification. Remaining caveat: USER_NUM upstream dedup unverified.",yes,User decides whether to proceed with OOF now or wait for 07~10 validation.
recommended_next_step,blocked,user_decides_between_oof_now_and_07_to_10_validation_later,Current corrections applied. OOF readiness improved. Final call is user decision.,yes,Option A: proceed to OOF score table generation after approval. Option B: complete 07~10 validation first then OOF.
