feature_set,model,cv_splitter,mean_train_auc,std_train_auc,mean_valid_auc,std_valid_auc,mean_gap,std_gap,feature_count,numeric_feature_count,categorical_feature_count
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,0.5836999757648511,0.0022955470917183887,0.5739982809265569,0.0062539778369995885,0.009701694838294061,0.008529409655753195,14,10,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,0.5828710628762566,0.0021026666361869924,0.5729501635570101,0.00569288480184227,0.009920899319246423,0.007782176744618819,13,9,4
D_membership_plus_promo_coin_duration,HistGradientBoosting,StratifiedGroupKFold,0.6538290734719067,0.028223911894018457,0.5699895488827089,0.005413857018938394,0.08383952458919783,0.028685212101311457,14,10,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,0.6495361734123302,0.026975738276194233,0.5684688470638439,0.007041769951207618,0.0810673263484861,0.02898298032490999,13,9,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,0.5781429037858171,0.0021602518304836807,0.5677999433119545,0.005419439393970906,0.01034296047386254,0.007561911358444224,12,8,4
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,0.5765488547771247,0.0017807247954402074,0.566399590626879,0.004851162968555857,0.010149264150245706,0.006620143705357478,11,7,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,0.807979445211212,0.0032619729506554057,0.5621221860133986,0.009738869833045104,0.2458572591978135,0.00917837837460503,14,10,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,0.6410733585965678,0.012232360794515033,0.5605545375592559,0.004183990857680648,0.08051882103731196,0.015566176012064907,12,8,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,0.8197156522557906,0.00377067688375085,0.5584388252532138,0.012310253457187092,0.2612768270025768,0.015486838781657642,13,9,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,0.6341807511196192,0.012529587540139569,0.5558831451322283,0.0067038743002059,0.07829760598739097,0.016157400997283165,11,7,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,0.8125504752069421,0.0033294993449152527,0.5492471751263583,0.010601513373315472,0.26330330008058384,0.011326351751782867,12,8,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,0.8163467641348884,0.003080000679132442,0.5492406629417894,0.007376132378253739,0.26710610119309885,0.008749321593062446,11,7,4
