feature_set,model,cv_splitter,fold,train_auc,valid_auc,gap_train_valid,train_rows,valid_rows,valid_positive_rate,feature_count,numeric_feature_count,categorical_feature_count
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,1,0.5775078229094331,0.5643465442170933,0.01316127869233985,19280,4794,0.7181894034209428,11,7,4
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,2,0.5779305246375424,0.5632160808663191,0.014714443771223218,19261,4813,0.7107832952420527,11,7,4
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,3,0.57765172587494,0.5623786626266618,0.015273063248278151,19279,4795,0.7278415015641293,11,7,4
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,4,0.5736630363118531,0.5742506786019275,-0.0005876422900743528,19217,4857,0.7232859789993823,11,7,4
A_bare_membership_no_promo,LogisticRegression,StratifiedGroupKFold,5,0.5759911641518546,0.5678059868223929,0.008185177329461668,19259,4815,0.7181723779854621,11,7,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,1,0.812951681240268,0.5453298543069935,0.2676218269332744,19280,4794,0.7181894034209428,11,7,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,2,0.8192446140719487,0.5448909205146037,0.27435369355734496,19261,4813,0.7107832952420527,11,7,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,3,0.8194986001969788,0.5519323957887341,0.26756620440824475,19279,4795,0.7278415015641293,11,7,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,4,0.8135088393286026,0.5609878656486791,0.25252097367992354,19217,4857,0.7232859789993823,11,7,4
A_bare_membership_no_promo,RandomForest,StratifiedGroupKFold,5,0.8165300858366435,0.543062278449937,0.2734678073867065,19259,4815,0.7181723779854621,11,7,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,1,0.6218880177758238,0.5581945409785632,0.06369347679726056,19280,4794,0.7181894034209428,11,7,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,2,0.6537700355170193,0.5512785298376828,0.10249150567933651,19261,4813,0.7107832952420527,11,7,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,3,0.625369414961203,0.5517711249437363,0.07359829001746676,19279,4795,0.7278415015641293,11,7,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,4,0.6322619553764534,0.5666949841066515,0.06556697126980182,19217,4857,0.7232859789993823,11,7,4
A_bare_membership_no_promo,HistGradientBoosting,StratifiedGroupKFold,5,0.6376143319675964,0.5514765457945072,0.0861377861730892,19259,4815,0.7181723779854621,11,7,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,1,0.5791882518078726,0.5642169084205867,0.014971343387285896,19280,4794,0.7181894034209428,12,8,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,2,0.5791430445049689,0.5665272723912816,0.012615772113687251,19261,4813,0.7107832952420527,12,8,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,3,0.5798525885136755,0.5631827114141115,0.016669877099564023,19279,4795,0.7278415015641293,12,8,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,4,0.5744487224103348,0.5768280527767612,-0.0023793303664263465,19217,4857,0.7232859789993823,12,8,4
B_membership_plus_promo,LogisticRegression,StratifiedGroupKFold,5,0.5780819116922334,0.5682447715570316,0.009837140135201872,19259,4815,0.7181723779854621,12,8,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,1,0.8079577822582216,0.5444318630598821,0.26352591919833945,19280,4794,0.7181894034209428,12,8,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,2,0.814309818112219,0.5455803320935264,0.2687294860186926,19261,4813,0.7107832952420527,12,8,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,3,0.8166134764532234,0.5521249547146198,0.2644885217386036,19279,4795,0.7278415015641293,12,8,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,4,0.8107335374219096,0.565994778746967,0.24473875867494255,19217,4857,0.7232859789993823,12,8,4
B_membership_plus_promo,RandomForest,StratifiedGroupKFold,5,0.8131377617891375,0.5381039470167965,0.275033814772341,19259,4815,0.7181723779854621,12,8,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,1,0.627414071036144,0.5628367064080285,0.06457736462811547,19280,4794,0.7181894034209428,12,8,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,2,0.653999615862407,0.5598317062968078,0.09416790956559917,19261,4813,0.7107832952420527,12,8,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,3,0.6398943794649177,0.5575784123220148,0.0823159671429029,19279,4795,0.7278415015641293,12,8,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,4,0.6310375377776848,0.5664797969785694,0.06455774079911536,19217,4857,0.7232859789993823,12,8,4
B_membership_plus_promo,HistGradientBoosting,StratifiedGroupKFold,5,0.6530211888416857,0.5560460657908588,0.0969751230508269,19259,4815,0.7181723779854621,12,8,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,1,0.5843301723375433,0.5683844950427744,0.015945677294768812,19280,4794,0.7181894034209428,13,9,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,2,0.5841170839354335,0.5707866935795476,0.013330390355885902,19261,4813,0.7107832952420527,13,9,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,3,0.58393606207515,0.5694563558717298,0.014479706203420206,19279,4795,0.7278415015641293,13,9,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,4,0.5792886328985534,0.5825140972984696,-0.0032254643999162225,19217,4857,0.7232859789993823,13,9,4
C_membership_plus_promo_coin,LogisticRegression,StratifiedGroupKFold,5,0.5826833631346028,0.5736091759925294,0.00907418714207342,19259,4815,0.7181723779854621,13,9,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,1,0.823620122101496,0.552418653537692,0.271201468563804,19280,4794,0.7181894034209428,13,9,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,2,0.8212449167420837,0.5520881632042792,0.26915675353780444,19261,4813,0.7107832952420527,13,9,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,3,0.8205734731286415,0.5631049852342215,0.25746848789442,19279,4795,0.7278415015641293,13,9,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,4,0.8135071314463846,0.5777530820896534,0.23575404935673128,19217,4857,0.7232859789993823,13,9,4
C_membership_plus_promo_coin,RandomForest,StratifiedGroupKFold,5,0.8196326178603474,0.5468292422002231,0.27280337566012425,19259,4815,0.7181723779854621,13,9,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,1,0.6295474055687382,0.5686196883452259,0.06092771722351231,19280,4794,0.7181894034209428,13,9,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,2,0.6910891127791026,0.5696536688539682,0.12143544392513439,19261,4813,0.7107832952420527,13,9,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,3,0.626979181797011,0.5659680093095764,0.061011172487434595,19279,4795,0.7278415015641293,13,9,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,4,0.6383011407581604,0.5787978833719654,0.059503257386194996,19217,4857,0.7232859789993823,13,9,4
C_membership_plus_promo_coin,HistGradientBoosting,StratifiedGroupKFold,5,0.6617640261586385,0.5593049854384843,0.10245904072015422,19259,4815,0.7181723779854621,13,9,4
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,1,0.585533267776104,0.5680515911772843,0.017481676598819718,19280,4794,0.7181894034209428,14,10,4
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,2,0.5849181649446976,0.5714100619231454,0.013508103021552254,19261,4813,0.7107832952420527,14,10,4
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,3,0.5847706795238412,0.5706080865966252,0.014162592927216,19279,4795,0.7278415015641293,14,10,4
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,4,0.5798235884922762,0.5839476544603039,-0.004124065968027724,19217,4857,0.7232859789993823,14,10,4
D_membership_plus_promo_coin_duration,LogisticRegression,StratifiedGroupKFold,5,0.5834541780873361,0.5759740104754261,0.00748016761191006,19259,4815,0.7181723779854621,14,10,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,1,0.8123168647039817,0.5561822838387589,0.2561345808652228,19280,4794,0.7181894034209428,14,10,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,2,0.8046894685507685,0.559488680462458,0.24520078808831047,19261,4813,0.7107832952420527,14,10,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,3,0.8076486495744563,0.5643250008233706,0.2433236487510857,19279,4795,0.7278415015641293,14,10,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,4,0.8101269646338447,0.5777978774416115,0.23232908719223322,19217,4857,0.7232859789993823,14,10,4
D_membership_plus_promo_coin_duration,RandomForest,StratifiedGroupKFold,5,0.8051152785930091,0.5528170875007938,0.2522981910922153,19259,4815,0.7181723779854621,14,10,4
