feature_set_name,safe_model_feature_name,AARRR_stage,feature_family,timing_family,promotion_n,nonpromotion_n,standardized_mean_difference,missing_count,caveat_flag,caveat_reason,needs_user_review,interpretation_guardrail,promotion_mean,nonpromotion_mean,mean_diff_promotion_minus_nonpromotion,promotion_median,nonpromotion_median,median_diff_promotion_minus_nonpromotion,promotion_std,nonpromotion_std,effect_size_abs
conservative_safe_22,avg_gap_w1_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.004271088547973553,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",0.6763356859038979,0.6710633851454139,0.005272300758484061,0.0,0.0,0.0,1.2331755886314308,1.235655501802304,0.004271088547973553
conservative_safe_22,avg_gap_w2_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.01955207141332982,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",0.6610677082493279,0.638010439821029,0.023057268428298916,0.0,0.0,0.0,1.2003735412134953,1.1577919808962955,0.01955207141332982
conservative_safe_22,avg_gap_w3_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.026469464503076266,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",0.694142025033602,0.6616584643400447,0.03248356069355729,0.0,0.0,0.0,1.2401716962532512,1.2141075787520168,0.026469464503076266
conservative_safe_22,diff_between_w2_w1,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,-0.00030021661129932476,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",-2.3215725806451615,-2.265145413870246,-0.05642716677491544,0.0,0.0,0.0,186.65349653248714,189.24724589810964,0.00030021661129932476
conservative_safe_22,diff_between_w3_w1,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.0001871048661809142,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",-1.3177083333333333,-1.3571364653243847,0.03942813199105144,0.0,0.0,0.0,203.03899859743154,218.14509937323612,0.0001871048661809142
conservative_safe_22,diff_between_w3_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.0005005122994051537,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",1.003864247311828,0.9080089485458613,0.09585529876596666,0.0,0.0,0.0,186.35699792282665,196.53645665122647,0.0005005122994051537
conservative_safe_22,retention_w2_ratio,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,-0.001661288326660862,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",29.26623676033266,29.41738015991051,-0.15114339957785106,1.0,1.0,0.0,92.33355351634081,89.60525401805918,0.001661288326660862
conservative_safe_22,retention_w3_ratio,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.0026464443996136082,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",31.58756242237903,31.33263265172259,0.25492977065643885,1.0,1.0,0.0,90.73500165212772,101.61581710320083,0.0026464443996136082
conservative_safe_22,watch_session_w1,Activation,early_week1_watch_behavior,week1,11904,11175,-0.002951120347742134,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",2.23807123655914,2.247248322147651,-0.009177085588511158,1.0,1.0,0.0,3.062091021037749,3.1565820851872317,0.002951120347742134
conservative_safe_22,watch_session_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,11904,11175,0.00015432973703535506,0,False,,False,"Observed promotion vs non-promotion difference only; not causal, not feature selection, not model evidence.",2.2053931451612905,2.204921700223714,0.0004714449375766705,1.0,1.0,0.0,3.034274701744338,3.0751684403756276,0.00015432973703535506
