카테고리,변수명,데이터타입,설명,생성방식,비고,출처
타겟,is_repurchase,int (0/1),재구독 여부 (타겟),원시 데이터,"1=잔존, 0=이탈",나현/동근/인겸
기본 멤버십,is_standard,binary,2화면 요금제 여부,원시 데이터 (Membership),max_screen 대체,동근
,is_premium,binary,4화면 요금제 여부,원시 데이터 (Membership),max_screen 대체,동근
,is_churn_prevented,binary,이탈 방지 처리 여부,원시 데이터 (Membership),,나현/동근
,is_promotion,binary,프로모션 가입 여부,원시 데이터 (Membership),,나현/인겸
,is_user_verified,binary,본인 인증 여부,원시 데이터 (Membership),verified_promotion 대체,나현/동근
인구통계,age_group,int,나이 10단위 그룹 (20/30/40/50...),age // 10 * 10 파생,"age 대체, 10단위 구간화",나현(변환)
,is_female,binary,여성 여부,gender 파생,gender 대체,광일
,is_male,binary,남성 여부,gender 파생,gender 대체,광일
가입 시간대,reg_is_weekend,binary,주말(토·일) 가입 여부,reg_weekday >= 5 파생,,광일
,reg_hour_morning,binary,오전(6~11시) 가입 여부,reg_hour 4구간 원핫인코딩,reg_time_enc 대체,파생
,reg_hour_afternoon,binary,오후(12~17시) 가입 여부,reg_hour 4구간 원핫인코딩,reg_time_enc 대체,광일/파생
,reg_hour_evening,binary,저녁(18~23시) 가입 여부,reg_hour 4구간 원핫인코딩,reg_time_enc 대체,광일/파생
,reg_hour_night,binary,심야(0~5시) 가입 여부,reg_hour 4구간 원핫인코딩,reg_time_enc 대체,광일/파생
결제 디바이스,payment_is_mobile,binary,모바일 결제 여부,payment_device 파생 (더미),payment_device/enc 대체,광일
,payment_is_pc,binary,PC 결제 여부,payment_device 파생 (더미),payment_device/enc 대체,광일
,payment_is_android,binary,Android 결제 여부,payment_device 파생 (더미),payment_device/enc 대체,광일
,payment_is_ios,binary,Ios 결제 여부,payment_device 파생 (더미),payment_device/enc 대체,광일
시청 기본,total_watch_count,int,총 시청 횟수 (세션 수),시청 이력 집계,USER_NUM 당 집계,나현/동근
,unique_movie,int,고유 영화(영화) 시청 수,시청 이력 집계,USER_NUM 당 집계,동근
,watch_days,int,시청한 고유 날짜 수,시청 이력 집계,,나현/동근
,active_ratio,float,활동률 (watch_days / 21),watch_days/21 파생,관측창 21일 기준,동근
,total_watch_time,float,총 시청 시간 (분),시청 이력 집계,,나현
,watch_per_day,float,하루 평균 시청 횟수,total_watch_count/watch_days 파생,,나현/동근
시청 시간 분포,avg_watch_time,float,회당 평균 시청 시간 (분),시청 이력 집계, View_History 테이블의 행 1개 ,나현/동근
,median_watch_time,float,회당 중앙 시청 시간 (분),시청 이력 집계,"N이 홀수 → 가운데 값
N이 짝수 → 가운데 두 값의 평균",동근
,std_watch_time,float,회당 시청 시간 표준편차,시청 이력 집계,σ = √[ (w₁-x̄)² + (w₂-x̄)² + ... + (wₙ-x̄)² ] / N,동근
,avg_daily_watch_time,float,하루 평균 시청 시간 (분),total_watch_time(24)/watch_days(22) 파생,(전체 시청 시간 합계) / (실제 시청한 날 수),동근
,max_watch_time,int,최대 시청 시간 (분),,max(watch_time),동근
,max_daily_watch_time,int,하루 최대 시청량,,,동근
,max_daily_sessions,int,하루 최대 시청 횟수,,,동근
시청 패턴,recency,int,마지막 시청 경과일 (20 - last_watch_day),cutoff(20일) - 마지막 시청 상대일,"낮을수록 최근 / 20부터 시작하는 이유는, 3주치 데이터만 사용하기 때문.",동근
,avg_gap_between_watch_days,float,1~3주(1~21일) 평균 시청 간격(일),시청 이력 집계,,동근
,avg_gap_w1_watch_days,float,1주차(1~7일) 평균 시청 간격(일),시청 이력 집계,,인겸
,avg_gap_w2_watch_days,float,2주차(8~14일) 평균 시청 간격(일),시청 이력 집계,,인겸
,avg_gap_w3_watch_days,float,3주차(15~21일) 평균 시청 간격(일),시청 이력 집계,,인겸
,max_inactive_gap_days,int,최장 미시청 기간 (일),시청 이력 집계,,동근
,avg_rewatch_ratio,float,재시청 비율,시청 이력 집계,같은 컨텐츠 2회 이상 시청 횟수 / 전체 시청 횟수 (MOVIE_NUM 기준),동근
,weekend_watch_ratio,float,주말(토·일) 시청 비율,시청 이력 집계,vh_weekend_ratio 대체,동근
,watch_ratio_under_1m,float,1분 이하 시청 비율 (오류/탐색),시청 이력 집계,,동근
,watch_ratio_under_5m,float,5분 이하 시청 비율 (탐색/이탈),시청 이력 집계,vh_short_watch_ratio 대체,동근
온보딩,is_cold_start_3d,binary,구독 후 3일 이내 첫 시청 여부,시청 이력 집계,,인겸
,is_cold_start_7d,binary,구독 후 7일 이내 첫 시청 여부,시청 이력 집계,,동근
시청 강도,movie_per_active_day,float,활동일 당 평균 고유한 영화 수,시청 이력 집계,고유 영화 수 / active_days,동근
,max_day_share,float,하루 최대 집중도 (높으면 이탈 방향),시청 이력 집계,최대 시청 시간 / 총 시청 시간(sum) (10 60 10일 경우 60/80),동근
,day_count_over_3times,int,하루 3회 이상 시청한 날 수,시청 이력 집계,,동근
주차별 시청,watch_time_w1,float,1주차(1~7일) 시청 시간 (분),시청 이력 집계,,동근
,watch_time_w2,float,2주차(8~14일) 시청 시간 (분),시청 이력 집계,,동근
,watch_time_w3,float,3주차(15~21일) 시청 시간 (분),시청 이력 집계,,동근
,watch_session_w1,float,1주차(1~7일) 시청 세션 (횟수),파생,,인겸
,watch_session_w2,float,2주차(8~14일) 시청 세션 (횟수),파생,,인겸
,watch_session_w3,float,3주차(15~21일) 시청 세션 (횟수),파생,,인겸
,retention_w2_ratio,float,1주차 대비 2주차 시청시간 유지율 (watch_time_w2 / watch_time_w1),파생,,동근
,retention_w3_ratio,float,3주차 시청 비율 (watch_time_w3 / total),파생,,동근
,w3_to_w1_ratio_capped,float,3주차/1주차 시청 비율 (상한 적용),파생,,동근
,diff_between_w2_w1,float,1주차 대비 2주차 시청 시간(분)의 차이,파생,,인겸
,diff_between_w3_w1,float,1주차 대비 3주차 시청 시간(분)의 차이,파생,,동근
,diff_between_w3_w2,float,2주차 대비 3주차 시청 시간(분)의 차이,파생,,
시청 유형 플래그,is_w1_over_50%,binary,1주차 50% 이상 집중 시청 여부(0/1),파생,,동근
,is_w2_over_50%,binary,2주차 50% 이상 집중 시청 여부(0/1),파생,,동근
,is_w3_over_50%,binary,3주차 50% 이상 집중 시청 여부(0/1),파생,,동근
,is_only_w1,binary,1주차만 시청 여부(0/1),파생,,동근
,is_only_w2,binary,2주차만 시청 여부(0/1),파생,,동근
,is_only_w3,binary,3주차만 시청 여부(0/1),파생,,동근
신규 영화 시청,new_movie_in_90d_ratio,float,신규 영화 시청 비율 (2021년 01월 이후),시청 이력 집계,,나현/동근
,new_movie_in_180d_ratio,float,신규 영화 시청 비율 (2020년 09월 이후),시청 이력 집계,,나현/동근
,new_movie_in_365d_ratio,float,신규 영화 시청 비율 (2020년 03월 이후),시청 이력 집계,,나현/동근
,old_movie_ratio(5y),float,5년 이상 된 작품 시청 비중,시청 이력 집계,,광일
,avg_release_year,float,평균 시청 영화 출시연도,시청 이력 집계,,동근
장르 다양성,genre_diversity_count,int,시청한 고유 장르 수,시청 이력 집계,vh_genre_unique_count 대체,나현
장르 비중,action_adventure_ratio,float,액션/어드벤처 장르 비중,시청 이력 집계,,동근/광일
,family_animation_ratio,float,패밀리/애니메이션 장르 비중,시청 이력 집계,,동근/광일
,drama_ratio,float,드라마 장르 비중,시청 이력 집계,,동근/광일
,thriller_crime_ratio,float,스릴러/범죄 장르 비중,시청 이력 집계,,동근/광일
,sf_fantasy_ratio,float,SF/판타지 장르 비중,시청 이력 집계,,동근/광일
,comedy_ratio,float,코미디 장르 비중,시청 이력 집계,,동근/광일
,romance_ratio,float,로맨스 장르 비중,시청 이력 집계,,동근/광일
,horror_ratio,float,공포 장르 비중,시청 이력 집계,,동근/광일
,documentary_ratio,float,다큐멘터리 장르 비중,시청 이력 집계,,동근/광일
,historical_war_ratio,float,역사/전쟁 장르 비중,시청 이력 집계,,동근/광일
,other_ratio,float,그 외 장르 비중,시청 이력 집계,,동근/광일
