feature_name,AARRR_stage_primary,feature_family,repurchase_mean,nonrepurchase_mean,mean_difference_repurchase_minus_nonrepurchase,repurchase_median,nonrepurchase_median,median_difference,repurchase_zero_rate,nonrepurchase_zero_rate,zero_rate_difference,simple_standardized_mean_difference,absolute_standardized_mean_difference,descriptive_effect_size_bucket,direction_interpretation,safe_claim,unsafe_claim,next_check_needed
watch_time(min)_w3,retention,usage_observation,128.9104143337066,37.16058960434445,91.74982472936215,89.0,0.0,89.0,0.2640288664924723,0.5513317817429532,-0.28730291525048085,0.6913420634313308,0.6913420634313308,large,repurchase rows have higher watch_time(min)_w3 mean than nonrepurchase rows,"Within promotion rows, watch_time(min)_w3 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_session_w3,retention,usage_observation,2.780141843971631,1.0602534264287562,1.719888417542875,2.0,0.0,2.0,0.2640288664924723,0.5513317817429532,-0.28730291525048085,0.6626744684571563,0.6626744684571563,large,repurchase rows have higher watch_session_w3 mean than nonrepurchase rows,"Within promotion rows, watch_session_w3 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_only_w1,activation,usage_observation,0.03919372900335946,0.2156710628394104,-0.17647733383605094,0.0,0.0,0.0,0.9608062709966405,0.7843289371605896,0.1764773338360509,-0.5487347215544293,0.5487347215544293,large,repurchase rows have lower is_only_w1 mean than nonrepurchase rows,"Within promotion rows, is_only_w1 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_w1_over_50pct,activation,usage_observation,0.21600099539629214,0.4484096198603569,-0.23240862446406474,0.0,0.0,0.0,0.7839990046037079,0.5515903801396431,0.23240862446406474,-0.5091198494649657,0.5091198494649657,large,repurchase rows have lower is_w1_over_50pct mean than nonrepurchase rows,"Within promotion rows, is_w1_over_50pct has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
avg_gap_w3_watch_days,retention,usage_observation,0.8720355852930198,0.324415998707008,0.5476195865860118,0.0,0.0,0.0,0.5752146323254946,0.8489785363330747,-0.2737639040075801,0.4756795703580846,0.4756795703580846,moderate,repurchase rows have higher avg_gap_w3_watch_days mean than nonrepurchase rows,"Within promotion rows, avg_gap_w3_watch_days has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
diff_between_w3_w1,retention,retention_change,25.093691675998507,-56.20998189811223,81.30367357411075,1.0,-7.0,8.0,0.13263655592882917,0.16834755624515127,-0.0357110003163221,0.43280640300842604,0.43280640300842604,moderate,repurchase rows have higher diff_between_w3_w1 mean than nonrepurchase rows,"Within promotion rows, diff_between_w3_w1 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_time(min)_w2,retention,usage_observation,117.58865248226951,57.600982673907424,59.987669808362085,51.0,1.0,50.0,0.3340798805524449,0.44970261184380655,-0.11562273129136164,0.42662425147130806,0.42662425147130806,moderate,repurchase rows have higher watch_time(min)_w2 mean than nonrepurchase rows,"Within promotion rows, watch_time(min)_w2 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
retention_w3_ratio,retention,retention_ratio,40.95866984795322,12.111071504525473,28.847598343427745,1.0,1.0,0.0,0.0,0.0,0.0,0.3579795070777067,0.3579795070777067,moderate,repurchase rows have higher retention_w3_ratio mean than nonrepurchase rows,"Within promotion rows, retention_w3_ratio has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_w3_over_50pct,retention,usage_observation,0.33358218240637055,0.1812774760796483,0.15230470632672224,0.0,0.0,0.0,0.6664178175936295,0.8187225239203517,-0.15230470632672222,0.3537252022979554,0.3537252022979554,moderate,repurchase rows have higher is_w3_over_50pct mean than nonrepurchase rows,"Within promotion rows, is_w3_over_50pct has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_session_w2,retention,usage_observation,2.512629090456638,1.5668476855443496,0.9457814049122886,2.0,1.0,1.0,0.3340798805524449,0.44970261184380655,-0.11562273129136164,0.3318420630210599,0.3318420630210599,moderate,repurchase rows have higher watch_session_w2 mean than nonrepurchase rows,"Within promotion rows, watch_session_w2 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
