feature_set_name,model,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,brier_score_repurchase,n_train,n_test,train_repurchase_rate,test_repurchase_rate,feature_count,post_transform_feature_count,train_test_USER_KEY_overlap
full_reference_w1_3,LogisticRegression,0.8414083911645173,0.9275614941076896,0.6574695031079364,0.7906635963994139,0.6978392916263529,0.6962962962962963,0.4799416484318016,0.5682210708117443,0.1433949600498307,19156,4777,0.721445,0.713,80,166,0
full_reference_w1_3,HistGradientBoostingClassifier,0.872458629449125,0.94371246410477,0.7100656154140109,0.8151559556206824,0.7470458019550174,0.7174688057040999,0.587162654996353,0.645808263136783,0.12897714387480602,19156,4777,0.721445,0.713,80,166,0
reduced_membership_only,LogisticRegression,0.573794346699286,0.7587440064352324,0.3356825480880833,0.7129997906635964,0.5,0.0,0.0,0.0,0.20204160183193393,19156,4777,0.721445,0.713,9,85,0
reduced_membership_only,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,0.20228481942165052,19156,4777,0.721445,0.713,9,85,0
reduced_membership_simple_usage,LogisticRegression,0.7100582573422368,0.8455750386605949,0.510313363861164,0.7427255599748797,0.587740110235809,0.6504237288135594,0.22392414296134208,0.33315246880086813,0.1798617281676828,19156,4777,0.721445,0.713,16,92,0
reduced_membership_simple_usage,HistGradientBoostingClassifier,0.7150480573818974,0.8498778434796557,0.5271792943260143,0.7439815783964832,0.5918893718683252,0.6491935483870968,0.2348650619985412,0.3449384038564542,0.1773917113000753,19156,4777,0.721445,0.713,16,92,0
reduced_membership_weekly_usage_no_ratios,LogisticRegression,0.7573018695715674,0.881296818248336,0.5229054996035727,0.7353987858488591,0.5930612001903365,0.5887230514096186,0.2589350838803793,0.3596757852077001,0.17143288921358812,19156,4777,0.721445,0.713,15,91,0
reduced_membership_weekly_usage_no_ratios,HistGradientBoostingClassifier,0.8073095147234489,0.9066041463763109,0.6110705717465008,0.7741260205149676,0.6829736471400494,0.6468812877263581,0.46900072939460247,0.5437632135306554,0.1540989376561656,19156,4777,0.721445,0.713,15,91,0
reduced_membership_week1_2_only,LogisticRegression,0.6998972722869028,0.8505864519874997,0.45059121573635796,0.7165585095248064,0.5325654559915505,0.5328185328185329,0.10065645514223195,0.16932515337423312,0.1848566675864687,19156,4777,0.721445,0.713,14,90,0
reduced_membership_week1_2_only,HistGradientBoostingClassifier,0.7633410041832045,0.8861962116630399,0.5563254977638307,0.7498429976972996,0.6108167977478282,0.6456953642384106,0.2844638949671772,0.3949367088607595,0.16782792802937746,19156,4777,0.721445,0.713,14,90,0
reduced_membership_genre_ratio_only,LogisticRegression,0.6576305040275174,0.794682602262696,0.4647134814444931,0.7299560393552439,0.5511123374762775,0.6451612903225806,0.13129102844638948,0.21818181818181817,0.18976829710773896,19156,4777,0.721445,0.713,19,95,0
reduced_membership_genre_ratio_only,HistGradientBoostingClassifier,0.738654444702852,0.8629973251592165,0.533494445778028,0.7487963156792966,0.6122617742834222,0.6359300476947536,0.29175784099197666,0.4,0.17345635877971557,19156,4777,0.721445,0.713,19,95,0
reduced_membership_simple_usage_genre_ratio,LogisticRegression,0.7585487574379618,0.8716877328552075,0.5789794042637821,0.7586351266485242,0.6326710104834948,0.6543909348441926,0.33698030634573306,0.444872412132884,0.1669534110416107,19156,4777,0.721445,0.713,26,102,0
reduced_membership_simple_usage_genre_ratio,HistGradientBoostingClassifier,0.7749723425387816,0.8842867169386407,0.6023293269963541,0.7734980113041658,0.6552960558297388,0.6934404283801874,0.37782640408460977,0.48914069877242683,0.1612730841851136,19156,4777,0.721445,0.713,26,102,0
reduced_family_level_interpretable,LogisticRegression,0.7379836201014813,0.8644579627035142,0.5294735670831809,0.733933431023655,0.601621093423756,0.5716332378223495,0.2910284463894967,0.38569357177380376,0.17481239701664505,19156,4777,0.721445,0.713,20,96,0
reduced_family_level_interpretable,HistGradientBoostingClassifier,0.771558685856212,0.878701884956594,0.5991726391057475,0.7670085827925476,0.6452978247080172,0.6771978021978022,0.3595915390226112,0.46974749880895666,0.16268146344315426,19156,4777,0.721445,0.713,20,96,0
reduced_no_target_adjacent_timing,LogisticRegression,0.8072870289826208,0.9086062198767889,0.6156261349492024,0.7697299560393552,0.658101098460562,0.6662576687116565,0.39606126914660833,0.4967978042086002,0.15470381268243008,19156,4777,0.721445,0.713,28,104,0
reduced_no_target_adjacent_timing,HistGradientBoostingClassifier,0.8570990481892982,0.9356726295584852,0.6870605555556502,0.8015490893866444,0.7154961660741139,0.7147208121827411,0.513493800145879,0.597623089983022,0.13628366116648047,19156,4777,0.721445,0.713,28,104,0
