model,feature_set_name,roc_auc_repurchase,average_precision_churn_risk,top_decile_lift_vs_overall,feature_count,interpretation_safety,target_adjacent_risk,recommended_use
HistGradientBoostingClassifier,full_reference_w1_3,0.872458629449125,0.7100656154140109,2.762671,80,low,medium_high,internal_reference_only
HistGradientBoostingClassifier,reduced_no_target_adjacent_timing,0.8570990481892982,0.6870605555556502,2.697066,28,high,low,target_adjacent_removed_reference
HistGradientBoostingClassifier,reduced_membership_weekly_usage_no_ratios,0.8073095147234489,0.6110705717465008,2.551279,15,medium,medium_high,timing_cautioned_diagnostic
HistGradientBoostingClassifier,reduced_membership_simple_usage_genre_ratio,0.7749723425387816,0.6023293269963541,2.624173,26,medium_high,low,presentation_safe_candidate
HistGradientBoostingClassifier,reduced_family_level_interpretable,0.771558685856212,0.5991726391057475,2.616883,20,high,low,mentor_safe_final_candidate
HistGradientBoostingClassifier,reduced_membership_week1_2_only,0.7633410041832045,0.5563254977638307,2.390913,14,high,low,mentor_safe_candidate
HistGradientBoostingClassifier,reduced_membership_genre_ratio_only,0.738654444702852,0.533494445778028,2.296151,19,medium_high,low,content_preference_diagnostic
HistGradientBoostingClassifier,reduced_membership_simple_usage,0.7150480573818974,0.5271792943260143,2.31073,16,medium_high,low,mentor_safe_candidate
HistGradientBoostingClassifier,reduced_membership_only,0.5718420490206282,0.3385557885984344,1.406848,9,high,low,baseline_context
LogisticRegression,full_reference_w1_3,0.8414083911645173,0.6574695031079364,2.580436,80,low,medium_high,internal_reference_only
LogisticRegression,reduced_no_target_adjacent_timing,0.8072870289826208,0.6156261349492024,2.551279,28,high,low,target_adjacent_removed_reference
LogisticRegression,reduced_membership_simple_usage_genre_ratio,0.7585487574379618,0.5789794042637821,2.471096,26,medium_high,low,presentation_safe_candidate
LogisticRegression,reduced_membership_weekly_usage_no_ratios,0.7573018695715674,0.5229054996035727,2.106627,15,medium,medium_high,timing_cautioned_diagnostic
LogisticRegression,reduced_family_level_interpretable,0.7379836201014813,0.5294735670831809,2.128496,20,high,low,mentor_safe_final_candidate
LogisticRegression,reduced_membership_simple_usage,0.7100582573422368,0.510313363861164,2.259704,16,medium_high,low,mentor_safe_candidate
LogisticRegression,reduced_membership_week1_2_only,0.6998972722869028,0.45059121573635796,1.764027,14,high,low,mentor_safe_candidate
LogisticRegression,reduced_membership_genre_ratio_only,0.6576305040275174,0.4647134814444931,2.07747,19,medium_high,low,content_preference_diagnostic
LogisticRegression,reduced_membership_only,0.573794346699286,0.3356825480880833,1.304797,9,high,low,baseline_context
