dataset,column,rank,value,count,rate
Membership,USER_KEY,1,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,21,0.000872
Membership,USER_KEY,2,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,14,0.000582
Membership,USER_KEY,3,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,10,0.000415
Membership,USER_KEY,4,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,6,0.000249
Membership,USER_KEY,5,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,6,0.000249
Membership,USER_KEY,6,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,4,0.000166
Membership,USER_KEY,7,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,4,0.000166
Membership,USER_KEY,8,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,4,0.000166
Membership,USER_KEY,9,51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e,4,0.000166
Membership,USER_KEY,10,8e7c2a309dab310d431faf504e9fe0de8cda99bac1293e5ef39931f7c06fdb7538d8f079ea8ff88d9bcfb64b039baf17ed7729e3743979e9065718ecbf0c8b89,4,0.000166
Membership,USER_KEY,11,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,4,0.000166
Membership,USER_KEY,12,63370177497798e110c86c207966d8348c67f2120eda7ba945226ff26336244fab642d3e92d9c87a3d195cabfca2910beefee7a4af4f4c681e44341d05e1ccd8,4,0.000166
