column,raw_value,clean_value,count,action
gender,,unknown,203,normalize_to_unknown
gender,F,F,12570,trim_and_preserve
gender,M,M,7384,trim_and_preserve
gender,N,unknown,3776,normalize_to_unknown
product_code,pk_1070,pk_1070,5,trim_and_preserve
product_code,pk_1071,pk_1071,1,trim_and_preserve
product_code,pk_1077,pk_1077,1,trim_and_preserve
product_code,pk_1079,pk_1079,1,trim_and_preserve
product_code,pk_1136,pk_1136,35,trim_and_preserve
product_code,pk_1137,pk_1137,1,trim_and_preserve
product_code,pk_1139,pk_1139,9,trim_and_preserve
product_code,pk_1140,pk_1140,2,trim_and_preserve
product_code,pk_1142,pk_1142,3,trim_and_preserve
product_code,pk_1143,pk_1143,1,trim_and_preserve
product_code,pk_1145,pk_1145,3,trim_and_preserve
product_code,pk_1151,pk_1151,1,trim_and_preserve
product_code,pk_1152,pk_1152,1,trim_and_preserve
product_code,pk_1154,pk_1154,1,trim_and_preserve
product_code,pk_1157,pk_1157,1,trim_and_preserve
product_code,pk_1158,pk_1158,1,trim_and_preserve
product_code,pk_1160,pk_1160,1,trim_and_preserve
product_code,pk_118,pk_118,6,trim_and_preserve
product_code,pk_119,pk_119,7,trim_and_preserve
product_code,pk_121,pk_121,34,trim_and_preserve
product_code,pk_122,pk_122,3,trim_and_preserve
product_code,pk_123,pk_123,5,trim_and_preserve
product_code,pk_129,pk_129,1,trim_and_preserve
product_code,pk_1350,pk_1350,1,trim_and_preserve
product_code,pk_137,pk_137,1,trim_and_preserve
product_code,pk_139,pk_139,6,trim_and_preserve
product_code,pk_140,pk_140,3,trim_and_preserve
product_code,pk_141,pk_141,6,trim_and_preserve
product_code,pk_142,pk_142,4,trim_and_preserve
product_code,pk_1486,pk_1486,1,trim_and_preserve
product_code,pk_1487,pk_1487,8783,trim_and_preserve
product_code,pk_1488,pk_1488,3289,trim_and_preserve
product_code,pk_1489,pk_1489,2869,trim_and_preserve
product_code,pk_1494,pk_1494,38,trim_and_preserve
product_code,pk_1496,pk_1496,1,trim_and_preserve
product_code,pk_1506,pk_1506,767,trim_and_preserve
product_code,pk_1507,pk_1507,286,trim_and_preserve
product_code,pk_1508,pk_1508,2849,trim_and_preserve
product_code,pk_1509,pk_1509,8,trim_and_preserve
product_code,pk_1510,pk_1510,1,trim_and_preserve
product_code,pk_187,pk_187,3,trim_and_preserve
product_code,pk_188,pk_188,7,trim_and_preserve
product_code,pk_1898,pk_1898,3,trim_and_preserve
product_code,pk_2005,pk_2005,161,trim_and_preserve
product_code,pk_2025,pk_2025,3033,trim_and_preserve
product_code,pk_2026,pk_2026,827,trim_and_preserve
product_code,pk_2027,pk_2027,738,trim_and_preserve
product_code,pk_2028,pk_2028,7,trim_and_preserve
product_code,pk_2029,pk_2029,34,trim_and_preserve
product_code,pk_328,pk_328,1,trim_and_preserve
product_code,pk_336,pk_336,1,trim_and_preserve
product_code,pk_388,pk_388,1,trim_and_preserve
product_code,pk_389,pk_389,2,trim_and_preserve
product_code,pk_844,pk_844,53,trim_and_preserve
product_code,pk_845,pk_845,15,trim_and_preserve
product_code,pk_846,pk_846,4,trim_and_preserve
product_code,pk_847,pk_847,2,trim_and_preserve
product_code,pk_849,pk_849,2,trim_and_preserve
product_code,pk_929,pk_929,1,trim_and_preserve
product_code,pk_931,pk_931,1,trim_and_preserve
payment_device,android,android,11137,trim_and_preserve
payment_device,ios,ios,4070,trim_and_preserve
payment_device,lgchplus,lgchplus,2,trim_and_preserve
payment_device,lgtv,lgtv,182,trim_and_preserve
payment_device,mobile,mobile,3681,trim_and_preserve
payment_device,ott,ott,85,trim_and_preserve
payment_device,ott_cjhello,ott_cjhello,1,trim_and_preserve
payment_device,pc,pc,4640,trim_and_preserve
payment_device,smarttv,smarttv,9,trim_and_preserve
payment_device,sstv,sstv,126,trim_and_preserve
billing_method,121,121,2,trim_and_preserve
billing_method,131,131,2467,trim_and_preserve
billing_method,132,132,2386,trim_and_preserve
billing_method,134,134,6014,trim_and_preserve
billing_method,140,140,4070,trim_and_preserve
billing_method,151,151,4639,trim_and_preserve
billing_method,160,160,1,trim_and_preserve
billing_method,170,170,282,trim_and_preserve
billing_method,180,180,2219,trim_and_preserve
billing_method,190,190,1853,trim_and_preserve
