input_file,label,status,note
park.ingyeom/reports/data/05c_v2_modeling_dataset/modeling_dataset_v2c_w1_3.csv,modeling_dataset,found,required
park.ingyeom/reports/data/05c_v2_modeling_dataset/feature_sets_v2c.json,feature_sets,found,required
park.ingyeom/reports/data/06c2_v2_corrected_baseline_modeling/06c2_corrected_baseline_summary.json,baseline_summary,found,required
park.ingyeom/reports/data/06c2_v2_corrected_baseline_modeling/06c2_final_model_recommendation.md,model_recommendation,found,reference
park.ingyeom/reports/tables/06c2_v2_corrected_baseline_modeling/06c2_group_split_summary.csv,group_split,found,reference
park.ingyeom/reports/tables/06c2_v2_corrected_baseline_modeling/06c2_model_metrics.csv,model_metrics,found,reference
park.ingyeom/reports/data/07c_v2_corrected_true_shap_interpretation/07c_true_shap_summary.json,shap_summary,found,required
park.ingyeom/reports/data/07c_v2_corrected_true_shap_interpretation/07c_team_share_shap_summary.md,shap_team_share,found,reference
park.ingyeom/reports/tables/07c_v2_corrected_true_shap_interpretation/07c_global_shap_importance.csv,global_shap,found,reference
park.ingyeom/reports/tables/07c_v2_corrected_true_shap_interpretation/07c_feature_family_shap_importance.csv,family_shap,found,reference
park.ingyeom/reports/tables/07c_v2_corrected_true_shap_interpretation/07c_shap_direction_summary.csv,shap_direction,found,reference
