duration_days,raw_membership_rows,retained_membership_rows,filter_applied,policy_status,reason
0,498,452,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
1,51,33,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
10,2,2,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
11,3,3,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
12,3,3,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
13,4,4,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
14,1,1,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
16,2,2,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
17,2,2,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
18,1,1,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
2,27,20,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
20,2,2,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
3,16,11,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
31,19513,19476,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
32,3911,3889,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
4,9,7,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
5,6,4,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
6,7,6,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
7,3,3,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
8,7,6,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
9,6,6,N,DEFERRED,end_date inclusiveness and valid subscription-duration definition are not fully confirmed
