source_row_number,USER_KEY,is_promotion,is_repurchase,reg_date,end_date,duration_days,flag_duration_lt_21,flag_duration_eq_0,flag_duration_21_30,flag_duration_ge_21,flag_invalid_reg_date,flag_invalid_end_date,flag_full_duplicate_all_columns,flag_full_duplicate_keep_first,flag_full_duplicate_to_exclude_from_main,flag_duplicated_USER_KEY,flag_cross_promotion_USER_KEY_overlap,primary_main_cohort_candidate_before_duplicate_policy,primary_main_cohort_final,exclusion_reason_for_primary_main_cohort,sensitivity_all_duration_candidate,anomaly_duration_lt21_reference
1,7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc144b0f23979d3794e250b9dd3a5c9a663e2fba6bb142541282756d406d98ee9e5b233153,1,1,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
2,4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,1,0,2021-03-09,2021-04-09,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
3,01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793d3f9d03a560771374901302484d7598e771f39abbd8766c54f38753186b3f17eee9fb48,1,0,2021-03-09,2021-04-09,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
4,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,0,1,2021-03-03,2021-04-03,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
5,70da9913e0b9dd104fe781fd724bf1423f4cb4416f640e5d6820aa4cf4797841e27860fc7c8b0310348100c53cc861448978dc74d15f6f527d1e68cc0469d6a6,1,1,2021-03-03,2021-04-03,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
6,ce55ecaa87931f40db2fc448a88af43b50cbed84642851d11882544b1d2f9bc8ce1a08ec30afa994637b3a8e69e7d0e9d3beee9d1b1301fe7ebe73076b75b4f4,1,0,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
7,1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,0,0,2021-03-12,2021-04-13,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
8,985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6ebc66258516a3ffa5afdf9e45160d505b5a18acab7e9a7dd6eb8b3b6d551a88e1ca46643,1,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
9,60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390,0,1,2021-03-05,2021-04-06,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
10,2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,0,1,2021-03-11,2021-04-11,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
11,482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b19f44d58c8aeb01c318ea12601bb501a5b17a6d3c867d1f2a68deecbba5ffda494328a49,1,1,2021-03-11,2021-04-11,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
12,0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,0,1,2021-03-15,2021-04-15,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
13,457120a6023152e0aa7fce1d5ad546126bda5506b30ed81f89d02462db466df5e081a233b09fd5d051392312404b9b4ae3f4aa360a33ce3e683102a00e66334d,1,1,2021-03-09,2021-04-09,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
14,682d79dad73fef7acc8ef0424fc34344db76d46b9958609dfc99110d1ecf15fd3e0d05ec5a3b0ea9a3a8c70dbd3f6af0bbbd512b095e504f207fac6d707c4010,1,0,2021-03-09,2021-04-09,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
15,62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,0,1,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
16,55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4,0,1,2021-03-02,2021-04-03,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
17,ba6fee19b0ee3f777057486ec4fd8ae2bdec4d861a1ef617920e87e604e41961ab06b66708017602e96c5fe01619c28614bb60af65f3787b126bf232c89a2eaf,1,1,2021-03-11,2021-04-11,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
18,b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,0,1,2021-03-11,2021-04-11,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
