"label","source","destination","copied","note"
"05b_column_role_dictionary_patch_260513","park.ingyeom\reports\audits\05b_column_role_dictionary_patch_260513","canonical_outputs\05b_column_role_dictionary_patch_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"06_common_preprocessing_and_final_cohort_260513","park.ingyeom\reports\audits\06_common_preprocessing_and_final_cohort_260513","canonical_outputs\06_common_preprocessing_and_final_cohort_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"07_AARRR_feature_mapping_260513","park.ingyeom\reports\audits\07_AARRR_feature_mapping_260513","canonical_outputs\07_AARRR_feature_mapping_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"08b_promotion_vs_nonpromotion_eda_audit_patch_260513","park.ingyeom\reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","canonical_outputs\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"09_promotion_repurchase_2x2_eda_260513","park.ingyeom\reports\eda\09_promotion_repurchase_2x2_eda_260513","canonical_outputs\09_promotion_repurchase_2x2_eda_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"10_feature_eda_260513","park.ingyeom\reports\eda\10_feature_eda_260513","canonical_outputs\10_feature_eda_260513","True","filtered copy; excludes raw/zip/prediction-heavy files"
"10_feature_eda_figures","park.ingyeom\reports\figures\10_feature_eda_260513","canonical_outputs\10_feature_eda_figures","True","filtered copy; excludes raw/zip/prediction-heavy files"
"11b_semantic_validation_and_interpretation_patch_260514","park.ingyeom\reports\audits\11b_semantic_validation_and_interpretation_patch_260514","canonical_outputs\11b_semantic_validation_and_interpretation_patch_260514","True","filtered copy; excludes raw/zip/prediction-heavy files"
"09b_raw_view_window_validation_260514","park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402","canonical_outputs\09b_raw_view_window_validation_260514\run_20260514_130402","True","preferred raw window validation run"
"11b_baseline_growth_history_ladder_fix_260514","park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514","canonical_outputs\11b_baseline_growth_history_ladder_fix_260514","True","canonical corrected Step 11; OOF predictions excluded by default"
"11b_figures","park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514","canonical_outputs\11b_figures","True","figures for corrected Step 11"
"12_model_baseline_comparison_canonical_260514","C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_234434","canonical_outputs\12_model_baseline_comparison_canonical_260514","True","canonical Step 12 if copied=true; OOF predictions excluded by default"
"12_model_baseline_comparison_canonical_260514_figures","C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_234434","canonical_outputs\12_model_baseline_comparison_canonical_260514_figures","True","canonical Step 12 figures if copied=true"
"archive_manifest","park.ingyeom\_archive\**\*manifest*.csv","archive_manifest","True","old 12/12r deprecation isolation evidence"
