comparison_class,auc,source,role
full_exploratory_model,0.872458629449125,06f full_reference_w1_3,"exploratory upper bound, not official interpretation model"
reduced_no_target_adjacent_timing,0.8570990481892982,06f reduced baseline,prior reduced diagnostic reference
exact_w1_2_early_window,0.7401751232325673,06e exact early-window rebuild,mentor-safe early-window context
w1_4_late_period,0.9022499874722302,06e exact early-window rebuild,late-period comparison only
pruned_model,0.8618577804732115,pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag,timing_sensitive_w1_3
pruned_model,0.861708303834183,pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag,timing_sensitive_w1_3
pruned_model,0.8618577804732115,pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag,timing_sensitive_w1_3
pruned_model,0.8159880470084756,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag,timing_sensitive_w1_3
pruned_model,0.8046508435579209,pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag,early_safer_w1_3_proxy
pruned_model,0.853031377673501,pruned_w1_3_genre_ratio_only_added_without_product_code_without_watch_presence_flag,early_cautioned_preference_proxy
pruned_model,0.8969791156722187,pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence_flag,late_period_only
