trial,mean_valid_auc,mean_train_auc,gap,overfit,iterations,depth,learning_rate,l2_leaf_reg,border_count
161,0.8836056428489799,0.9443972322845988,0.06079158943561891,True,820,6,0.01559625874759826,5.284104832801364,240
125,0.8835491570209522,0.944316888842718,0.06076773182176587,True,785,6,0.0135690906678847,0.8091778712993207,64
151,0.8833023717854103,0.9456328441740147,0.06233047238860445,True,771,6,0.01533277138359802,2.1127815805373302,65
182,0.883272607236521,0.969214773198573,0.08594216596205195,True,750,7,0.019258576378259146,4.529080535824412,236
136,0.8832566748637698,0.9456157167231393,0.06235904185936947,True,793,6,0.014755437574699107,1.810856968587403,66
178,0.8832495202790362,0.9420696235664876,0.05882010328745135,True,750,6,0.015692793889477273,3.8006771503746126,249
158,0.8832487673095917,0.9424530361410474,0.059204268831455686,True,818,6,0.015168990479528225,5.67141961794854,241
164,0.8832248264273593,0.9508292599052279,0.0676044334778686,True,861,6,0.016939514607814798,5.398556295445155,247
95,0.8831885808373242,0.9304863941419381,0.04729781330461391,True,726,5,0.01728840183593305,1.716417420812845,63
127,0.8831805945229299,0.937504353298783,0.05432375877585316,True,758,6,0.012680270299232485,1.1625095566312544,75
167,0.8831124472947807,0.9566999761137733,0.07358752881899266,True,949,6,0.016311801682384535,3.4180354040651943,232
175,0.8830861902209097,0.943227590992762,0.06014140077185226,True,748,6,0.01576768705673633,3.2786496456649585,238
118,0.8830855457219406,0.9611197855301375,0.0780342398081969,True,958,7,0.010417252925472067,1.0043915736887439,55
152,0.8829854641849583,0.9445301785491296,0.061544714364171305,True,771,6,0.014977716814961491,2.156498134235507,77
116,0.8829756311045474,0.9521697457994893,0.06919411469494197,True,891,6,0.014277867917260052,1.2761626230523155,57
43,0.8829697843756799,0.9210065793225664,0.0380367949468865,True,669,4,0.020884431290402714,0.13776029884352997,69
156,0.882959309748103,0.9419637779502613,0.05900446820215832,True,820,6,0.013711385154496117,2.756163520997861,62
179,0.882934439369117,0.9727775551149911,0.08984311574587411,True,750,7,0.01952950119856219,2.9847807763078564,243
58,0.8828669623999319,0.9274520371063304,0.0445850747063985,True,719,5,0.01654126288997502,2.107454058151339,59
197,0.882854709115707,0.9421752156491946,0.05932050653348764,True,966,6,0.012939992620137,6.061692973476515,246
75,0.8828429593205935,0.9393537138097813,0.05651075448918774,True,684,5,0.023567565391859883,4.2335179421373725,79
139,0.8828405041861658,0.9470677157282992,0.0642272115421334,True,795,6,0.014519587524115606,1.1399303983362314,80
129,0.8828372387989887,0.9374779238890574,0.0546406850900687,True,782,6,0.012270467197429271,1.0923875203182276,76
159,0.8828048689790752,0.9435412803961357,0.06073641141706054,True,816,6,0.014922825581994191,4.184747364697133,232
195,0.8828046442952004,0.964120841345256,0.08131619705005555,True,779,7,0.015374531184973466,2.758016755728108,237
111,0.8827668479206017,0.968189883110375,0.08542303518977334,True,845,6,0.02026357159113089,0.906174662580523,75
174,0.8827495529575158,0.9539588905931773,0.07120933763566151,True,951,6,0.016156553887765112,4.878461924830593,254
5,0.8827464832358617,0.9222573898248246,0.039510906588962946,True,807,4,0.018785426399210624,0.59874749104614,42
147,0.8827445170682363,0.9371489020125349,0.054404384944298556,True,732,6,0.013320432435557784,1.5267153256710744,62
188,0.8827382021136913,0.9675866834272983,0.084848481313607,True,766,7,0.016705592749162876,2.6722611445437203,243
165,0.8827206173354328,0.9499358793524306,0.06721526201699779,True,861,6,0.017716882291473345,8.174178712824373,253
57,0.8827070081614569,0.9363821979019746,0.05367518974051777,True,720,5,0.017621391967168193,0.2276071079871902,77
189,0.8827057656646389,0.9527758142797623,0.07007004861512345,True,722,6,0.01983214707931127,3.3424146727679305,204
112,0.8826655053616932,0.9615978523498148,0.07893234698812157,True,875,6,0.016626785772454935,0.6929121957010463,65
198,0.8826534902938473,0.9393543320316576,0.056700841737810315,True,963,6,0.012837597305348015,8.364669456236589,245
98,0.8826497717638728,0.9370823066353626,0.0544325348714898,True,836,5,0.016099286593431,0.518934594694488,60
172,0.8826349572397089,0.9328611116445625,0.05022615440485367,True,799,6,0.013165331872266183,7.618506684386033,233
184,0.8826339623839067,0.9670933548792879,0.08445939249538126,True,737,7,0.016859236770844818,2.2945643688429427,243
153,0.8826214057520042,0.9451417582878048,0.06252035253580057,True,772,6,0.015205686436291404,2.1121117725565135,70
160,0.8826181572607572,0.9369988774405916,0.05438072017983442,True,764,6,0.014716047193370338,6.335121999220038,239
