conflict_group_id,group_size,target_values,membership_row_ids,action,reason_code,reason_detail
1,2,N|Y,709|710,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
2,2,N|Y,1362|1363,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
3,2,N|Y,3218|3219,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
4,2,N|Y,3414|3415,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
5,2,N|Y,4101|4102,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
6,2,N|Y,4474|4475,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
7,2,N|Y,4729|4730,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
8,2,N|Y,5863|5864,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
9,2,N|Y,6068|6069,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
10,2,N|Y,6073|6074,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
11,2,N|Y,6389|6390,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
12,2,N|Y,6872|6873,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
13,2,N|Y,6972|6973,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
14,2,N|Y,6981|6982,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
15,2,N|Y,7131|7132,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
16,2,N|Y,7206|7207,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
17,2,N|Y,9181|9182,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
18,2,N|Y,9199|9200,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
19,2,N|Y,9516|9517,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
20,2,N|Y,9629|9630,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
21,2,N|Y,10231|10232,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
22,2,N|Y,12298|12299,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
23,2,N|Y,12549|12550,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
24,2,N|Y,12831|12832,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
25,2,N|Y,12902|12903,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
26,2,N|Y,13730|13731,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
27,3,N|Y,13733|13734|13735,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
28,2,N|Y,13774|13775,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
29,2,N|Y,13834|13835,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
30,2,N|Y,13907|13908,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
31,3,N|Y,14050|14051|14052,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
32,3,N|Y,14468|14469|14470,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
33,2,N|Y,14933|14934,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
34,2,N|Y,15037|15038,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
35,2,N|Y,15909|15910,exclude_all_rows_in_group,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.
