membership_row_id,source_row_number,USER_KEY,is_repurchase,reason_code,reason_detail,source_rule_name
49,50,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=48.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
649,650,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,N,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=648.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
709,710,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,N,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.,R_LABEL_01_EXCLUDE_STRICT_TARGET_CONFLICT
710,711,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,Y,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.,R_LABEL_01_EXCLUDE_STRICT_TARGET_CONFLICT
769,770,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=768.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1110,1111,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1109.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1338,1339,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1337.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1362,1363,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,Y,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.,R_LABEL_01_EXCLUDE_STRICT_TARGET_CONFLICT
1363,1364,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,N,STRICT_TARGET_CONFLICT,All non-target Membership fields are identical but is_repurchase differs.,R_LABEL_01_EXCLUDE_STRICT_TARGET_CONFLICT
1719,1720,51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1718.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1749,1750,8e7c2a309dab310d431faf504e9fe0de8cda99bac1293e5ef39931f7c06fdb7538d8f079ea8ff88d9bcfb64b039baf17ed7729e3743979e9065718ecbf0c8b89,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1748.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1907,1908,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1906.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
1972,1973,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=1971.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
2029,2030,63370177497798e110c86c207966d8348c67f2120eda7ba945226ff26336244fab642d3e92d9c87a3d195cabfca2910beefee7a4af4f4c681e44341d05e1ccd8,Y,EXACT_DUPLICATE_EXTRA_ROW,Duplicate resolved by keeping representative membership_row_id=2028.,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
