variable,candidate_formula_id,candidate_formula_description,source_files_used,source_columns_used,join_key,date_basis,observation_window,denominator,zero_denominator_policy,missing_policy,compared_rows,matched_rows,mismatched_rows,match_rate,max_abs_diff,mean_abs_diff,sample_mismatch_1,sample_mismatch_2,sample_mismatch_3,sample_matches,sample_mismatches,selected_candidate,selected_as_best_candidate,confidence_level,null_match_handling,reason,note
USER_KEY,membership_raw_copy_USER_KEY,Membership_v2.csv USER_KEY copied as master USER_KEY,Membership_v2.csv,USER_KEY,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,,,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1... | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459... | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793...",,False,False,,both_nan_match,,Raw source comparison; row order is not used.
product_code,membership_raw_copy_product_code,Membership_v2.csv `product_code` copied by USER_KEY,Membership_v2.csv,product_code,USER_KEY,,,,,both NaN treated as match,23343,23189,154,0.9934027331534079,,,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=pk_1487, candidate=pk_1488","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=pk_1487, candidate=pk_1488","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=pk_1488, candidate=pk_1487","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=pk_1489 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=pk_1487 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=pk_1488","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=pk_1487, candidate=pk_1488 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=pk_1487, candidate=pk_1488 | USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=pk_1488, candidate=pk_1487",False,False,,both_nan_match,,Raw source comparison; row order is not used.
price,membership_raw_copy_price,Membership_v2.csv `price` copied by USER_KEY,Membership_v2.csv,price,USER_KEY,,,,,both NaN treated as match,23343,23191,152,0.9934884119436234,13800.0,26.766839737822906,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=7900.0, candidate=10900.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=7900.0, candidate=10900.0","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=10900.0, candidate=7900.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=100.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=100.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=100.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=7900.0, candidate=10900.0 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=7900.0, candidate=10900.0 | USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=10900.0, candidate=7900.0",False,False,,both_nan_match,,Raw source comparison; row order is not used.
billing_method,membership_raw_copy_billing_method,Membership_v2.csv `billing_method` copied by USER_KEY,Membership_v2.csv,billing_method,USER_KEY,,,,,both NaN treated as match,23343,23308,35,0.9985006211712291,59.0,0.02660326436190721,"USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=180, candidate=134","USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=131, candidate=151","USER_KEY=36a5a3f8e2f03c2176a45db79c9701f78e34d5f0c27abfd91c10d0c52..., master=132, candidate=180","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=134 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=190 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=180","USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=180, candidate=134 | USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=131, candidate=151 | USER_KEY=36a5a3f8e2f03c2176a45db79c9701f78e34d5f0c27abfd91c10d0c52..., master=132, candidate=180",False,False,,both_nan_match,,Raw source comparison; row order is not used.
max_screen,membership_raw_copy_max_screen,Membership_v2.csv `max_screen` copied by USER_KEY,Membership_v2.csv,max_screen,USER_KEY,,,,,both NaN treated as match,23343,23209,134,0.9942595210555627,3.0,0.0068114638221308315,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=2.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=2.0","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=2.0, candidate=1.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=4.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=2.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=2.0 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=2.0 | USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=2.0, candidate=1.0",False,False,,both_nan_match,,Raw source comparison; row order is not used.
is_promotion,membership_raw_copy_is_promotion,Membership_v2.csv `is_promotion` copied by USER_KEY,Membership_v2.csv,is_promotion,USER_KEY,,,,,both NaN treated as match,23343,23302,41,0.9982435848005826,1.0,0.0017564151994173842,"USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=0, candidate=1","USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=0, candidate=1","USER_KEY=07e21f3a885e79ef644b536bbc1394a08874766e979f79465800aa6bf..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=1","USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=0, candidate=1 | USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=0, candidate=1 | USER_KEY=07e21f3a885e79ef644b536bbc1394a08874766e979f79465800aa6bf..., master=1, candidate=0",False,False,,both_nan_match,,Raw source comparison; row order is not used.
is_churn_prevented,membership_raw_copy_is_churn_prevented,Membership_v2.csv `is_churn_prevented` copied by USER_KEY,Membership_v2.csv,is_churn_prevented,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0",,False,False,,both_nan_match,,Raw source comparison; row order is not used.
payment_device,membership_raw_copy_payment_device,Membership_v2.csv `payment_device` copied by USER_KEY,Membership_v2.csv,payment_device,USER_KEY,,,,,both NaN treated as match,23343,23294,49,0.9979008696397207,,,"USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=smarttv, candidate=mobile","USER_KEY=b7c2e0ba1b2f17769d882e460abd5371155e1ff30e4064fe248b7e8bf..., master=ott, candidate=android","USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=mobile, candidate=android","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=pc | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=pc | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=android","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=smarttv, candidate=mobile | USER_KEY=b7c2e0ba1b2f17769d882e460abd5371155e1ff30e4064fe248b7e8bf..., master=ott, candidate=android | USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=mobile, candidate=android",False,False,,both_nan_match,,Raw source comparison; row order is not used.
is_user_verified,membership_raw_copy_is_user_verified,Membership_v2.csv `is_user_verified` copied by USER_KEY,Membership_v2.csv,is_user_verified,USER_KEY,,,,,both NaN treated as match,23343,23342,1,0.9999571606048923,1.0,4.283939510774108e-05,"USER_KEY=bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef3..., master=1, candidate=0",,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=1","USER_KEY=bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef3..., master=1, candidate=0",False,False,,both_nan_match,,Raw source comparison; row order is not used.
gender,membership_raw_copy_gender,Membership_v2.csv `gender` copied by USER_KEY,Membership_v2.csv,gender,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,,,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=F | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=F | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=F",,False,False,,both_nan_match,,Raw source comparison; row order is not used.
