membership_row_id,w1_1_genre_covered_watch_time,w1_1_genre_unique_count,w1_1_genre_entropy,w1_1_top_genre,w1_1_top_genre_watch_time,w1_1_content_has_watch_obs,w1_1_genre_missing_watch_time,w1_1_genre_covered_watch_ratio,w1_1_genre_missing_watch_ratio,w1_1_top_genre_watch_ratio,w1_1_release_month_covered_watch_ratio,w1_1_avg_ott_release_month_weighted,w1_1_recent_content_watch_ratio,w1_1_old_content_watch_ratio,w1_1_genre_ratio_drama,w1_1_genre_watch_time_drama,w1_1_genre_session_count_drama,w1_1_genre_ratio_thriller_crime,w1_1_genre_watch_time_thriller_crime,w1_1_genre_session_count_thriller_crime,w1_1_genre_ratio_horror,w1_1_genre_watch_time_horror,w1_1_genre_session_count_horror,w1_1_genre_ratio_comedy,w1_1_genre_watch_time_comedy,w1_1_genre_session_count_comedy,w1_1_genre_ratio_action_adventure,w1_1_genre_watch_time_action_adventure,w1_1_genre_session_count_action_adventure,w1_1_genre_ratio_sf_fantasy,w1_1_genre_watch_time_sf_fantasy,w1_1_genre_session_count_sf_fantasy,w1_1_genre_ratio_romance,w1_1_genre_watch_time_romance,w1_1_genre_session_count_romance,w1_1_genre_ratio_documentary,w1_1_genre_watch_time_documentary,w1_1_genre_session_count_documentary,w1_1_genre_ratio_animation_family,w1_1_genre_watch_time_animation_family,w1_1_genre_session_count_animation_family,w1_1_genre_ratio_historical_war,w1_1_genre_watch_time_historical_war,w1_1_genre_session_count_historical_war,w1_1_genre_ratio_other,w1_1_genre_watch_time_other,w1_1_genre_session_count_other
1,191.0,2,0.6900602057338829,Action/Adventure,103.0,1,0.0,1.0,0.0,0.5392670157068062,1.0,201801.45026178012,0.0,0.0,0.0,0.0,0,0.4607329842931937,88.0,1,0.0,0.0,0,0.0,0.0,0,0.5392670157068062,103.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2,3.0,1,-0.0,Action/Adventure,3.0,1,0.0,1.0,0.0,1.0,1.0,201969.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,3.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
3,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
6,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
7,99.0,1,-0.0,Thriller/Crime,99.0,1,0.0,1.0,0.0,1.0,1.0,201806.0,0.0,0.0,0.0,0.0,0,1.0,99.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
8,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
9,26.0,3,0.7331710501169375,Horror,18.0,1,0.0,1.0,0.0,0.6923076923076923,1.0,201359.92307692306,0.0,0.9615384615384616,0.0,0.0,0,0.0,0.0,0,0.6923076923076923,18.0,1,0.0,0.0,0,0.2692307692307692,7.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.038461538461538464,1.0,1,0.0,0.0,0
10,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
11,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
12,22.0,3,0.7088329479943613,Drama,16.0,1,0.0,1.0,0.0,0.7272727272727273,1.0,201778.27272727274,0.045454545454545456,0.0,0.7272727272727273,16.0,1,0.0,0.0,0,0.045454545454545456,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.22727272727272727,5.0,1,0.0,0.0,0
13,392.0,1,-0.0,SF/Fantasy,392.0,1,0.0,1.0,0.0,1.0,1.0,202064.84948979592,0.9056122448979592,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,392.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
14,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
15,333.0,3,1.0161625444115256,Horror,176.0,1,0.0,1.0,0.0,0.5285285285285285,1.0,201651.987987988,0.0,0.2672672672672673,0.2132132132132132,71.0,1,0.0,0.0,0,0.5285285285285285,176.0,3,0.0,0.0,0,0.25825825825825827,86.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
16,1.0,1,-0.0,Historical/War,1.0,1,0.0,1.0,0.0,1.0,1.0,201308.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,1.0,1,0.0,0.0,0
17,50.0,1,-0.0,Comedy,50.0,1,0.0,1.0,0.0,1.0,1.0,201507.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,50.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
18,0.0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
19,119.0,2,0.424889343169528,Thriller/Crime,101.0,1,0.0,1.0,0.0,0.8487394957983193,1.0,201645.05042016806,0.0,0.15126050420168066,0.0,0.0,0,0.8487394957983193,101.0,2,0.0,0.0,0,0.0,0.0,0,0.15126050420168066,18.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
