original_feature,feature_family,top_decile_mean_shap,low_decile_mean_shap,top_minus_low_mean_shap,top_decile_abs_mean_shap,interpretation
w1_3_week3_watch_time,weekly_usage_pattern,-1.0116280310738461,0.97245588311147,-1.9840839141853162,1.018552548728624,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,-0.18897361489958725,0.08099575207485872,-0.26996936697444596,0.33957107475675835,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_week2_watch_time,weekly_usage_pattern,-0.30332411883527255,0.2853184914614004,-0.588642610296673,0.3183325735743818,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_drama,genre_ratio_proxy,-0.21857901565397372,0.1469370861440107,-0.36551610179798444,0.3096038637398555,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_avg_watch_time_per_session,simple_usage_volume,-0.17096399204441773,0.06921495994808204,-0.24017895199249978,0.21028345474776497,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_animation_family,genre_ratio_proxy,-0.1529206436998393,0.2003172618259978,-0.3532379055258371,0.203547714984158,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_unique_contents,simple_usage_volume,-0.1991705976669465,-0.006414212135579856,-0.19275638553136665,0.19955286639961428,negative_top_decile_mean_pushes_toward_churn_risk
is_promotion_bin,membership_context,-0.06211756222309492,0.15755660288030668,-0.2196741651034016,0.19538865791536594,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_action_adventure,genre_ratio_proxy,-0.07274129212270068,0.07969769696417439,-0.1524389890868751,0.18824569419475515,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_romance,genre_ratio_proxy,-0.12977994663586798,0.09267534963793288,-0.22245529627380084,0.17975243258861318,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_week1_watch_time,weekly_usage_pattern,0.0014176333922166545,0.2006385856716512,-0.19922095227943454,0.16932293978142277,positive_top_decile_mean_pushes_toward_repurchase
max_screen_num,membership_context,-0.007027424888702396,0.039244166524792616,-0.04627159141349501,0.09728924674679497,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_horror,genre_ratio_proxy,-0.029826109007693665,0.025667951293362017,-0.05549406030105568,0.08093841912812198,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_unique_watch_days,simple_usage_volume,-0.047852225408513034,0.025249883673581275,-0.0731021090820943,0.05746616282988281,negative_top_decile_mean_pushes_toward_churn_risk
age_num,membership_context,-0.01505271122859832,0.02279527502408201,-0.037847986252680335,0.05232074172980114,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_recent_content_watch_ratio,release_month_proxy,-0.0024597622243386365,0.006018050394360343,-0.008477812618698979,0.04855824799642907,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_week3_sessions,weekly_usage_pattern,-0.04268550039010219,0.1545814989855943,-0.1972669993756965,0.04636704370353605,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_entropy,genre_ratio_proxy,-0.03316757404047974,0.03269182038122532,-0.06585939442170506,0.03820475581428147,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_other,genre_ratio_proxy,-0.023788696913770647,0.017536123278304137,-0.041324820192074785,0.036041014882926846,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,-0.018872640893487298,0.01620835094430976,-0.03508099183779706,0.030634943649940932,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_historical_war,genre_ratio_proxy,-0.015767321189708507,0.0022876323527729297,-0.018054953542481437,0.02658806389916632,negative_top_decile_mean_pushes_toward_churn_risk
price_num,membership_context,-0.008918714681682413,0.009987691348226751,-0.018906406029909166,0.02424239575652046,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_comedy,genre_ratio_proxy,-0.015942978636861328,0.02022770301848063,-0.03617068165534196,0.023606035551708784,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_week1_sessions,weekly_usage_pattern,-0.001319621787841167,0.00642853745621361,-0.007748159244054777,0.01786964657308534,negative_top_decile_mean_pushes_toward_churn_risk
is_user_verified_bin,membership_context,-0.006731094326115137,0.0033966010275905166,-0.010127695353705654,0.01473518723604791,negative_top_decile_mean_pushes_toward_churn_risk
billing_method_clean,membership_context,-7.409045275736687e-05,0.003132091942121809,-0.003206182394879176,0.012327435118097028,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_genre_ratio_documentary,genre_ratio_proxy,-0.005915650744365667,0.0053319455202709524,-0.01124759626463662,0.006904981917680411,negative_top_decile_mean_pushes_toward_churn_risk
w1_3_week2_sessions,weekly_usage_pattern,0.0001560602751680326,0.0030019996760745605,-0.002845939400906528,0.005343371008287907,positive_top_decile_mean_pushes_toward_repurchase
