original_feature,feature_family,stage07c_mean_abs_shap,stage07c_rank,historical_importance,historical_rank,comparison_source,status,rank_shift_stage07c_minus_historical,note
w1_3_week3_watch_time,weekly_usage_pattern,0.8313802874843351,1,0.6197008105835925,1.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_drama,genre_ratio_proxy,0.31975422978755313,2,0.1136789472675908,8.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-6.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week1_watch_time,weekly_usage_pattern,0.3002140414236166,3,0.0157627700382605,38.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-35.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week2_watch_time,weekly_usage_pattern,0.28744723741443434,4,0.0442396255948881,28.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-24.0,Old SHAP is historical/provisional and must not be used as final evidence.
is_promotion_bin,membership_context,0.2699549164052647,5,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_animation_family,genre_ratio_proxy,0.2603052366140704,6,0.1270533185837299,7.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,0.21643027303903403,7,0.1649266467667552,6.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_romance,genre_ratio_proxy,0.215473502192298,8,0.0920390116800067,14.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-6.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.17089408911968418,9,0.109490557171211,10.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_avg_watch_time_per_session,simple_usage_volume,0.15787972924166252,10,0.082452738365414,18.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-8.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_unique_contents,simple_usage_volume,0.12858537705443493,11,0.0043108254555931,61.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-50.0,Old SHAP is historical/provisional and must not be used as final evidence.
max_screen_num,membership_context,0.12279001372777117,12,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
age_num,membership_context,0.06928682062077632,13,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_horror,genre_ratio_proxy,0.06218368578111756,14,0.0272724867946542,32.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-18.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week3_sessions,weekly_usage_pattern,0.058164614469764196,15,0.0752554623068768,20.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-5.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_other,genre_ratio_proxy,0.046331560453243624,16,0.0118295733397473,43.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-27.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_recent_content_watch_ratio,release_month_proxy,0.038996161817576466,17,0.0060937218915885,53.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-36.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.03770391014363998,18,0.0174709212744376,37.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-19.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_unique_watch_days,simple_usage_volume,0.03652808024417161,19,0.0042940900260431,62.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-43.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_entropy,genre_ratio_proxy,0.03412272889546732,20,0.008633633758064,48.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-28.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_comedy,genre_ratio_proxy,0.03097341908087505,21,0.002640948744161,65.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-44.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_historical_war,genre_ratio_proxy,0.027226168715975982,22,0.0030414259697851,64.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-42.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week1_sessions,weekly_usage_pattern,0.02120463212223834,23,0.0072694340720925,51.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-28.0,Old SHAP is historical/provisional and must not be used as final evidence.
price_num,membership_context,0.02062724950311401,24,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
billing_method_clean,membership_context,0.013888869258821717,25,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
is_user_verified_bin,membership_context,0.013293014504452283,26,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_documentary,genre_ratio_proxy,0.01119898220386328,27,,,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week2_sessions,weekly_usage_pattern,0.008261209904457239,28,0.0064420320232905,52.0,07r_historical_pre_02c_or_pre_06c2,historical_only_not_final_evidence,-24.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week3_watch_time,weekly_usage_pattern,0.8313802874843351,1,0.8073073665157038,1.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_drama,genre_ratio_proxy,0.31975422978755313,2,0.2647290032986301,3.0,06h_historical_provisional,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week1_watch_time,weekly_usage_pattern,0.3002140414236166,3,0.2782355902827915,2.0,06h_historical_provisional,historical_only_not_final_evidence,1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week2_watch_time,weekly_usage_pattern,0.28744723741443434,4,0.2620962483150026,4.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
is_promotion_bin,membership_context,0.2699549164052647,5,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
