check_name,status,expected,actual,severity,note
input_promo0_exists,PASS,exists,True,critical,
input_promo1_exists,PASS,exists,True,critical,
input_promo0_readable,PASS,PASS,PASS,critical,
input_promo1_readable,PASS,PASS,PASS,critical,
promo0_row_count_checked,PASS,11193,11193,warning,
promo1_row_count_checked,PASS,11904,11904,warning,
raw_retention_w2_removed,PASS,False for both,"False, False",critical,
raw_retention_w3_removed,PASS,False for both,"False, False",critical,
log_retention_w2_exists,PASS,True for both,"True, True",critical,
log_retention_w3_exists,PASS,True for both,"True, True",critical,
input_created_promo0,PASS,exists,True,critical,
input_created_promo1,PASS,exists,True,critical,
target_excluded_from_features_in_notebook,PASS,excluded in generated notebooks,EXCLUDE_COLS,critical,
user_key_excluded_from_features_in_notebook,PASS,excluded in generated notebooks,EXCLUDE_COLS,critical,
is_promotion_excluded_if_present,PASS,excluded in generated notebooks,EXCLUDE_COLS,critical,
payment_columns_excluded_if_present,PASS,excluded in generated notebooks,EXCLUDE_COLS,critical,
notebook_gb_promo0_created,PASS,exists,True,critical,
notebook_gb_promo0_static_checked,PASS,PASS,PASS,critical,
notebook_gb_promo0_has_n_trials_100,PASS,100,100,critical,
notebook_gb_promo0_has_correct_data_path,PASS,PUBLIC/data/06_model_input_promo_0.csv,True,critical,
notebook_gb_promo0_has_correct_out_dir,PASS,PUBLIC/results/_06_model_rerun_260520/gb_promo0,True,critical,
notebook_gb_promo1_created,PASS,exists,True,critical,
notebook_gb_promo1_static_checked,PASS,PASS,PASS,critical,
notebook_gb_promo1_has_n_trials_100,PASS,100,100,critical,
notebook_gb_promo1_has_correct_data_path,PASS,PUBLIC/data/06_model_input_promo_1.csv,True,critical,
notebook_gb_promo1_has_correct_out_dir,PASS,PUBLIC/results/_06_model_rerun_260520/gb_promo1,True,critical,
notebook_lr_promo0_created,PASS,exists,True,critical,
notebook_lr_promo0_static_checked,PASS,PASS,PASS,critical,
notebook_lr_promo0_has_n_trials_100,PASS,100,100,critical,
notebook_lr_promo0_has_correct_data_path,PASS,PUBLIC/data/06_model_input_promo_0.csv,True,critical,
notebook_lr_promo0_has_correct_out_dir,PASS,PUBLIC/results/_06_model_rerun_260520/lr_promo0,True,critical,
notebook_lr_promo1_created,PASS,exists,True,critical,
notebook_lr_promo1_static_checked,PASS,PASS,PASS,critical,
notebook_lr_promo1_has_n_trials_100,PASS,100,100,critical,
notebook_lr_promo1_has_correct_data_path,PASS,PUBLIC/data/06_model_input_promo_1.csv,True,critical,
notebook_lr_promo1_has_correct_out_dir,PASS,PUBLIC/results/_06_model_rerun_260520/lr_promo1,True,critical,
no_model_execution_performed,PASS,no execution,notebooks generated only,critical,
no_final_result_generated_by_goal,PASS,no final_result.csv or trials_all.csv,,critical,
no_trials_all_generated_by_goal,PASS,no final_result.csv or trials_all.csv,,critical,
no_oof_score_table_generated,PASS,not generated,not generated,critical,
no_shap_generated,PASS,not generated,not generated,critical,
no_segmentation_generated,PASS,not generated,not generated,critical,
no_html_modified,PASS,not modified,not modified by script,critical,
no_existing_results_deleted,PASS,not deleted,no delete operations used,critical,
input_inventory_created,PASS,exists,True,critical,
input_profile_created,PASS,exists,True,critical,
feature_manifest_created,PASS,exists,True,critical,
static_checks_created,PASS,exists,True,critical,
manual_execution_guide_created,PASS,exists,True,critical,
prep_memo_created,PASS,exists,True,critical,
note_md_updated,PASS,note contains run name,True,critical,
review_zip_created,PASS,exists,True,critical,
review_zip_inventory_created,PASS,exists,True,critical,
outputs_within_PUBLIC_only,PASS,PUBLIC only,all generated paths under PUBLIC,critical,
review_zip_inventory_included_in_zip,PASS,inventory included,True,critical,
