dataset_name,column_name,dtype,missing_count,missing_rate,role,used_as_feature,exclude_reason,notes
promo_0,retention_w2_ratio,,,,absent_removed,False,raw retention removed from current model input,required absence confirmed
promo_0,retention_w3_ratio,,,,absent_removed,False,raw retention removed from current model input,required absence confirmed
promo_0,USER_KEY,object,0,0.0,identifier,False,identifier/group key,USER_KEY duplicate caveat applies
promo_0,is_repurchase,int64,0,0.0,target,False,target column,
promo_0,is_promotion,int64,0,0.0,split_key,False,split key,promo-specific dataset; exclude if present
promo_0,is_churn_prevented,int64,0,0.0,feature,True,,
promo_0,is_user_verified,int64,0,0.0,feature,True,,
promo_0,is_standard,int64,0,0.0,feature,True,,
promo_0,is_premium,int64,0,0.0,feature,True,,
promo_0,age_group,int64,0,0.0,feature,True,,
promo_0,is_female,int64,0,0.0,feature,True,,
promo_0,is_male,int64,0,0.0,feature,True,,
promo_0,reg_is_weekend,int64,0,0.0,feature,True,,
promo_0,reg_hour_morning,int64,0,0.0,feature,True,,
promo_0,reg_hour_afternoon,int64,0,0.0,feature,True,,
promo_0,reg_hour_evening,int64,0,0.0,feature,True,,
promo_0,reg_hour_night,int64,0,0.0,feature,True,,
promo_0,payment_is_mobile,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_0,payment_is_pc,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_0,payment_is_android,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_0,payment_is_ios,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_0,total_watch_count,int64,0,0.0,feature,True,,
promo_0,unique_movie,int64,0,0.0,feature,True,,
promo_0,watch_days,int64,0,0.0,feature,True,,
promo_0,active_ratio,float64,0,0.0,feature,True,,
promo_0,total_watch_time_min,int64,0,0.0,feature,True,,
promo_0,watch_per_day,float64,0,0.0,feature,True,,
promo_0,avg_watch_time_min,float64,0,0.0,feature,True,,
promo_0,median_watch_time_min,float64,0,0.0,feature,True,,
promo_0,std_watch_time_min,float64,0,0.0,feature,True,,
promo_0,avg_daily_watch_time_min,float64,0,0.0,feature,True,,
promo_0,max_watch_time_min,int64,0,0.0,feature,True,,
promo_0,max_daily_watch_time_min,int64,0,0.0,feature,True,,
promo_0,max_daily_sessions,int64,0,0.0,feature,True,,
promo_0,recency,int64,0,0.0,feature,True,,
promo_0,avg_gap_between_watch_days,float64,0,0.0,feature,True,,
promo_0,avg_gap_w1_watch_days,float64,0,0.0,feature,True,,
promo_0,avg_gap_w2_watch_days,float64,0,0.0,feature,True,,
promo_0,avg_gap_w3_watch_days,float64,0,0.0,feature,True,,
promo_0,max_inactive_gap_days,int64,0,0.0,feature,True,,
promo_0,avg_rewatch_ratio,float64,0,0.0,feature,True,,
promo_0,weekend_watch_ratio,float64,0,0.0,feature,True,,
promo_0,watch_ratio_under_1m,float64,0,0.0,feature,True,,
promo_0,watch_ratio_under_5m,float64,0,0.0,feature,True,,
promo_0,movie_per_active_day,float64,0,0.0,feature,True,,
promo_0,max_day_share,float64,0,0.0,feature,True,,
promo_0,day_count_over_3times,int64,0,0.0,feature,True,,
promo_0,watch_time_min_w1,int64,0,0.0,feature,True,,
promo_0,watch_time_min_w2,int64,0,0.0,feature,True,,
promo_0,watch_time_min_w3,int64,0,0.0,feature,True,,
promo_0,watch_session_w1,int64,0,0.0,feature,True,,
promo_0,watch_session_w2,int64,0,0.0,feature,True,,
promo_0,watch_session_w3,int64,0,0.0,feature,True,,
promo_0,diff_between_w2_w1,int64,0,0.0,feature,True,,
promo_0,diff_between_w3_w1,int64,0,0.0,feature,True,,
promo_0,diff_between_w3_w2,int64,0,0.0,feature,True,,
promo_0,is_w1_over_50pct,int64,0,0.0,feature,True,,
promo_0,is_w2_over_50pct,int64,0,0.0,feature,True,,
promo_0,is_w3_over_50pct,int64,0,0.0,feature,True,,
promo_0,is_only_w1,int64,0,0.0,feature,True,,
promo_0,is_only_w2,int64,0,0.0,feature,True,,
promo_0,is_only_w3,int64,0,0.0,feature,True,,
promo_0,new_movie_in_90d_ratio,float64,0,0.0,feature,True,,
promo_0,new_movie_in_180d_ratio,float64,0,0.0,feature,True,,
promo_0,new_movie_in_365d_ratio,float64,0,0.0,feature,True,,
promo_0,old_movie_ratio_5y,float64,0,0.0,feature,True,,
promo_0,avg_ott_release_year,float64,0,0.0,feature,True,,
promo_0,genre_diversity_count,int64,0,0.0,feature,True,,
promo_0,action_adventure_ratio,float64,0,0.0,feature,True,,
promo_0,family_animation_ratio,float64,0,0.0,feature,True,,
promo_0,drama_ratio,float64,0,0.0,feature,True,,
promo_0,thriller_crime_ratio,float64,0,0.0,feature,True,,
promo_0,sf_fantasy_ratio,float64,0,0.0,feature,True,,
promo_0,comedy_ratio,float64,0,0.0,feature,True,,
promo_0,romance_ratio,float64,0,0.0,feature,True,,
promo_0,horror_ratio,float64,0,0.0,feature,True,,
promo_0,documentary_ratio,float64,0,0.0,feature,True,,
promo_0,historical_war_ratio,float64,0,0.0,feature,True,,
promo_0,other_ratio,float64,0,0.0,feature,True,,
promo_0,is_basic,int64,0,0.0,feature,True,,
promo_0,is_cold_start_3d_fixed,int64,0,0.0,feature,True,,
promo_0,is_cold_start_7d_fixed,int64,0,0.0,feature,True,,
promo_0,log_retention_w2_ratio,float64,0,0.0,log_retention_feature,True,,current feature
promo_0,log_retention_w3_ratio,float64,0,0.0,log_retention_feature,True,,current feature
promo_1,retention_w2_ratio,,,,absent_removed,False,raw retention removed from current model input,required absence confirmed
promo_1,retention_w3_ratio,,,,absent_removed,False,raw retention removed from current model input,required absence confirmed
promo_1,USER_KEY,object,0,0.0,identifier,False,identifier/group key,USER_KEY duplicate caveat applies
promo_1,is_repurchase,int64,0,0.0,target,False,target column,
promo_1,is_promotion,int64,0,0.0,split_key,False,split key,promo-specific dataset; exclude if present
promo_1,is_churn_prevented,int64,0,0.0,feature,True,,
promo_1,is_user_verified,int64,0,0.0,feature,True,,
promo_1,is_standard,int64,0,0.0,feature,True,,
promo_1,is_premium,int64,0,0.0,feature,True,,
promo_1,age_group,int64,0,0.0,feature,True,,
promo_1,is_female,int64,0,0.0,feature,True,,
promo_1,is_male,int64,0,0.0,feature,True,,
promo_1,reg_is_weekend,int64,0,0.0,feature,True,,
