dataset,column,count,missing,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew,zero_count,negative_count,positive_count
overall,retention_w2_ratio,23097,0,29.378597322129803,91.05214981507787,0.0006807351940095,0.002610694081810216,0.0058823529411764,0.2181818181818181,1.0,3.684523809523809,184.0,415.0,2958.0,7.189595710860013,0,0,23097
overall,retention_w3_ratio,23097,0,31.47563692342506,96.15091085585482,0.0008888888888888,0.0025316455696202,0.0056497175141242,0.25,1.0,4.252427184466019,200.0,420.0400000000009,2692.0,8.448797008190532,0,0,23097
overall,log_retention_w2_ratio,23097,0,-0.05066834208493174,2.9980346402085223,-7.2923371761739215,-5.9481392917169496,-5.135798437050274,-1.522426535444471,0.0,1.304141293281337,5.214935757608986,6.028278520230698,7.992268643270745,0.04680932524187253,3845,9885,9367
overall,log_retention_w3_ratio,23097,0,0.03726824635218266,3.031543696983687,-7.02553831463862,-5.978885764901143,-5.176149732573846,-1.3862943611198906,0.0,1.4474899221468105,5.298317366548036,6.040349836173615,7.898039690764619,0.02731500484736473,3813,9681,9603
promo_0,retention_w2_ratio,11193,0,29.49808121249594,89.67323085247841,0.0006807351940095,0.0025252525252525,0.0057142857142857,0.2048458149779735,1.0,3.728155339805826,187.0,405.0799999999999,2025.0,6.574930718108975,0,0,11193
promo_0,retention_w3_ratio,11193,0,31.375542124756777,101.61259024497008,0.000893655049151,0.002444510704275724,0.00542303172737952,0.2347826086956521,1.0,4.147058823529412,193.0,424.0,2692.0,9.775069146709454,0,0,11193
promo_0,log_retention_w2_ratio,11193,0,-0.052749978203207135,3.016371219010208,-7.2923371761739215,-5.98141421125449,-5.164785973923516,-1.5854977048880925,0.0,1.3159135643580913,5.231108616854587,6.004084354506154,7.613324979540639,0.04372763072833752,1822,4813,4558
promo_0,log_retention_w3_ratio,11193,0,0.006105672690947765,3.0414814376145753,-7.020190708311956,-6.0139105163352555,-5.217103784596728,-1.4490952623589213,0.0,1.4223993657620069,5.262690188904886,6.049733455231958,7.898039690764619,0.02381930582143264,1860,4690,4643
promo_1,retention_w2_ratio,11904,0,29.266249944368703,92.3335493497938,0.0009216589861751,0.002717836778332118,0.005993434817112744,0.22703070125750538,1.0,3.6258928571428575,181.0,420.0,2958.0,7.7158398086956606,0,0,11904
promo_1,retention_w3_ratio,11904,0,31.569753277717247,90.7201957724286,0.0008888888888888,0.0026595744680851,0.0058479532163742,0.27124803304484657,1.0,4.364832535885167,202.0,416.0,2500.0,6.6047701132014565,0,0,11904
promo_1,log_retention_w2_ratio,11904,0,-0.04871103755940613,2.9808158021996913,-6.989335265974576,-5.907919450025914,-5.117092908807726,-1.4826701888911678,0.0,1.288100472472273,5.198497031265826,6.040254711277414,7.992268643270745,0.049860315761004755,2023,5072,4809
promo_1,log_retention_w3_ratio,11904,0,0.06656954734262306,3.0220043547612514,-7.02553831463862,-5.929589143389897,-5.141663556502672,-1.3047218036479724,0.0,1.4735797107396795,5.308267697401205,6.030685260261263,7.824046010856292,0.031052630869247762,1953,4991,4960
