MOVIE_ID,TITLE,genre,country,showTM
4243,코마,"액션, SF",러시아,1시간 50분
1860,이퀼리브리엄,"액션, SF, 스릴러, 드라마",미국,1시간 47분
2170,소울,"판타지, 애니메이션, 가족, 드라마, 음악, 코미디",미국,1시간 41분
6031,당신이잠든사이에(1995),"SF, 드라마, 판타지, 로맨스, 스릴러, 코미디",대한민국,37분
12495,스피드(1994),"스릴러, 액션",미국,1시간 56분
10978,예수는역사다,드라마,미국,1시간 52분
7541,아티스트봉만대,코미디,대한민국,1시간 40분
40,그대이름은장미,코미디,대한민국,2시간 6분
13893,잭스나이더의저스티스리그,"액션, 판타지, SF, 다큐멘터리",미국,4시간 2분
559,배트맨대슈퍼맨:저스티스의시작,"액션, 판타지, SF",미국,2시간 32분
2198,어니스트씨프,"액션, 범죄, 드라마, 스릴러",미국,1시간 39분
8074,월스트리트:분노의복수(2013),"드라마, 스릴러, 액션, 범죄",캐나다,1시간 39분
14380,알라딘(2019),"액션, 판타지, 로맨스, 가족, 코미디, 드라마",미국,2시간 7분
9247,피노키오,"애니메이션, 판타지, 액션, 드라마, 가족",미국,1시간 57분
611,호라이즌라인,"액션, 스릴러","스페인, 영국, 아일랜드, 스웨덴",1시간 32분
2842,죽지않는인간들의밤,"SF, 스릴러, 코미디, 공포",대한민국,1시간 50분
6082,내부자들,"범죄, 드라마, 액션, 스릴러",대한민국,2시간 10분
10865,베테랑,"코미디, 액션, 범죄, 스릴러",대한민국,2시간 3분
966,더셰프,다큐멘터리,미국,25분
7340,몬스터헌터,"애니메이션, 액션, 판타지",일본,23분
10053,하이큐!!땅VS하늘,애니메이션,일본,48분
14250,미션파서블,"액션, 스릴러, 코미디, 범죄",대한민국,1시간 45분
3781,이탈리안레이스,"드라마, 액션, 스포츠, 유럽에서 제작",이탈리아,1시간 59분
4039,우리가족:라멘샵,드라마,"싱가포르, 프랑스, 일본",1시간 30분
14596,그린북,"드라마, 코미디, 음악",미국,2시간 10분
6708,톰과제리,"코미디, 스릴러, 가족, 애니메이션, 액션, 범죄",미국,49분
14134,씨피버,"스릴러, 공포, 드라마, SF, 유럽에서 제작","영국, 벨기에, 아일랜드, 스웨덴",1시간 35분
3134,스카이라인:라스트워,"액션, 스릴러, SF","스페인, 아랍에미리트, 영국, 미국, 리투아니아",1시간 53분
9552,봉마전,"액션, 판타지, 로맨스, 드라마",,1시간 30분
4133,생존:러스트크릭,"드라마, 액션, 스릴러, 범죄",미국,1시간 48분
6880,언더워터(2020),"공포, SF, 액션, 스릴러",미국,1시간 35분
4216,토미리스:전쟁의여신,"드라마, 전쟁, 액션, 판타지",Kazakhstan,2시간 36분
12484,아마겟돈2046,"액션, SF","영국, 미국",1시간 36분
6654,뱅가드,"액션, 코미디, 범죄, 스릴러","홍콩, 인도, 대한민국, 대만, 영국",1시간 47분
10232,라이어트:기계들의역습,"SF, 액션",미국,1시간 25분
10693,더이퀄라이저2,"액션, 스릴러, 범죄",미국,2시간 1분
13093,그린랜드,"SF, 액션, 스릴러","영국, 미국",2시간 0분
8283,더터널,"드라마, 스릴러, 액션, 범죄, 유럽에서 제작","영국, 프랑스",47분
7121,논스톱(2014),"드라마, 코미디, 로맨스",대한민국,21분
3767,회사원,"드라마, 액션, 범죄, 스릴러",대한민국,1시간 36분
6533,익스펜더블3,"코미디, 범죄, 스릴러, 액션","프랑스, 독일, 불가리아, 미국",2시간 6분
5168,비밀,"드라마, 로맨스",대한민국,1시간 3분
10828,퍼펙트케어,"스릴러, 코미디, 범죄, 드라마","영국, 미국",1시간 58분
1616,마스터(2016),"드라마, 유럽에서 제작",미국,2시간 18분
10600,익스트랙션,"범죄, 스릴러, 액션","태국, 호주, 캐나다, Bangladesh, 미국, 인도",1시간 56분
9650,엘도라도,"애니메이션, 코미디, 판타지, 가족, 액션",미국,1시간 29분
