MOVIE_NUM,movie_title,ott_release_month,genre
1435,아나콘다(1997),202003,Action/Adventure
1435,아나콘다(1997),202003,Action/Adventure
1435,아나콘다(1997),202003,Comedy
2012,뮬란,201609,Action/Adventure
2012,뮬란,201609,Animation/Family
2012,뮬란,201609,Animation/Family
2012,뮬란,201609,Animation/Family
2012,뮬란,201609,Animation/Family
3967,뮬란(2020),202010,Action/Adventure
3967,뮬란(2020),202010,Animation/Family
3967,뮬란(2020),202010,Animation/Family
3967,뮬란(2020),202010,Animation/Family
3967,뮬란(2020),202010,Animation/Family
4946,드래곤길들이기,201211,Action/Adventure
4946,드래곤길들이기,201211,Animation/Family
4946,드래곤길들이기,201211,Animation/Family
5763,인어공주(1989),201912,Romance
5763,인어공주(1989),201912,Romance
5763,인어공주(1989),201912,Romance
5763,인어공주(1989),201912,SF/Fantasy
5763,인어공주(1989),201912,SF/Fantasy
6475,메리미,201610,Comedy
6475,메리미,201610,Romance
9664,뮬란(2019),202008,Action/Adventure
9664,뮬란(2019),202008,Animation/Family
9664,뮬란(2019),202008,Animation/Family
9664,뮬란(2019),202008,Animation/Family
9664,뮬란(2019),202008,Animation/Family
10508,최후의카운트다운,201905,Historical/War
10508,최후의카운트다운,201905,SF/Fantasy
12135,로지(2018),201909,Comedy
12135,로지(2018),201909,Romance
