dataset,column_order,column_name,dtype,n_missing,missing_rate,n_unique
membership,0,USER_KEY,object,0,0.0,17578
membership,1,product_code,object,0,0.0,40
membership,2,price,float64,0,0.0,29
membership,3,billing_method,int64,0,0.0,10
membership,4,max_screen,int64,0,0.0,3
membership,5,is_promotion,int64,0,0.0,2
membership,6,is_churn_prevented,int64,0,0.0,2
membership,7,is_repurchase,int64,0,0.0,2
membership,8,payment_device,object,0,0.0,6
membership,9,is_user_verified,int64,0,0.0,2
membership,10,gender,object,0,0.0,3
membership,11,age,int64,0,0.0,12
membership,12,reg_date,object,0,0.0,15
membership,13,reg_hour,int64,0,0.0,24
membership,14,end_date,object,0,0.0,39
mapping,0,USER_KEY,object,0,0.0,19828
mapping,1,USER_NUM,int64,0,0.0,19877
view,0,USER_NUM,int64,0,0.0,14892
view,1,MOVIE_NUM,int64,0,0.0,5196
view,2,watch_time(min),int64,0,0.0,200
view,3,watch_day,int64,0,0.0,36
view,4,watch_seq,int64,0,0.0,37
movie_master,0,MOVIE_NUM,int64,0,0.0,14018
movie_master,1,movie_title,object,0,0.0,14018
movie_master,2,ott_release_month,int64,0,0.0,120
wavve,0,query_title,object,0,0.0,3576
wavve,1,movieid,object,0,0.0,3848
wavve,2,title,object,0,0.0,3842
wavve,3,grouptitle,object,0,0.0,3666
wavve,4,origintitle,float64,4060,1.0,0
wavve,5,releasedate,object,0,0.0,1742
wavve,6,originalreleaseyear,int64,0,0.0,78
wavve,7,country,object,4,0.0009852216748768472,336
wavve,8,targetage,int64,0,0.0,6
wavve,9,playtime_sec,int64,0,0.0,2492
wavve,10,genre,object,7,0.0017241379310344827,615
wavve,11,tags,object,7,0.0017241379310344827,670
wavve,12,directors,object,0,0.0,2570
wavve,13,actors,object,6,0.001477832512315271,3772
wavve,14,issubtitle,object,0,0.0,2
wavve,15,subtitles,object,3642,0.8970443349753695,5
wavve,16,audios,object,0,0.0,46
wavve,17,ismultiaudiotrack,object,0,0.0,1
wavve,18,isatmos,object,0,0.0,1
wavve,19,qualities,object,0,0.0,4
wavve,20,downloadable,object,0,0.0,2
wavve,21,drms,object,1531,0.3770935960591133,1
wavve,22,moviemarks,object,0,0.0,6
wavve,23,previewstarttime,float64,217,0.05344827586206897,52
wavve,24,previewendtime,float64,217,0.05344827586206897,191
wavve,25,creditstarttime,float64,186,0.0458128078817734,2360
wavve,26,creditendtime,float64,186,0.0458128078817734,2397
wavve,27,kmrbcode,object,46,0.011330049261083743,3658
wavve,28,image,object,0,0.0,3720
wavve,29,synopsis,object,0,0.0,3730
wavve,30,price,float64,4060,1.0,0
kobis,0,MovieCd,object,0,0.0,979
kobis,1,movieNm(api),object,0,0.0,979
kobis,2,movieNmEn,object,29,0.02902902902902903,948
kobis,3,showTm,float64,21,0.021021021021021023,138
kobis,4,prdtYear,float64,2,0.002002002002002002,68
kobis,5,openDt,float64,259,0.25925925925925924,586
kobis,6,typeNm,object,4,0.004004004004004004,5
kobis,7,nationNm,object,4,0.004004004004004004,104
kobis,8,genreNm,object,7,0.007007007007007007,230
kobis,9,directors,object,95,0.09509509509509509,777
kobis,10,actors,object,154,0.15415415415415415,826
kobis,11,watchGrade,object,170,0.17017017017017017,18
kobis,12,wavve_title,object,0,0.0,999
